cell_id,Chrysococcyx cupreus,Chrysococcyx cupreus cupreus,Chrysococcyx cupreus intermedius,Chrysococcyx cupreus insularum
83529bfffffffff,3.0,0.0,0.0,0.0
8354e2fffffffff,5.0,0.0,0.0,0.0
8354f1fffffffff,8.0,0.0,0.0,0.0
8354f5fffffffff,2.0,0.0,0.0,0.0
835883fffffffff,1.0,1.0,0.0,0.0
835896fffffffff,2.0,0.0,0.0,0.0
8358c3fffffffff,3.0,3.0,0.0,0.0
8358d2fffffffff,5.0,0.0,0.0,0.0
8358d3fffffffff,48.0,46.0,0.0,0.0
8358dbfffffffff,3.0,0.0,0.0,0.0
8358defffffffff,2.0,0.0,0.0,0.0
836a5afffffffff,2.0,0.0,0.0,0.0
836a9efffffffff,11.0,0.0,0.0,0.0
836ac0fffffffff,73.0,7.0,0.0,0.0
836ac1fffffffff,411.0,64.0,0.0,0.0
836ac3fffffffff,20.0,3.0,0.0,0.0
836ac8fffffffff,86.0,9.0,0.0,0.0
836acafffffffff,4.0,0.0,0.0,0.0
836accfffffffff,38.0,2.0,0.0,0.0
836acdfffffffff,36.0,8.0,0.0,0.0
836acefffffffff,20.0,2.0,0.0,0.0
836ad8fffffffff,3.0,0.0,0.0,0.0
836ad9fffffffff,5.0,0.0,0.0,0.0
836adcfffffffff,332.0,34.0,0.0,0.0
836adefffffffff,25.0,0.0,0.0,0.0
836ae8fffffffff,5.0,2.0,0.0,0.0
836aeafffffffff,102.0,14.0,0.0,0.0
836aebfffffffff,6.0,0.0,0.0,0.0
837503fffffffff,1.0,0.0,0.0,0.0
837508fffffffff,117.0,9.0,0.0,0.0
837509fffffffff,1.0,0.0,0.0,0.0
83750cfffffffff,2.0,0.0,0.0,0.0
83750dfffffffff,367.0,42.0,0.0,0.0
837519fffffffff,4.0,0.0,0.0,0.0
83751dfffffffff,3.0,0.0,0.0,0.0
837520fffffffff,3.0,0.0,0.0,0.0
837529fffffffff,185.0,22.0,0.0,0.0
83752afffffffff,63.0,5.0,0.0,0.0
83752bfffffffff,65.0,9.0,0.0,0.0
83752dfffffffff,5.0,0.0,0.0,0.0
83752efffffffff,2.0,0.0,0.0,0.0
8375a0fffffffff,5.0,0.0,0.0,0.0
8375a5fffffffff,2.0,0.0,0.0,0.0
8375a8fffffffff,2.0,0.0,0.0,0.0
8375b0fffffffff,2.0,0.0,0.0,0.0
837a40fffffffff,9.0,0.0,0.0,0.0
837a41fffffffff,2.0,0.0,0.0,0.0
837a45fffffffff,163.0,0.0,0.0,0.0
837a48fffffffff,16.0,1.0,0.0,0.0
837a49fffffffff,1.0,0.0,0.0,0.0
837a4cfffffffff,180.0,0.0,0.0,0.0
837a4dfffffffff,24.0,0.0,0.0,0.0
837a60fffffffff,5.0,0.0,0.0,0.0
837a61fffffffff,7.0,0.0,0.0,0.0
837a64fffffffff,17.0,0.0,0.0,0.0
837a65fffffffff,7.0,0.0,0.0,0.0
837a68fffffffff,20.0,2.0,0.0,0.0
837a69fffffffff,1.0,0.0,0.0,0.0
837a6afffffffff,8.0,0.0,0.0,0.0
837a6bfffffffff,4.0,0.0,0.0,0.0
837a6efffffffff,61.0,0.0,0.0,0.0
837accfffffffff,61.0,0.0,0.0,0.0
837acdfffffffff,19.0,0.0,0.0,0.0
837ae8fffffffff,1.0,0.0,0.0,0.0
837b48fffffffff,4.0,0.0,0.0,0.0
837b4bfffffffff,6.0,0.0,0.0,0.0
838218fffffffff,9.0,0.0,0.0,0.0
83821bfffffffff,4.0,0.0,0.0,0.0
838283fffffffff,1.0,0.0,0.0,0.0
838285fffffffff,3.0,0.0,0.0,0.0
83828afffffffff,2.0,0.0,0.0,0.0
83828bfffffffff,35.0,0.0,0.0,0.0
83828dfffffffff,219.0,30.0,0.0,0.0
8382a0fffffffff,12.0,0.0,0.0,0.0
8382a1fffffffff,3.0,0.0,0.0,0.0
8382a3fffffffff,10.0,0.0,0.0,0.0
8382a8fffffffff,7.0,0.0,0.0,0.0
8382aafffffffff,6.0,0.0,0.0,0.0
8382abfffffffff,12.0,0.0,0.0,0.0
8382c0fffffffff,20.0,0.0,0.0,0.0
8382d0fffffffff,28.0,0.0,8.0,0.0
8382d1fffffffff,31.0,0.0,31.0,0.0
8382d2fffffffff,27.0,0.0,0.0,0.0
8382d3fffffffff,12.0,6.0,0.0,0.0
8382d5fffffffff,2.0,0.0,2.0,0.0
8382d6fffffffff,5.0,1.0,0.0,0.0
8382e3fffffffff,34.0,0.0,0.0,0.0
8382f0fffffffff,6.0,0.0,0.0,0.0
838313fffffffff,1.0,0.0,0.0,0.0
83831efffffffff,2.0,0.0,0.0,0.0
83838afffffffff,3.0,0.0,0.0,0.0
83838efffffffff,1.0,0.0,0.0,0.0
838391fffffffff,2.0,0.0,0.0,0.0
838392fffffffff,1.0,0.0,0.0,0.0
838398fffffffff,41.0,0.0,0.0,0.0
8383acfffffffff,6.0,0.0,0.0,0.0
839600fffffffff,5.0,3.0,0.0,0.0
839601fffffffff,1.0,0.0,0.0,0.0
839602fffffffff,11.0,4.0,0.0,0.0
839608fffffffff,1.0,1.0,0.0,0.0
839609fffffffff,4.0,2.0,0.0,0.0
83960bfffffffff,9.0,0.0,0.0,0.0
839614fffffffff,3.0,1.0,0.0,0.0
839615fffffffff,2.0,2.0,0.0,0.0
839620fffffffff,18.0,0.0,0.0,0.0
839621fffffffff,14.0,3.0,0.0,0.0
839622fffffffff,1.0,0.0,0.0,0.0
839623fffffffff,17.0,3.0,0.0,0.0
839626fffffffff,20.0,0.0,0.0,0.0
839628fffffffff,2.0,0.0,0.0,0.0
83962cfffffffff,41.0,14.0,0.0,0.0
83962efffffffff,7.0,0.0,0.0,0.0
839633fffffffff,3.0,3.0,0.0,0.0
839636fffffffff,4.0,0.0,0.0,0.0
839656fffffffff,3.0,3.0,0.0,0.0
839660fffffffff,1.0,0.0,0.0,0.0
839670fffffffff,3.0,0.0,0.0,0.0
83968cfffffffff,2.0,0.0,0.0,0.0
839690fffffffff,13.0,0.0,0.0,0.0
839692fffffffff,136.0,13.0,0.0,0.0
839693fffffffff,70.0,11.0,0.0,0.0
8396a5fffffffff,1.0,0.0,0.0,0.0
8396aafffffffff,2.0,0.0,0.0,0.0
8396b0fffffffff,2.0,0.0,0.0,0.0
8396b1fffffffff,9.0,0.0,0.0,0.0
8396b6fffffffff,5.0,0.0,0.0,0.0
8396d2fffffffff,3.0,0.0,0.0,0.0
8396d6fffffffff,1.0,0.0,0.0,0.0
839702fffffffff,3.0,0.0,0.0,0.0
839703fffffffff,29.0,0.0,0.0,0.0
839710fffffffff,48.0,0.0,0.0,0.0
839711fffffffff,17.0,0.0,0.0,0.0
839713fffffffff,3.0,0.0,0.0,0.0
839715fffffffff,3.0,0.0,0.0,0.0
839719fffffffff,1.0,0.0,0.0,0.0
83971cfffffffff,5.0,0.0,0.0,0.0
83972dfffffffff,92.0,30.0,0.0,0.0
839750fffffffff,2.0,0.0,0.0,0.0
839751fffffffff,49.0,3.0,0.0,0.0
83975cfffffffff,4.0,0.0,0.0,0.0
83975efffffffff,2.0,0.0,0.0,0.0
83978dfffffffff,1.0,0.0,0.0,0.0
83978efffffffff,10.0,0.0,0.0,0.0
8397a8fffffffff,15.0,0.0,0.0,0.0
8397aafffffffff,4.0,0.0,0.0,0.0
8397acfffffffff,2.0,0.0,0.0,0.0
83bc19fffffffff,1.0,0.0,0.0,0.0
83bc40fffffffff,2.0,0.0,0.0,0.0
83bc44fffffffff,4.0,0.0,0.0,0.0
83bc45fffffffff,37.0,8.0,0.0,0.0
83bc54fffffffff,5.0,0.0,0.0,0.0
83bc6afffffffff,1.0,0.0,0.0,0.0
83bc89fffffffff,9.0,7.0,0.0,0.0
83bcd0fffffffff,45.0,16.0,0.0,0.0
83bcd2fffffffff,5.0,2.0,0.0,0.0
83bcd3fffffffff,8.0,0.0,0.0,0.0
