cell_id,Cinclus leucocephalus,Cinclus leucocephalus rivularis,Cinclus leucocephalus leuconotus,Cinclus leucocephalus leucocephalus
83660bfffffffff,4.0,0.0,2.0,0.0
836619fffffffff,4.0,0.0,0.0,0.0
8366c0fffffffff,3.0,0.0,0.0,0.0
8366d3fffffffff,1.0,0.0,0.0,0.0
8366defffffffff,5.0,0.0,3.0,0.0
8366e6fffffffff,5.0,0.0,2.0,0.0
838e64fffffffff,2.0,0.0,0.0,2.0
838e65fffffffff,2.0,0.0,0.0,2.0
838e66fffffffff,2.0,0.0,0.0,2.0
838f29fffffffff,11.0,0.0,0.0,0.0
838f4afffffffff,2.0,0.0,0.0,0.0
838f50fffffffff,6.0,0.0,0.0,2.0
838f54fffffffff,1.0,0.0,0.0,0.0
838f72fffffffff,6.0,0.0,6.0,0.0
