cell_id,Cinclus leucocephalus,Cinclus leucocephalus rivularis,Cinclus leucocephalus leuconotus,Cinclus leucocephalus leucocephalus
82660ffffffffff,244.0,0.0,0.0,0.0
82661ffffffffff,1521.0,0.0,86.0,0.0
826627fffffffff,9.0,1.0,0.0,0.0
82662ffffffffff,170.0,0.0,10.0,0.0
8266c7fffffffff,549.0,0.0,2.0,0.0
8266d7fffffffff,2250.0,0.0,87.0,0.0
8266dffffffffff,1379.0,0.0,97.0,0.0
8266e7fffffffff,2807.0,0.0,197.0,0.0
8266f7fffffffff,789.0,0.0,26.0,0.0
82675ffffffffff,8.0,0.0,0.0,0.0
828b27fffffffff,9.0,0.0,0.0,0.0
828b2ffffffffff,60.0,0.0,0.0,0.0
828b67fffffffff,469.0,0.0,0.0,13.0
828b6ffffffffff,673.0,0.0,0.0,27.0
828e67fffffffff,388.0,0.0,0.0,0.0
828e6ffffffffff,42.0,0.0,0.0,0.0
828f0ffffffffff,10.0,0.0,0.0,0.0
828f2ffffffffff,132.0,0.0,3.0,0.0
828f47fffffffff,81.0,0.0,0.0,0.0
828f4ffffffffff,21.0,0.0,0.0,0.0
828f57fffffffff,129.0,0.0,0.0,2.0
828f5ffffffffff,66.0,0.0,0.0,0.0
828f77fffffffff,423.0,0.0,6.0,10.0
82b327fffffffff,106.0,0.0,0.0,0.0
82b337fffffffff,14.0,0.0,0.0,0.0
