cell_id,Cissa chinensis,Cissa chinensis [chinensis Group],Cissa chinensis margaritae
833c02fffffffff,75.0,2.0,0.0
833c06fffffffff,2.0,0.0,0.0
833c0afffffffff,496.0,11.0,0.0
833c0bfffffffff,9.0,0.0,0.0
833c15fffffffff,14.0,0.0,0.0
833c19fffffffff,329.0,6.0,0.0
833c1dfffffffff,332.0,19.0,0.0
833c30fffffffff,4.0,0.0,0.0
833c31fffffffff,15.0,0.0,0.0
833c33fffffffff,60.0,2.0,0.0
833c52fffffffff,215.0,0.0,0.0
833c53fffffffff,2.0,0.0,0.0
833c58fffffffff,152.0,0.0,0.0
833c5afffffffff,192.0,0.0,0.0
833c5bfffffffff,146.0,0.0,0.0
833c5cfffffffff,35.0,0.0,0.0
833c5efffffffff,6.0,0.0,0.0
833cc0fffffffff,55.0,0.0,0.0
833cc1fffffffff,6.0,0.0,0.0
833cc2fffffffff,34.0,0.0,0.0
833cc3fffffffff,2.0,0.0,0.0
833cc4fffffffff,56.0,0.0,0.0
833cc5fffffffff,48.0,0.0,0.0
833cc6fffffffff,47.0,0.0,0.0
833ccbfffffffff,1.0,0.0,0.0
833cd1fffffffff,3.0,0.0,0.0
833cdcfffffffff,3.0,0.0,0.0
833ce1fffffffff,57.0,0.0,0.0
833ce2fffffffff,32.0,0.0,0.0
833ce3fffffffff,5.0,0.0,0.0
833ce4fffffffff,128.0,0.0,0.0
833ce5fffffffff,277.0,0.0,0.0
833ce8fffffffff,19.0,0.0,0.0
833ceafffffffff,1.0,0.0,0.0
833cebfffffffff,2.0,2.0,0.0
833cecfffffffff,102.0,0.0,0.0
833d13fffffffff,164.0,0.0,0.0
833d1afffffffff,2.0,0.0,0.0
833dadfffffffff,542.0,0.0,0.0
83404bfffffffff,1.0,1.0,0.0
83404dfffffffff,19.0,19.0,0.0
83404efffffffff,2.0,0.0,0.0
834143fffffffff,2.0,2.0,0.0
83416afffffffff,2.0,0.0,0.0
836412fffffffff,1.0,0.0,0.0
836416fffffffff,459.0,0.0,0.0
836480fffffffff,24.0,0.0,0.0
836482fffffffff,118.0,20.0,0.0
836484fffffffff,6.0,0.0,0.0
836491fffffffff,16.0,5.0,0.0
836495fffffffff,4.0,4.0,0.0
836498fffffffff,6.0,1.0,0.0
83649cfffffffff,1.0,1.0,0.0
8364a1fffffffff,11.0,0.0,0.0
8364a3fffffffff,44.0,0.0,0.0
8364a5fffffffff,1.0,0.0,0.0
8364b0fffffffff,2.0,0.0,0.0
8364b1fffffffff,10.0,0.0,0.0
8364b5fffffffff,84.0,0.0,0.0
836500fffffffff,10.0,10.0,0.0
836503fffffffff,1.0,1.0,0.0
836585fffffffff,2.0,0.0,0.0
836591fffffffff,2.0,0.0,0.0
836599fffffffff,491.0,0.0,0.0
83659cfffffffff,18.0,0.0,0.0
83659dfffffffff,2.0,0.0,0.0
8365b6fffffffff,1.0,0.0,1.0
