cell_id,Cisticola brunnescens,Cisticola brunnescens lynesi/mbangensis,Cisticola brunnescens [brunnescens Group]
825287fffffffff,2.0,0.0,0.0
825297fffffffff,1.0,0.0,0.0
82529ffffffffff,40.0,0.0,6.0
8258dffffffffff,2.0,0.0,0.0
826a4ffffffffff,2.0,0.0,0.0
827a47fffffffff,60.0,0.0,0.0
827a67fffffffff,12.0,0.0,0.0
827a6ffffffffff,925.0,0.0,0.0
827acffffffffff,8.0,0.0,0.0
827adffffffffff,5.0,0.0,1.0
827aeffffffffff,68.0,0.0,8.0
827b4ffffffffff,1.0,0.0,0.0
82821ffffffffff,1.0,0.0,0.0
8282a7fffffffff,8.0,0.0,0.0
8282affffffffff,9.0,0.0,0.0
8282f7fffffffff,4.0,0.0,0.0
829697fffffffff,189.0,0.0,18.0
8296b7fffffffff,3.0,0.0,0.0
