cell_id,Cistothorus palustris,Cistothorus palustris [paludicola Group],Cistothorus palustris [plesius Group],Cistothorus palustris [palustris Group],Cistothorus palustris griseus,Cistothorus palustris tolucensis
840e4dbffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840eca7ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840ecc9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
840eea7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84122e9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412309ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412539ffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8412887ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8412893ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84129b9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412b01ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412b03ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412c87ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412c8bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412cabffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8412cadffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412cbbffffffff,6.0,0.0,2.0,0.0,0.0,0.0
8412cc1ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8412cc9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412cd9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412d03ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412d39ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412d97ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412d9dffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8412db7ffffffff,4.0,0.0,2.0,0.0,0.0,0.0
8412dd7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412ddbffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8412e11ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412ec1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412ec9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8413529ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841aa07ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
841aa23ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
