cell_id,Cistothorus platensis,Cistothorus platensis [elegans Group],Cistothorus platensis alticola,Cistothorus platensis aequatorialis,Cistothorus platensis graminicola,Cistothorus platensis minimus,Cistothorus platensis tucumanus,Cistothorus platensis platensis/polyglottus,Cistothorus platensis hornensis/falklandicus
834523fffffffff,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834524fffffffff,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834525fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834526fffffffff,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83452cfffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83452efffffffff,162.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834980fffffffff,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834982fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834985fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834986fffffffff,44.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83498efffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834995fffffffff,1456.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834996fffffffff,130.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349aafffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8349b3fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f43fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f4bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f75fffffffff,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
836608fffffffff,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
836609fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83660bfffffffff,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83660cfffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83660dfffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836618fffffffff,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836619fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83661bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83661dfffffffff,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836629fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8366b4fffffffff,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c2fffffffff,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
