cell_id,Cnemotriccus fuscatus,Cnemotriccus fuscatus duidae,Cnemotriccus fuscatus [fuscatus Group]
825f17fffffffff,3.0,0.0,0.0
825f1ffffffffff,10.0,0.0,0.0
825f2ffffffffff,2.0,0.0,0.0
825f47fffffffff,2.0,0.0,0.0
825f4ffffffffff,1.0,0.0,0.0
825f57fffffffff,6.0,0.0,0.0
825f5ffffffffff,445.0,0.0,0.0
825f6ffffffffff,2.0,0.0,0.0
826607fffffffff,35.0,0.0,0.0
82660ffffffffff,39.0,0.0,0.0
82661ffffffffff,9.0,0.0,0.0
826627fffffffff,54.0,0.0,0.0
826637fffffffff,68.0,0.0,0.0
826647fffffffff,95.0,18.0,0.0
82664ffffffffff,1.0,0.0,0.0
826657fffffffff,76.0,0.0,0.0
82665ffffffffff,125.0,8.0,0.0
826667fffffffff,28.0,0.0,0.0
82666ffffffffff,2.0,0.0,0.0
826677fffffffff,99.0,0.0,0.0
8266c7fffffffff,20.0,0.0,0.0
8266cffffffffff,12.0,0.0,1.0
8266dffffffffff,221.0,0.0,27.0
8266e7fffffffff,166.0,0.0,0.0
8266effffffffff,19.0,0.0,0.0
826747fffffffff,32.0,0.0,1.0
82674ffffffffff,43.0,0.0,0.0
826757fffffffff,52.0,0.0,0.0
82675ffffffffff,19.0,0.0,0.0
82676ffffffffff,2.0,0.0,0.0
828007fffffffff,20.0,0.0,0.0
828017fffffffff,51.0,0.0,0.0
828027fffffffff,2.0,0.0,0.0
828037fffffffff,103.0,0.0,5.0
828047fffffffff,7.0,0.0,0.0
828077fffffffff,2.0,0.0,0.0
828107fffffffff,27.0,0.0,2.0
82811ffffffffff,1.0,0.0,0.0
828127fffffffff,87.0,0.0,1.0
82812ffffffffff,2.0,0.0,0.0
828137fffffffff,28.0,0.0,0.0
828147fffffffff,78.0,0.0,0.0
82815ffffffffff,11.0,0.0,0.0
828167fffffffff,38.0,0.0,0.0
828177fffffffff,79.0,0.0,0.0
828187fffffffff,3.0,0.0,0.0
82818ffffffffff,14.0,0.0,0.0
82819ffffffffff,5.0,0.0,0.0
8281affffffffff,7.0,0.0,0.0
828a07fffffffff,23.0,3.0,4.0
828a27fffffffff,12.0,0.0,0.0
828a2ffffffffff,3.0,0.0,0.0
828a37fffffffff,1.0,0.0,0.0
828a47fffffffff,89.0,0.0,1.0
828a6ffffffffff,77.0,4.0,1.0
828a8ffffffffff,10.0,0.0,7.0
828a97fffffffff,3.0,0.0,0.0
828aaffffffffff,16.0,0.0,0.0
828adffffffffff,7.0,0.0,0.0
828ae7fffffffff,1.0,0.0,0.0
828af7fffffffff,115.0,5.0,11.0
828b07fffffffff,5.0,0.0,0.0
828b0ffffffffff,55.0,0.0,0.0
828b17fffffffff,12.0,0.0,0.0
828b1ffffffffff,7.0,0.0,0.0
828b27fffffffff,54.0,0.0,0.0
828b2ffffffffff,18.0,0.0,0.0
828b37fffffffff,8.0,0.0,0.0
828b47fffffffff,48.0,0.0,8.0
828b57fffffffff,18.0,0.0,0.0
828b5ffffffffff,11.0,0.0,0.0
828b67fffffffff,2.0,0.0,1.0
828b6ffffffffff,23.0,0.0,0.0
828b77fffffffff,13.0,0.0,1.0
828b87fffffffff,12.0,0.0,0.0
828b8ffffffffff,1.0,0.0,0.0
828b9ffffffffff,15.0,0.0,0.0
828ba7fffffffff,13.0,0.0,0.0
828baffffffffff,1.0,0.0,0.0
828bb7fffffffff,139.0,0.0,0.0
828f47fffffffff,9.0,0.0,9.0
828f4ffffffffff,22.0,0.0,0.0
828f67fffffffff,37.0,25.0,0.0
828f6ffffffffff,6.0,0.0,0.0
828f77fffffffff,2.0,0.0,0.0
82a597fffffffff,4.0,0.0,0.0
82a807fffffffff,62.0,0.0,2.0
82a80ffffffffff,43.0,0.0,0.0
82a817fffffffff,186.0,0.0,1.0
82a81ffffffffff,837.0,0.0,0.0
82a82ffffffffff,50.0,0.0,0.0
82a837fffffffff,187.0,0.0,1.0
82a847fffffffff,142.0,0.0,0.0
82a84ffffffffff,4.0,0.0,0.0
82a857fffffffff,26.0,0.0,0.0
82a85ffffffffff,1139.0,0.0,0.0
82a867fffffffff,30.0,0.0,0.0
82a86ffffffffff,13.0,0.0,0.0
82a877fffffffff,10.0,0.0,0.0
82a887fffffffff,28.0,0.0,1.0
82a88ffffffffff,130.0,0.0,6.0
82a897fffffffff,12.0,0.0,0.0
82a89ffffffffff,4.0,0.0,0.0
82a8a7fffffffff,165.0,0.0,11.0
82a8affffffffff,75.0,0.0,0.0
82a8b7fffffffff,12.0,0.0,0.0
82a8c7fffffffff,121.0,0.0,0.0
82a8cffffffffff,7.0,0.0,2.0
82a8d7fffffffff,93.0,0.0,2.0
82a8dffffffffff,63.0,0.0,5.0
82a8e7fffffffff,12.0,0.0,1.0
82a8effffffffff,6.0,0.0,0.0
82a8f7fffffffff,56.0,0.0,0.0
82a90ffffffffff,5.0,0.0,0.0
82a91ffffffffff,44.0,0.0,0.0
82a947fffffffff,328.0,0.0,0.0
82a94ffffffffff,75.0,0.0,2.0
82a957fffffffff,551.0,0.0,0.0
82a95ffffffffff,105.0,0.0,0.0
82a967fffffffff,52.0,0.0,0.0
82a96ffffffffff,76.0,0.0,0.0
82a977fffffffff,25.0,0.0,0.0
82b267fffffffff,1.0,0.0,0.0
82b277fffffffff,1.0,0.0,0.0
82b347fffffffff,28.0,0.0,0.0
82b34ffffffffff,6.0,0.0,0.0
82b35ffffffffff,89.0,0.0,0.0
82b367fffffffff,9.0,0.0,0.0
82b36ffffffffff,2.0,0.0,0.0
