cell_id,Cochlearius cochlearius,Cochlearius cochlearius [zeledoni Group],Cochlearius cochlearius cochlearius/panamensis
824507fffffffff,157.0,2.0,0.0
82450ffffffffff,562.0,0.0,0.0
82451ffffffffff,11.0,0.0,0.0
824527fffffffff,1059.0,3.0,0.0
82452ffffffffff,2975.0,147.0,0.0
824537fffffffff,72.0,0.0,0.0
824577fffffffff,190.0,0.0,0.0
824807fffffffff,1.0,0.0,0.0
824837fffffffff,1298.0,47.0,0.0
824997fffffffff,65.0,0.0,0.0
82499ffffffffff,47.0,0.0,0.0
8249a7fffffffff,28.0,0.0,0.0
8249affffffffff,91.0,0.0,0.0
8249b7fffffffff,6.0,0.0,0.0
825f17fffffffff,6.0,0.0,0.0
825f1ffffffffff,4.0,0.0,0.0
825f2ffffffffff,157.0,0.0,0.0
825f4ffffffffff,3.0,0.0,0.0
825f5ffffffffff,5.0,0.0,0.0
825f6ffffffffff,14.0,0.0,0.0
826607fffffffff,93.0,0.0,0.0
82660ffffffffff,28.0,0.0,0.0
826617fffffffff,302.0,0.0,30.0
82661ffffffffff,31.0,0.0,0.0
826627fffffffff,7.0,0.0,0.0
826637fffffffff,12.0,0.0,4.0
826647fffffffff,30.0,0.0,0.0
826657fffffffff,75.0,0.0,0.0
82665ffffffffff,5.0,0.0,0.0
826667fffffffff,25.0,0.0,0.0
82666ffffffffff,3.0,0.0,0.0
826677fffffffff,153.0,0.0,0.0
8266a7fffffffff,1613.0,0.0,69.0
8266b7fffffffff,1507.0,0.0,1.0
8266c7fffffffff,15.0,0.0,0.0
8266cffffffffff,25.0,0.0,0.0
8266dffffffffff,615.0,0.0,71.0
8266e7fffffffff,178.0,0.0,0.0
8266effffffffff,64.0,0.0,0.0
82674ffffffffff,31.0,0.0,2.0
826757fffffffff,9.0,0.0,0.0
82675ffffffffff,46.0,0.0,0.0
826797fffffffff,11.0,0.0,0.0
82679ffffffffff,599.0,0.0,0.0
826d07fffffffff,236.0,51.0,0.0
826d17fffffffff,209.0,3.0,0.0
826d27fffffffff,190.0,3.0,0.0
826d2ffffffffff,170.0,25.0,0.0
826d37fffffffff,205.0,3.0,0.0
826d67fffffffff,195.0,0.0,0.0
826d6ffffffffff,6483.0,0.0,0.0
826d77fffffffff,256.0,0.0,0.0
82800ffffffffff,2.0,0.0,0.0
828047fffffffff,4.0,0.0,0.0
828127fffffffff,3.0,0.0,0.0
82812ffffffffff,3.0,0.0,0.0
828147fffffffff,5.0,0.0,0.0
82814ffffffffff,14.0,0.0,0.0
828167fffffffff,36.0,0.0,1.0
828a17fffffffff,2.0,0.0,0.0
828a37fffffffff,3.0,0.0,0.0
828a47fffffffff,27.0,0.0,0.0
828a4ffffffffff,5.0,0.0,0.0
828a57fffffffff,6.0,0.0,0.0
828a6ffffffffff,126.0,0.0,0.0
828a8ffffffffff,2.0,0.0,0.0
828aaffffffffff,2.0,0.0,0.0
828af7fffffffff,11.0,0.0,0.0
828b0ffffffffff,4.0,0.0,0.0
828b1ffffffffff,1.0,0.0,0.0
828b27fffffffff,23.0,0.0,0.0
828b2ffffffffff,7.0,0.0,0.0
828b37fffffffff,6.0,0.0,0.0
828b47fffffffff,70.0,0.0,0.0
828b57fffffffff,18.0,0.0,0.0
828b67fffffffff,21.0,0.0,0.0
828b6ffffffffff,37.0,0.0,0.0
828b77fffffffff,37.0,0.0,0.0
828b87fffffffff,4.0,0.0,0.0
828b9ffffffffff,102.0,0.0,2.0
828ba7fffffffff,2.0,0.0,0.0
828f47fffffffff,11.0,0.0,0.0
828f4ffffffffff,6.0,0.0,0.0
828f67fffffffff,29.0,0.0,0.0
828f6ffffffffff,42.0,0.0,0.0
828f77fffffffff,2.0,0.0,0.0
82a847fffffffff,116.0,0.0,4.0
82a84ffffffffff,2.0,0.0,0.0
82a85ffffffffff,1371.0,0.0,73.0
82a86ffffffffff,1.0,0.0,0.0
82a897fffffffff,5.0,0.0,0.0
82a8a7fffffffff,124.0,0.0,2.0
82a8affffffffff,2.0,0.0,0.0
82a8cffffffffff,1.0,0.0,0.0
