cell_id,Colaptes rubiginosus,Colaptes rubiginosus aeruginosus,Colaptes rubiginosus [rubiginosus Group],Colaptes rubiginosus rubripileus
824507fffffffff,2.0,0.0,2.0,0.0
824527fffffffff,9.0,0.0,0.0,0.0
82452ffffffffff,10.0,0.0,7.0,0.0
824997fffffffff,28.0,16.0,2.0,0.0
82499ffffffffff,11.0,9.0,0.0,0.0
825f5ffffffffff,13.0,0.0,0.0,0.0
825f77fffffffff,3.0,0.0,1.0,0.0
82660ffffffffff,2.0,0.0,0.0,0.0
826617fffffffff,1.0,0.0,0.0,0.0
82661ffffffffff,5.0,0.0,0.0,0.0
82662ffffffffff,1.0,0.0,1.0,0.0
8266a7fffffffff,1.0,0.0,0.0,0.0
8266b7fffffffff,5.0,0.0,0.0,0.0
8266d7fffffffff,5.0,0.0,4.0,1.0
8266dffffffffff,3.0,0.0,3.0,0.0
8266e7fffffffff,2.0,0.0,0.0,0.0
8266f7fffffffff,3.0,0.0,0.0,0.0
826747fffffffff,1.0,0.0,1.0,0.0
82674ffffffffff,8.0,0.0,0.0,0.0
82675ffffffffff,4.0,0.0,0.0,0.0
82679ffffffffff,4.0,0.0,0.0,0.0
826d27fffffffff,18.0,0.0,10.0,0.0
826d2ffffffffff,52.0,0.0,46.0,0.0
826d37fffffffff,2.0,0.0,2.0,0.0
826d67fffffffff,93.0,0.0,0.0,0.0
826d6ffffffffff,89.0,0.0,41.0,0.0
828b67fffffffff,1.0,0.0,0.0,0.0
828f0ffffffffff,2.0,0.0,2.0,0.0
828f2ffffffffff,1.0,0.0,0.0,1.0
828f4ffffffffff,20.0,0.0,0.0,0.0
82b277fffffffff,14.0,0.0,2.0,0.0
82b35ffffffffff,1.0,0.0,0.0,0.0
