cell_id,Colaptes rupicola,Colaptes rupicola cinereicapillus,Colaptes rupicola rupicola/puna
848b20bffffffff,26.0,0.0,0.0
848b20dffffffff,1.0,0.0,0.0
848b211ffffffff,12.0,0.0,0.0
848b213ffffffff,2.0,0.0,0.0
848b21bffffffff,20.0,0.0,5.0
848b24bffffffff,4.0,0.0,0.0
848b259ffffffff,13.0,0.0,2.0
848b25dffffffff,12.0,0.0,0.0
848b2c1ffffffff,26.0,0.0,0.0
848b2c9ffffffff,60.0,0.0,0.0
848b2cbffffffff,11.0,0.0,0.0
848b2cdffffffff,32.0,0.0,0.0
848b2d9ffffffff,1.0,0.0,0.0
848b601ffffffff,9.0,0.0,0.0
848b603ffffffff,20.0,0.0,0.0
848b605ffffffff,6.0,0.0,0.0
848b609ffffffff,8.0,0.0,0.0
848b60bffffffff,26.0,0.0,0.0
848b60dffffffff,2.0,0.0,0.0
848b611ffffffff,892.0,0.0,36.0
848b613ffffffff,12.0,0.0,1.0
848b615ffffffff,2.0,0.0,0.0
848b617ffffffff,32.0,0.0,1.0
848b619ffffffff,38.0,0.0,0.0
848b61bffffffff,597.0,0.0,28.0
848b61dffffffff,236.0,0.0,8.0
848b639ffffffff,2.0,0.0,0.0
848b643ffffffff,2.0,0.0,0.0
848b645ffffffff,8.0,0.0,0.0
848b647ffffffff,13.0,0.0,0.0
848b649ffffffff,2.0,0.0,0.0
848b64bffffffff,6.0,0.0,0.0
848b651ffffffff,2.0,0.0,0.0
848b655ffffffff,3.0,0.0,0.0
848b657ffffffff,10.0,0.0,0.0
848b659ffffffff,2.0,0.0,0.0
848b65dffffffff,12.0,0.0,0.0
848b661ffffffff,2.0,0.0,0.0
848b665ffffffff,8.0,0.0,0.0
848b669ffffffff,4.0,0.0,0.0
848b6c9ffffffff,34.0,0.0,3.0
848b6cdffffffff,433.0,0.0,8.0
848e601ffffffff,5.0,0.0,0.0
848e603ffffffff,13.0,0.0,0.0
848e607ffffffff,15.0,0.0,0.0
848e609ffffffff,1.0,0.0,0.0
848e60bffffffff,22.0,0.0,0.0
848e60dffffffff,17.0,0.0,0.0
848e615ffffffff,1.0,0.0,0.0
848e617ffffffff,20.0,0.0,0.0
848e619ffffffff,2.0,0.0,0.0
848e61dffffffff,13.0,0.0,0.0
848e629ffffffff,24.0,0.0,0.0
848e633ffffffff,2.0,0.0,0.0
848e63dffffffff,2.0,0.0,0.0
848e645ffffffff,69.0,0.0,0.0
848e647ffffffff,40.0,0.0,0.0
848e649ffffffff,10.0,0.0,0.0
848e651ffffffff,4.0,0.0,0.0
848e655ffffffff,27.0,0.0,0.0
848e657ffffffff,41.0,0.0,0.0
848e661ffffffff,6.0,0.0,0.0
848e663ffffffff,302.0,0.0,0.0
848e669ffffffff,7.0,0.0,0.0
848e66bffffffff,177.0,0.0,0.0
848e681ffffffff,8.0,0.0,0.0
848e683ffffffff,5.0,0.0,0.0
848e685ffffffff,1.0,0.0,0.0
848e687ffffffff,8.0,0.0,0.0
848e68bffffffff,11.0,0.0,0.0
848e68dffffffff,2.0,0.0,0.0
848e693ffffffff,6.0,0.0,0.0
848e699ffffffff,5.0,0.0,0.0
848e69bffffffff,7.0,0.0,0.0
848e69dffffffff,1.0,0.0,0.0
848e6abffffffff,15.0,0.0,0.0
848e6c1ffffffff,10.0,0.0,0.0
848e6c3ffffffff,8.0,0.0,0.0
848e6c5ffffffff,19.0,0.0,0.0
848e6c7ffffffff,6.0,0.0,0.0
848e6cbffffffff,1.0,0.0,0.0
848e6cdffffffff,18.0,0.0,0.0
848e6d1ffffffff,18.0,0.0,0.0
848e6d7ffffffff,7.0,0.0,0.0
848e6d9ffffffff,156.0,0.0,2.0
848e6ddffffffff,68.0,0.0,0.0
848e6e5ffffffff,17.0,0.0,0.0
848e6e9ffffffff,14.0,0.0,0.0
848e6edffffffff,9.0,0.0,0.0
848f425ffffffff,29.0,1.0,0.0
848f427ffffffff,2.0,0.0,0.0
848f42dffffffff,5.0,1.0,0.0
848f465ffffffff,3.0,0.0,0.0
848f4a5ffffffff,62.0,4.0,0.0
848f4a7ffffffff,6.0,0.0,0.0
848f505ffffffff,4.0,0.0,0.0
848f509ffffffff,9.0,0.0,0.0
848f50bffffffff,2.0,0.0,0.0
848f511ffffffff,5.0,0.0,0.0
848f513ffffffff,19.0,0.0,0.0
848f515ffffffff,1.0,0.0,0.0
848f517ffffffff,8.0,0.0,0.0
848f519ffffffff,348.0,0.0,0.0
848f51bffffffff,4.0,0.0,0.0
848f51dffffffff,77.0,0.0,0.0
848f543ffffffff,2.0,0.0,0.0
848f545ffffffff,2.0,0.0,0.0
848f547ffffffff,12.0,0.0,0.0
848f54dffffffff,74.0,0.0,0.0
848f553ffffffff,204.0,10.0,0.0
848f555ffffffff,1.0,0.0,0.0
848f557ffffffff,7.0,0.0,0.0
848f559ffffffff,1.0,0.0,0.0
848f55bffffffff,34.0,0.0,0.0
848f55dffffffff,9.0,0.0,0.0
848f581ffffffff,39.0,0.0,0.0
848f583ffffffff,35.0,0.0,0.0
848f589ffffffff,17.0,0.0,0.0
848f58bffffffff,2.0,0.0,0.0
848f58dffffffff,84.0,0.0,0.0
848f593ffffffff,9.0,0.0,0.0
848f595ffffffff,4.0,0.0,0.0
848f597ffffffff,45.0,1.0,0.0
848f599ffffffff,9.0,0.0,0.0
848f59bffffffff,13.0,0.0,0.0
848f59dffffffff,4.0,0.0,0.0
848f5b9ffffffff,11.0,0.0,0.0
848f5bbffffffff,2.0,0.0,0.0
848f5c1ffffffff,9.0,0.0,0.0
848f5c3ffffffff,5.0,0.0,0.0
848f5c9ffffffff,4.0,0.0,0.0
848f5cdffffffff,26.0,0.0,0.0
848f5d7ffffffff,1.0,0.0,0.0
848f5ddffffffff,19.0,0.0,0.0
848f5e9ffffffff,11.0,0.0,0.0
848f727ffffffff,8.0,0.0,0.0
84b22dbffffffff,1.0,0.0,0.0
84b270dffffffff,1.0,0.0,0.0
84b2749ffffffff,107.0,0.0,0.0
84b3013ffffffff,2.0,0.0,0.0
84b3019ffffffff,3.0,0.0,0.0
84b301bffffffff,5.0,0.0,0.0
84b304bffffffff,8.0,0.0,0.0
84b3051ffffffff,18.0,0.0,0.0
84b3053ffffffff,9.0,0.0,0.0
84b3055ffffffff,4.0,0.0,0.0
84b3059ffffffff,60.0,0.0,0.0
84b305dffffffff,479.0,0.0,0.0
84b308bffffffff,3.0,0.0,0.0
84b30c5ffffffff,2.0,0.0,0.0
84b30d7ffffffff,5.0,0.0,0.0
84b3201ffffffff,3.0,0.0,0.0
84b3203ffffffff,45.0,0.0,0.0
84b3205ffffffff,2.0,0.0,0.0
84b3209ffffffff,40.0,0.0,0.0
84b320bffffffff,56.0,0.0,1.0
84b320dffffffff,36.0,0.0,0.0
84b3211ffffffff,1.0,0.0,0.0
84b3213ffffffff,4.0,0.0,0.0
84b3217ffffffff,2.0,0.0,0.0
84b3219ffffffff,139.0,0.0,3.0
84b321dffffffff,32.0,0.0,0.0
84b3221ffffffff,2.0,0.0,0.0
84b3225ffffffff,4.0,0.0,0.0
84b322dffffffff,18.0,0.0,0.0
84b3235ffffffff,47.0,0.0,0.0
84b3237ffffffff,66.0,0.0,2.0
84b3239ffffffff,2.0,0.0,0.0
84b3241ffffffff,15.0,0.0,0.0
84b3243ffffffff,25.0,0.0,0.0
84b3245ffffffff,7.0,0.0,0.0
84b3247ffffffff,24.0,0.0,1.0
84b324dffffffff,2.0,0.0,0.0
84b3253ffffffff,8.0,0.0,0.0
