cell_id,Columba palumbus,Columba palumbus [palumbus Group],Columba palumbus casiotis
820127fffffffff,2.0,0.0,0.0
820137fffffffff,15.0,2.0,0.0
820807fffffffff,48.0,0.0,0.0
820817fffffffff,205.0,1.0,0.0
82081ffffffffff,40.0,0.0,0.0
82082ffffffffff,7.0,0.0,0.0
820837fffffffff,23.0,1.0,0.0
820887fffffffff,1281.0,353.0,0.0
82088ffffffffff,253.0,108.0,0.0
820897fffffffff,186.0,51.0,0.0
82089ffffffffff,2252.0,346.0,0.0
8208a7fffffffff,272.0,63.0,0.0
8208affffffffff,12.0,0.0,0.0
8208b7fffffffff,399.0,6.0,0.0
8208c7fffffffff,45.0,6.0,0.0
8208cffffffffff,39.0,8.0,0.0
8208d7fffffffff,182.0,8.0,0.0
8208dffffffffff,73.0,4.0,0.0
8208e7fffffffff,7.0,0.0,0.0
8208effffffffff,10.0,2.0,0.0
8208f7fffffffff,53.0,6.0,0.0
820937fffffffff,1.0,0.0,0.0
82095ffffffffff,13.0,0.0,0.0
820987fffffffff,292.0,8.0,0.0
82098ffffffffff,35.0,0.0,0.0
820997fffffffff,225.0,0.0,0.0
82099ffffffffff,985.0,64.0,0.0
8209a7fffffffff,149.0,13.0,0.0
8209affffffffff,5.0,0.0,0.0
820bb7fffffffff,2.0,0.0,0.0
821017fffffffff,9.0,0.0,0.0
821027fffffffff,7.0,0.0,0.0
82108ffffffffff,3.0,0.0,0.0
82109ffffffffff,1.0,0.0,0.0
8210a7fffffffff,4.0,0.0,0.0
8210b7fffffffff,2.0,0.0,0.0
8210c7fffffffff,28.0,0.0,0.0
8210d7fffffffff,2.0,0.0,0.0
8210dffffffffff,11.0,0.0,0.0
8210effffffffff,7.0,0.0,0.0
8210f7fffffffff,1.0,0.0,0.0
821107fffffffff,288.0,6.0,0.0
821117fffffffff,39.0,0.0,0.0
821127fffffffff,198.0,12.0,0.0
82112ffffffffff,56.0,9.0,0.0
821137fffffffff,155.0,2.0,0.0
821157fffffffff,4.0,0.0,0.0
821187fffffffff,131.0,13.0,0.0
82118ffffffffff,296.0,48.0,0.0
82119ffffffffff,11.0,0.0,0.0
8211a7fffffffff,11.0,0.0,0.0
8211affffffffff,438.0,110.0,0.0
8211b7fffffffff,8.0,0.0,0.0
821807fffffffff,210.0,14.0,0.0
