cell_id,Columba vitiensis,Columba vitiensis [vitiensis Group],Columba vitiensis castaneiceps
826807fffffffff,29.0,2.0,0.0
82681ffffffffff,1.0,0.0,0.0
826847fffffffff,24.0,0.0,0.0
82685ffffffffff,19.0,0.0,0.0
826867fffffffff,1.0,0.0,0.0
826877fffffffff,15.0,0.0,0.0
82694ffffffffff,2.0,0.0,0.0
82695ffffffffff,3.0,0.0,0.0
8272dffffffffff,1.0,0.0,0.0
82769ffffffffff,4.0,0.0,0.0
82779ffffffffff,1.0,0.0,0.0
829a07fffffffff,7.0,0.0,1.0
829a17fffffffff,2.0,0.0,0.0
829c8ffffffffff,1.0,0.0,0.0
829c97fffffffff,1.0,0.0,0.0
829e37fffffffff,2.0,0.0,0.0
829edffffffffff,18.0,0.0,0.0
