cell_id,Coracias caudatus,Coracias caudatus lorti,Coracias caudatus caudatus
845280bffffffff,2.0,0.0,0.0
8452d87ffffffff,1.0,0.0,0.0
846a493ffffffff,2.0,0.0,0.0
846a499ffffffff,4.0,0.0,0.0
846a49bffffffff,1.0,0.0,0.0
846a49dffffffff,4.0,1.0,0.0
846a4a3ffffffff,4.0,0.0,0.0
846a4b3ffffffff,8.0,2.0,0.0
846a5a9ffffffff,4.0,0.0,0.0
846a697ffffffff,2.0,0.0,0.0
846ac03ffffffff,4.0,0.0,0.0
846ac15ffffffff,3.0,0.0,0.0
846ac31ffffffff,1.0,0.0,0.0
846ac33ffffffff,6.0,0.0,0.0
846ac37ffffffff,2.0,0.0,0.0
846ac3dffffffff,10.0,0.0,0.0
846ac89ffffffff,16.0,0.0,0.0
846ac8dffffffff,9.0,0.0,0.0
846ac93ffffffff,13.0,0.0,0.0
846acadffffffff,2.0,0.0,0.0
846acc5ffffffff,4.0,0.0,0.0
846acc7ffffffff,10.0,0.0,0.0
846ace1ffffffff,30.0,0.0,0.0
846ace3ffffffff,33.0,0.0,0.0
846ace5ffffffff,549.0,0.0,0.0
846acebffffffff,7.0,0.0,0.0
846ad81ffffffff,7.0,0.0,0.0
846ad89ffffffff,4.0,0.0,0.0
846ad8bffffffff,86.0,0.0,0.0
846adc3ffffffff,9.0,0.0,0.0
846add5ffffffff,4.0,0.0,0.0
846add7ffffffff,34.0,0.0,0.0
846add9ffffffff,11.0,0.0,0.0
846adddffffffff,1.0,0.0,0.0
846ae85ffffffff,2.0,0.0,2.0
846aee3ffffffff,9.0,0.0,0.0
847a401ffffffff,186.0,0.0,0.0
847a403ffffffff,29.0,0.0,0.0
847a405ffffffff,51.0,0.0,0.0
847a407ffffffff,270.0,0.0,0.0
847a40bffffffff,79.0,0.0,0.0
847a40dffffffff,44.0,0.0,0.0
847a413ffffffff,160.0,0.0,0.0
847a415ffffffff,8.0,0.0,0.0
847a419ffffffff,2.0,0.0,0.0
847a41bffffffff,30.0,0.0,0.0
847a41dffffffff,114.0,0.0,0.0
847a43bffffffff,4.0,0.0,0.0
847a451ffffffff,2.0,0.0,0.0
847a457ffffffff,75.0,0.0,0.0
847a459ffffffff,5.0,0.0,0.0
847a45dffffffff,12.0,0.0,0.0
847a46dffffffff,3.0,0.0,0.0
847a481ffffffff,16.0,0.0,0.0
847a483ffffffff,19.0,0.0,3.0
847a489ffffffff,15.0,0.0,0.0
847a48bffffffff,1.0,0.0,0.0
847a48dffffffff,1.0,0.0,0.0
847a491ffffffff,3.0,0.0,0.0
