cell_id,Corythornis cristatus,Corythornis cristatus [cristatus Group],Corythornis cristatus thomensis,Corythornis cristatus nais
83524dfffffffff,7.0,3.0,0.0,0.0
835283fffffffff,2.0,0.0,0.0,0.0
835291fffffffff,9.0,0.0,0.0,0.0
835293fffffffff,2.0,0.0,0.0,0.0
835298fffffffff,34.0,0.0,0.0,0.0
835299fffffffff,2.0,0.0,0.0,0.0
83529bfffffffff,36.0,0.0,0.0,0.0
83529dfffffffff,2.0,0.0,0.0,0.0
835408fffffffff,7.0,0.0,0.0,0.0
835410fffffffff,149.0,41.0,0.0,0.0
835411fffffffff,4.0,0.0,0.0,0.0
835413fffffffff,38.0,9.0,0.0,0.0
835418fffffffff,2.0,0.0,0.0,0.0
835419fffffffff,3.0,0.0,0.0,0.0
83541afffffffff,104.0,25.0,0.0,0.0
83541bfffffffff,132.0,15.0,0.0,0.0
835440fffffffff,2.0,0.0,0.0,0.0
835444fffffffff,4.0,0.0,0.0,0.0
835449fffffffff,2.0,0.0,0.0,0.0
8354a9fffffffff,267.0,37.0,0.0,0.0
8354acfffffffff,23.0,0.0,0.0,0.0
8354adfffffffff,37.0,0.0,0.0,0.0
8354c4fffffffff,4.0,2.0,0.0,0.0
8354c5fffffffff,13.0,3.0,0.0,0.0
8354cdfffffffff,1.0,0.0,0.0,0.0
8354e2fffffffff,7.0,0.0,0.0,0.0
8354e4fffffffff,88.0,19.0,0.0,0.0
8354e5fffffffff,7.0,5.0,0.0,0.0
8354e6fffffffff,3.0,0.0,0.0,0.0
8354e8fffffffff,4.0,0.0,0.0,0.0
8354eafffffffff,5.0,4.0,0.0,0.0
8354f0fffffffff,2.0,0.0,0.0,0.0
8354f1fffffffff,4.0,0.0,0.0,0.0
8354f3fffffffff,4.0,0.0,0.0,0.0
8354f4fffffffff,35.0,6.0,0.0,0.0
8354f5fffffffff,15.0,0.0,0.0,0.0
835858fffffffff,7.0,2.0,0.0,0.0
83585afffffffff,1.0,0.0,0.0,0.0
835886fffffffff,2.0,0.0,0.0,0.0
835889fffffffff,2.0,0.0,0.0,0.0
835890fffffffff,94.0,0.0,0.0,0.0
835891fffffffff,5.0,0.0,0.0,0.0
835894fffffffff,7.0,0.0,0.0,0.0
835895fffffffff,2.0,0.0,0.0,0.0
835896fffffffff,7.0,0.0,0.0,0.0
83589cfffffffff,2.0,0.0,0.0,0.0
8358a4fffffffff,8.0,0.0,0.0,0.0
8358b5fffffffff,3.0,0.0,0.0,0.0
8358c3fffffffff,3.0,3.0,0.0,0.0
8358c8fffffffff,4.0,0.0,0.0,0.0
8358cdfffffffff,3.0,0.0,0.0,0.0
8358dbfffffffff,1.0,0.0,0.0,0.0
8358e2fffffffff,2.0,0.0,0.0,0.0
8358f0fffffffff,1.0,0.0,0.0,0.0
8358f5fffffffff,13.0,0.0,0.0,0.0
83598dfffffffff,4.0,0.0,0.0,0.0
835993fffffffff,2.0,0.0,0.0,0.0
835998fffffffff,11.0,2.0,0.0,0.0
83599afffffffff,21.0,0.0,0.0,0.0
83599bfffffffff,2.0,0.0,0.0,0.0
83599efffffffff,16.0,0.0,0.0,0.0
836a45fffffffff,6.0,0.0,0.0,0.0
836a49fffffffff,7.0,0.0,0.0,0.0
836a5afffffffff,10.0,1.0,0.0,0.0
