cell_id,Coturnicops noveboracensis,Coturnicops noveboracensis noveboracensis,Coturnicops noveboracensis goldmani
840e805ffffffff,49.0,0.0,0.0
840e83bffffffff,4.0,0.0,0.0
840ec4dffffffff,1.0,0.0,0.0
840ecc9ffffffff,258.0,0.0,0.0
840eea7ffffffff,1234.0,0.0,0.0
840eeb5ffffffff,3.0,0.0,0.0
840ef03ffffffff,7.0,0.0,0.0
840ef07ffffffff,1.0,0.0,0.0
840ef1dffffffff,2.0,0.0,0.0
840ef2dffffffff,4.0,0.0,0.0
840ef39ffffffff,2.0,0.0,0.0
8412185ffffffff,1.0,0.0,0.0
84121bbffffffff,4.0,0.0,0.0
84121bdffffffff,1.0,0.0,0.0
84121e3ffffffff,16.0,0.0,0.0
8412289ffffffff,1.0,0.0,0.0
8412309ffffffff,1.0,0.0,0.0
84124b3ffffffff,2.0,0.0,0.0
84124dbffffffff,3.0,0.0,0.0
8412501ffffffff,8.0,0.0,0.0
8412503ffffffff,4.0,0.0,0.0
8412511ffffffff,10.0,0.0,0.0
8412515ffffffff,61.0,0.0,0.0
841251dffffffff,2.0,0.0,0.0
8412523ffffffff,4.0,0.0,0.0
8412527ffffffff,2.0,0.0,0.0
8412535ffffffff,3.0,0.0,0.0
8412539ffffffff,2.0,0.0,0.0
841253bffffffff,1.0,0.0,0.0
841255dffffffff,2.0,0.0,0.0
8412591ffffffff,1.0,0.0,0.0
8412597ffffffff,11.0,0.0,0.0
84125edffffffff,2.0,0.0,0.0
8412727ffffffff,2.0,0.0,0.0
8412c1bffffffff,203.0,0.0,0.0
8412cc1ffffffff,1.0,0.0,0.0
8412cc5ffffffff,2.0,0.0,0.0
8412ccdffffffff,8.0,0.0,0.0
8412ea5ffffffff,36.0,0.0,0.0
8412ec1ffffffff,15.0,0.0,0.0
8412ec5ffffffff,13.0,0.0,0.0
8412ec9ffffffff,97.0,0.0,0.0
8412ed9ffffffff,2.0,0.0,0.0
842620dffffffff,2.0,0.0,0.0
842624bffffffff,9.0,0.0,0.0
8426341ffffffff,7.0,0.0,0.0
842634dffffffff,42.0,0.0,0.0
8427021ffffffff,4.0,0.0,0.0
8427023ffffffff,7.0,0.0,0.0
8427029ffffffff,2.0,0.0,0.0
8427031ffffffff,2.0,0.0,0.0
8427033ffffffff,1.0,0.0,0.0
8427035ffffffff,37.0,0.0,0.0
84270b5ffffffff,1.0,0.0,0.0
84270e1ffffffff,11.0,0.0,0.0
84270e3ffffffff,30.0,0.0,0.0
84270e5ffffffff,2.0,0.0,0.0
84270e7ffffffff,6.0,0.0,0.0
8427109ffffffff,2.0,0.0,0.0
8427131ffffffff,2.0,0.0,0.0
842713bffffffff,37.0,0.0,0.0
8427147ffffffff,2.0,0.0,0.0
8427181ffffffff,2.0,0.0,0.0
8427183ffffffff,25.0,0.0,0.0
8427195ffffffff,3.0,0.0,0.0
8427199ffffffff,1.0,0.0,0.0
842719dffffffff,11.0,0.0,0.0
84271cbffffffff,5.0,0.0,0.0
84271d1ffffffff,5.0,0.0,0.0
84271d9ffffffff,5.0,0.0,0.0
84271ddffffffff,9.0,0.0,0.0
842731bffffffff,1.0,0.0,0.0
8427565ffffffff,129.0,0.0,0.0
8427a47ffffffff,2.0,0.0,0.0
8427a53ffffffff,4.0,0.0,0.0
8427a8bffffffff,1.0,0.0,0.0
8427ad1ffffffff,2.0,0.0,0.0
8427ad7ffffffff,4.0,0.0,0.0
8428109ffffffff,2.0,0.0,0.0
8428123ffffffff,19.0,0.0,0.0
84281e5ffffffff,75.0,0.0,0.0
8428adbffffffff,53.0,0.0,0.0
8428addffffffff,8.0,0.0,0.0
842b129ffffffff,1.0,0.0,0.0
842b167ffffffff,29.0,0.0,0.0
842b303ffffffff,64.0,0.0,0.0
842b315ffffffff,3.0,0.0,0.0
842b333ffffffff,2.0,0.0,0.0
8444451ffffffff,2.0,0.0,0.0
8444459ffffffff,497.0,0.0,0.0
844445dffffffff,7.0,0.0,0.0
8444499ffffffff,34.0,0.0,0.0
84446c5ffffffff,200.0,0.0,0.0
84446c7ffffffff,2.0,0.0,0.0
84446c9ffffffff,18.0,0.0,0.0
84446cdffffffff,8.0,0.0,0.0
8448903ffffffff,1.0,0.0,0.0
8448907ffffffff,9.0,0.0,0.0
8448923ffffffff,35.0,0.0,0.0
8448935ffffffff,6.0,0.0,0.0
844893dffffffff,2.0,0.0,0.0
