cell_id,Cranioleuca marcapatae,Cranioleuca marcapatae weskei,Cranioleuca marcapatae marcapatae
848b603ffffffff,2.0,0.0,0.0
848b611ffffffff,11.0,0.0,1.0
848b615ffffffff,1.0,0.0,0.0
848b617ffffffff,327.0,0.0,8.0
848b61bffffffff,1.0,0.0,0.0
848b61dffffffff,3.0,0.0,3.0
848b6c1ffffffff,7.0,0.0,0.0
848b6c5ffffffff,19.0,0.0,0.0
848b6c9ffffffff,18.0,0.0,1.0
848b6cdffffffff,380.0,0.0,29.0
848e651ffffffff,49.0,15.0,0.0
848e657ffffffff,3.0,0.0,0.0
848e6c1ffffffff,1.0,0.0,0.0
848e6cbffffffff,2.0,0.0,0.0
848e6d9ffffffff,2.0,0.0,0.0
