cell_id,Crax fasciolata,Crax fasciolata pinima,Crax fasciolata fasciolata/grayi
8481401ffffffff,2.0,0.0,0.0
8481423ffffffff,3.0,0.0,0.0
8481431ffffffff,1.0,0.0,0.0
8481433ffffffff,1.0,0.0,0.0
8481449ffffffff,2.0,0.0,0.0
848144bffffffff,8.0,0.0,0.0
848145dffffffff,58.0,0.0,5.0
84814a9ffffffff,24.0,0.0,2.0
84814adffffffff,6.0,0.0,0.0
84814d5ffffffff,3.0,0.0,0.0
84814d9ffffffff,2.0,0.0,0.0
84814dbffffffff,2.0,0.0,0.0
84814e3ffffffff,12.0,0.0,0.0
84814e7ffffffff,88.0,0.0,0.0
84814ebffffffff,1.0,0.0,0.0
84815c9ffffffff,2.0,0.0,0.0
84815d9ffffffff,6.0,0.0,0.0
84815dbffffffff,2.0,0.0,0.0
8481627ffffffff,1.0,0.0,0.0
848162bffffffff,31.0,0.0,0.0
8481635ffffffff,62.0,0.0,4.0
8481637ffffffff,2.0,0.0,0.0
8481649ffffffff,2.0,0.0,0.0
8481711ffffffff,12.0,0.0,0.0
848173dffffffff,2.0,0.0,0.0
848175dffffffff,4.0,0.0,0.0
848b05dffffffff,6.0,0.0,0.0
848b08dffffffff,1.0,0.0,0.0
848b0c1ffffffff,2.0,0.0,0.0
848b0c9ffffffff,1.0,0.0,0.0
848b0d1ffffffff,1.0,0.0,0.0
848b131ffffffff,2.0,0.0,0.0
848b1c5ffffffff,2.0,0.0,0.0
848b1e1ffffffff,3.0,0.0,0.0
848b315ffffffff,13.0,0.0,0.0
848b343ffffffff,1.0,0.0,0.0
848b365ffffffff,2.0,0.0,0.0
848b761ffffffff,2.0,0.0,0.0
848b881ffffffff,7.0,0.0,0.0
848b883ffffffff,1.0,0.0,0.0
848b98bffffffff,11.0,0.0,0.0
848b999ffffffff,46.0,0.0,0.0
848b99dffffffff,9.0,0.0,0.0
848b9d1ffffffff,2.0,0.0,0.0
848b9d5ffffffff,397.0,0.0,13.0
848ba45ffffffff,3.0,0.0,0.0
848ba47ffffffff,2.0,0.0,0.0
848ba55ffffffff,1.0,0.0,0.0
848ba63ffffffff,3.0,0.0,0.0
848ba6dffffffff,14.0,0.0,0.0
848bb19ffffffff,2.0,0.0,0.0
848bb53ffffffff,11.0,0.0,0.0
848bb59ffffffff,3.0,0.0,2.0
84a80b1ffffffff,1.0,0.0,0.0
84a80b9ffffffff,1.0,0.0,0.0
84a80d9ffffffff,2.0,0.0,0.0
84a81a5ffffffff,2.0,0.0,0.0
84a81a7ffffffff,1.0,0.0,0.0
84a81b3ffffffff,6.0,0.0,2.0
84a81e1ffffffff,3.0,0.0,0.0
84a82dbffffffff,2.0,0.0,0.0
84a8401ffffffff,2.0,0.0,0.0
84a8403ffffffff,93.0,0.0,2.0
84a8405ffffffff,35.0,0.0,0.0
84a840dffffffff,232.0,0.0,5.0
84a8411ffffffff,11.0,0.0,0.0
84a8415ffffffff,2.0,0.0,0.0
84a8421ffffffff,14.0,0.0,0.0
84a8425ffffffff,1.0,0.0,0.0
84a8429ffffffff,1.0,0.0,0.0
84a842bffffffff,16.0,0.0,0.0
84a8439ffffffff,7.0,0.0,0.0
84a8441ffffffff,6.0,0.0,0.0
84a8447ffffffff,1.0,0.0,0.0
84a844dffffffff,54.0,0.0,1.0
84a8461ffffffff,3.0,0.0,0.0
84a8463ffffffff,308.0,0.0,30.0
84a8465ffffffff,1.0,0.0,0.0
84a846bffffffff,1.0,0.0,0.0
84a84a3ffffffff,3.0,0.0,0.0
84a84a5ffffffff,12.0,0.0,4.0
84a84e7ffffffff,12.0,0.0,0.0
84a851bffffffff,2.0,0.0,0.0
84a8527ffffffff,4.0,0.0,0.0
84a852bffffffff,2.0,0.0,0.0
84a8535ffffffff,5.0,0.0,0.0
84a8551ffffffff,1.0,0.0,1.0
84a855dffffffff,35.0,0.0,2.0
84a856bffffffff,2.0,0.0,0.0
84a856dffffffff,3.0,0.0,0.0
84a8591ffffffff,1720.0,0.0,105.0
84a8593ffffffff,2.0,0.0,0.0
84a8597ffffffff,1.0,0.0,0.0
84a8599ffffffff,726.0,0.0,24.0
84a85a7ffffffff,1.0,0.0,0.0
84a85b3ffffffff,1.0,0.0,0.0
84a85b7ffffffff,2.0,0.0,0.0
84a85b9ffffffff,17.0,0.0,1.0
84a85c3ffffffff,1.0,0.0,0.0
84a85d3ffffffff,1108.0,0.0,49.0
84a85d7ffffffff,169.0,0.0,10.0
84a85dbffffffff,4.0,0.0,0.0
84a8601ffffffff,5.0,0.0,0.0
84a8605ffffffff,2.0,0.0,0.0
84a860dffffffff,5.0,0.0,0.0
84a862bffffffff,2.0,0.0,0.0
84a8645ffffffff,2.0,0.0,0.0
