cell_id,Crypturellus noctivagus,Crypturellus noctivagus zabele,Crypturellus noctivagus noctivagus
8480245ffffffff,2.0,0.0,0.0
8480249ffffffff,1.0,0.0,0.0
8480363ffffffff,2.0,0.0,0.0
8481005ffffffff,2.0,0.0,0.0
8481007ffffffff,2.0,2.0,0.0
8481023ffffffff,7.0,7.0,0.0
8481027ffffffff,5.0,5.0,0.0
8481029ffffffff,98.0,21.0,6.0
8481049ffffffff,5.0,0.0,0.0
8481061ffffffff,2.0,0.0,0.0
8481063ffffffff,4.0,0.0,0.0
84810a9ffffffff,1.0,0.0,0.0
8481105ffffffff,2.0,0.0,0.0
8481137ffffffff,2.0,2.0,0.0
8481193ffffffff,2.0,0.0,0.0
84811c9ffffffff,2.0,1.0,0.0
8481211ffffffff,60.0,41.0,0.0
8481215ffffffff,20.0,20.0,0.0
8481219ffffffff,1.0,1.0,0.0
8481241ffffffff,1.0,1.0,0.0
8481245ffffffff,31.0,12.0,0.0
848124bffffffff,78.0,46.0,0.0
848124dffffffff,52.0,31.0,0.0
8481251ffffffff,1.0,0.0,0.0
84812bdffffffff,5.0,1.0,0.0
8481301ffffffff,3.0,1.0,0.0
8481303ffffffff,5.0,0.0,0.0
8481339ffffffff,132.0,44.0,0.0
84a8061ffffffff,6.0,0.0,0.0
84a8065ffffffff,5.0,0.0,2.0
84a80e1ffffffff,1.0,0.0,1.0
84a8103ffffffff,1.0,0.0,1.0
84a8105ffffffff,30.0,0.0,4.0
84a8109ffffffff,10.0,0.0,8.0
84a810dffffffff,14.0,0.0,3.0
84a8129ffffffff,10.0,0.0,3.0
84a8143ffffffff,31.0,0.0,8.0
84a8151ffffffff,1.0,0.0,0.0
84a8153ffffffff,2.0,0.0,2.0
84a8155ffffffff,168.0,0.0,87.0
84a8157ffffffff,8.0,0.0,5.0
84a8159ffffffff,2.0,0.0,0.0
84a815bffffffff,4.0,0.0,1.0
84a8163ffffffff,9.0,0.0,4.0
84a825bffffffff,1.0,0.0,1.0
84a8311ffffffff,49.0,0.0,5.0
84a8313ffffffff,13.0,0.0,0.0
84a8315ffffffff,3.0,0.0,0.0
84a8317ffffffff,13.0,0.0,1.0
84a8319ffffffff,4.0,0.0,0.0
84a831dffffffff,68.0,0.0,8.0
84a8333ffffffff,20.0,0.0,7.0
84a833bffffffff,91.0,0.0,3.0
84a8351ffffffff,3.0,0.0,2.0
84a8353ffffffff,81.0,0.0,3.0
84a8357ffffffff,55.0,0.0,4.0
84a8831ffffffff,1.0,0.0,0.0
84a8839ffffffff,22.0,0.0,15.0
84a883bffffffff,35.0,0.0,22.0
84a88bbffffffff,3.0,2.0,0.0
84a8917ffffffff,30.0,0.0,0.0
84a891dffffffff,1.0,0.0,0.0
84a8997ffffffff,1.0,0.0,0.0
84a89b1ffffffff,1.0,0.0,0.0
84a8a53ffffffff,1.0,0.0,0.0
