cell_id,Cyanistes cyanus,Cyanistes cyanus [cyanus Group],Cyanistes cyanus [flavipectus Group]
83089dfffffffff,1.0,0.0,0.0
8308c1fffffffff,1.0,0.0,0.0
8308d1fffffffff,1.0,0.0,0.0
830bb0fffffffff,1.0,1.0,0.0
830bb4fffffffff,1.0,0.0,0.0
831125fffffffff,1.0,0.0,0.0
831126fffffffff,3.0,0.0,0.0
8311abfffffffff,9.0,9.0,0.0
8311aefffffffff,43.0,26.0,0.0
831f4afffffffff,4.0,0.0,0.0
831f52fffffffff,9.0,0.0,0.0
831f58fffffffff,12.0,0.0,0.0
831f59fffffffff,2.0,0.0,0.0
83200afffffffff,2.0,2.0,0.0
832013fffffffff,1.0,0.0,1.0
83208afffffffff,1.0,0.0,0.0
8320e3fffffffff,3.0,0.0,0.0
8320e6fffffffff,4.0,0.0,0.0
8320f5fffffffff,1.0,1.0,0.0
832512fffffffff,6.0,6.0,0.0
83255afffffffff,8.0,4.0,0.0
8325acfffffffff,7.0,7.0,0.0
8325aefffffffff,1.0,1.0,0.0
833126fffffffff,8.0,0.0,0.0
