cell_id,Cyanocitta stelleri,Cyanocitta stelleri [stelleri Group],Cyanocitta stelleri annectens,Cyanocitta stelleri [diademata Group],Cyanocitta stelleri [coronata Group]
840c42dffffffff,1.0,0.0,0.0,0.0,0.0
840c46dffffffff,6.0,4.0,0.0,0.0,0.0
840c511ffffffff,2.0,0.0,0.0,0.0,0.0
840c51dffffffff,2.0,2.0,0.0,0.0,0.0
840c733ffffffff,3.0,3.0,0.0,0.0,0.0
8412b03ffffffff,8.0,0.0,0.0,0.0,0.0
8412b4bffffffff,6.0,0.0,6.0,0.0,0.0
8412b63ffffffff,3.0,0.0,0.0,0.0,0.0
8412c03ffffffff,1.0,0.0,0.0,0.0,0.0
8412c1bffffffff,18.0,0.0,0.0,0.0,0.0
8412cabffffffff,2.0,0.0,0.0,0.0,0.0
8412cbdffffffff,1.0,0.0,0.0,0.0,0.0
8412cc5ffffffff,7.0,0.0,0.0,0.0,0.0
8412ccdffffffff,11.0,0.0,0.0,0.0,0.0
8412ce1ffffffff,2.0,0.0,0.0,0.0,0.0
8412ce3ffffffff,1.0,0.0,0.0,0.0,0.0
8412ce7ffffffff,1.0,0.0,0.0,0.0,0.0
8412d17ffffffff,1.0,1.0,0.0,0.0,0.0
8412d63ffffffff,2.0,0.0,2.0,0.0,0.0
8412db1ffffffff,2.0,0.0,2.0,0.0,0.0
8412dd9ffffffff,6.0,0.0,0.0,0.0,0.0
8412ddbffffffff,3.0,0.0,0.0,0.0,0.0
8412e17ffffffff,12.0,0.0,0.0,0.0,0.0
8412e53ffffffff,2.0,0.0,0.0,0.0,0.0
8412ea9ffffffff,3.0,0.0,0.0,0.0,0.0
8412f13ffffffff,2.0,0.0,0.0,0.0,0.0
8412f27ffffffff,1.0,0.0,0.0,0.0,0.0
8412f29ffffffff,2.0,0.0,0.0,0.0,0.0
8413829ffffffff,7.0,0.0,0.0,0.0,0.0
841382dffffffff,23.0,0.0,0.0,0.0,0.0
841383dffffffff,6.0,0.0,0.0,0.0,0.0
8413861ffffffff,4.0,0.0,0.0,0.0,0.0
8413867ffffffff,205.0,0.0,0.0,0.0,0.0
84139e1ffffffff,3.0,3.0,0.0,0.0,0.0
84139edffffffff,3.0,3.0,0.0,0.0,0.0
8413b35ffffffff,9.0,0.0,0.0,0.0,0.0
841d243ffffffff,1.0,0.0,0.0,0.0,0.0
8426801ffffffff,3.0,0.0,0.0,0.0,0.0
8426803ffffffff,1.0,0.0,0.0,0.0,0.0
842680dffffffff,2.0,0.0,0.0,0.0,0.0
8426811ffffffff,1.0,0.0,0.0,0.0,0.0
8426813ffffffff,21.0,0.0,0.0,2.0,0.0
8426817ffffffff,19.0,0.0,0.0,14.0,0.0
8426819ffffffff,171.0,0.0,0.0,11.0,0.0
842681bffffffff,14.0,0.0,0.0,2.0,0.0
842682bffffffff,3.0,0.0,0.0,0.0,0.0
8426833ffffffff,2.0,0.0,0.0,0.0,0.0
842683dffffffff,1.0,0.0,0.0,0.0,0.0
8426857ffffffff,8.0,0.0,0.0,0.0,0.0
8426859ffffffff,1.0,0.0,0.0,1.0,0.0
842685bffffffff,2.0,0.0,0.0,2.0,0.0
842685dffffffff,1.0,0.0,0.0,0.0,0.0
8426885ffffffff,2.0,0.0,0.0,0.0,0.0
8426891ffffffff,4.0,0.0,0.0,1.0,0.0
8426893ffffffff,18.0,0.0,0.0,2.0,0.0
8426899ffffffff,4.0,0.0,0.0,2.0,0.0
84268a9ffffffff,3.0,0.0,0.0,3.0,0.0
84268abffffffff,2.0,0.0,0.0,0.0,0.0
84268c1ffffffff,13.0,0.0,0.0,3.0,0.0
84268c5ffffffff,9.0,0.0,0.0,1.0,0.0
84268c7ffffffff,4.0,0.0,0.0,0.0,0.0
84268cbffffffff,1.0,0.0,0.0,0.0,0.0
84268cdffffffff,22.0,0.0,0.0,6.0,0.0
84268e7ffffffff,2.0,0.0,0.0,0.0,0.0
84268e9ffffffff,2.0,0.0,0.0,2.0,0.0
84268ebffffffff,2.0,0.0,0.0,0.0,0.0
84268edffffffff,9.0,0.0,0.0,7.0,0.0
842690dffffffff,1.0,0.0,0.0,0.0,0.0
