cell_id,Cyanoliseus patagonus,Cyanoliseus patagonus andinus,Cyanoliseus patagonus patagonus/conlara,Cyanoliseus patagonus bloxami
8229a7fffffffff,91.0,0.0,0.0,0.0
825d17fffffffff,92.0,0.0,0.0,0.0
82b20ffffffffff,146.0,0.0,0.0,0.0
82b21ffffffffff,321.0,0.0,0.0,0.0
82b22ffffffffff,38.0,0.0,0.0,0.0
82b257fffffffff,41.0,0.0,0.0,0.0
82b25ffffffffff,497.0,0.0,0.0,0.0
82b277fffffffff,96.0,0.0,0.0,0.0
82b2c7fffffffff,520.0,0.0,0.0,64.0
82b2cffffffffff,526.0,0.0,0.0,17.0
82b2dffffffffff,103.0,0.0,0.0,5.0
82b2e7fffffffff,105.0,0.0,0.0,0.0
82b2effffffffff,353.0,0.0,0.0,0.0
82b357fffffffff,8.0,0.0,0.0,0.0
82b35ffffffffff,689.0,67.0,0.0,0.0
82c207fffffffff,154.0,0.0,0.0,0.0
82c21ffffffffff,54.0,0.0,0.0,0.0
82c227fffffffff,33.0,0.0,0.0,0.0
82c22ffffffffff,123.0,0.0,0.0,0.0
82c2e7fffffffff,24.0,0.0,0.0,0.0
82c307fffffffff,7.0,0.0,0.0,0.0
82c30ffffffffff,169.0,0.0,0.0,0.0
82c327fffffffff,59.0,0.0,0.0,0.0
82c32ffffffffff,970.0,0.0,0.0,0.0
82c347fffffffff,131.0,0.0,0.0,0.0
82c34ffffffffff,2.0,0.0,0.0,0.0
82c357fffffffff,464.0,0.0,0.0,0.0
82c35ffffffffff,2.0,0.0,0.0,0.0
82c367fffffffff,256.0,0.0,0.0,0.0
82c36ffffffffff,19.0,0.0,0.0,0.0
82c377fffffffff,316.0,0.0,0.0,0.0
82ce87fffffffff,392.0,0.0,0.0,0.0
82ce97fffffffff,543.0,0.0,0.0,0.0
82ce9ffffffffff,798.0,0.0,0.0,0.0
82cea7fffffffff,30.0,0.0,0.0,0.0
82ceb7fffffffff,9.0,0.0,0.0,0.0
82cf9ffffffffff,50.0,0.0,0.0,0.0
