cell_id,Cyclarhis gujanensis,Cyclarhis gujanensis [gujanensis Group],Cyclarhis gujanensis insularis,Cyclarhis gujanensis [virenticeps Group],Cyclarhis gujanensis viridis/cearensis,Cyclarhis gujanensis ochrocephala
8444249ffffffff,88.0,0.0,0.0,0.0,0.0,0.0
844424dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8445011ffffffff,30.0,0.0,0.0,0.0,0.0,0.0
8445013ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8445019ffffffff,303.0,0.0,0.0,0.0,0.0,0.0
844501bffffffff,101.0,10.0,0.0,0.0,0.0,0.0
8445053ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8445057ffffffff,24.0,0.0,0.0,0.0,0.0,0.0
8445059ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
844505bffffffff,255.0,0.0,0.0,0.0,0.0,0.0
8445081ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8445083ffffffff,314.0,56.0,0.0,0.0,0.0,0.0
8445085ffffffff,241.0,28.0,0.0,0.0,0.0,0.0
8445087ffffffff,754.0,96.0,0.0,0.0,0.0,0.0
8445089ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
844508bffffffff,9.0,4.0,0.0,0.0,0.0,0.0
844508dffffffff,182.0,2.0,0.0,0.0,0.0,0.0
8445091ffffffff,114.0,20.0,0.0,0.0,0.0,0.0
8445093ffffffff,54.0,19.0,0.0,0.0,0.0,0.0
8445095ffffffff,19.0,9.0,0.0,0.0,0.0,0.0
8445097ffffffff,20.0,9.0,0.0,0.0,0.0,0.0
8445099ffffffff,397.0,3.0,0.0,0.0,0.0,0.0
844509bffffffff,1732.0,539.0,0.0,0.0,0.0,0.0
844509dffffffff,5.0,2.0,0.0,0.0,0.0,0.0
84450a1ffffffff,634.0,20.0,0.0,0.0,0.0,0.0
84450a3ffffffff,206.0,20.0,0.0,0.0,0.0,0.0
84450a5ffffffff,115.0,8.0,0.0,0.0,0.0,0.0
84450a7ffffffff,129.0,14.0,0.0,0.0,0.0,0.0
