cell_id,Cygnus columbianus,Cygnus columbianus columbianus,Cygnus columbianus bewickii,Cygnus columbianus columbianus x bewickii
840153bffffffff,7.0,0.0,2.0,0.0
8401b31ffffffff,2.0,0.0,0.0,0.0
8407623ffffffff,1.0,0.0,1.0,0.0
8407715ffffffff,2.0,0.0,0.0,0.0
8407739ffffffff,1.0,0.0,1.0,0.0
84089a1ffffffff,2.0,0.0,0.0,0.0
84089a5ffffffff,2.0,0.0,0.0,0.0
84089a9ffffffff,5.0,0.0,0.0,0.0
8408a69ffffffff,2.0,0.0,2.0,0.0
840c141ffffffff,5.0,4.0,0.0,0.0
840c143ffffffff,130.0,101.0,15.0,5.0
840c145ffffffff,6.0,6.0,0.0,0.0
840c147ffffffff,29.0,24.0,0.0,0.0
840c149ffffffff,4.0,4.0,0.0,0.0
840c14bffffffff,6.0,5.0,0.0,0.0
840c14dffffffff,2.0,2.0,0.0,0.0
840c415ffffffff,64.0,0.0,0.0,0.0
840c42dffffffff,1.0,0.0,0.0,0.0
840c455ffffffff,2.0,0.0,0.0,0.0
840c461ffffffff,1.0,0.0,0.0,0.0
840c465ffffffff,3.0,0.0,0.0,0.0
840c51dffffffff,21.0,6.0,0.0,0.0
840c555ffffffff,9.0,0.0,0.0,0.0
840c55bffffffff,2.0,0.0,0.0,0.0
840c5a5ffffffff,2.0,0.0,0.0,0.0
840c5adffffffff,2.0,0.0,0.0,0.0
840c665ffffffff,6.0,0.0,0.0,0.0
840c66dffffffff,3.0,0.0,0.0,0.0
840c707ffffffff,2.0,0.0,0.0,0.0
840c731ffffffff,2.0,0.0,0.0,0.0
840c733ffffffff,16.0,0.0,0.0,0.0
840c735ffffffff,7.0,0.0,0.0,0.0
840c73bffffffff,6.0,0.0,0.0,0.0
840c759ffffffff,2.0,0.0,0.0,0.0
840ca43ffffffff,8.0,1.0,4.0,0.0
840ce17ffffffff,2.0,0.0,0.0,0.0
840cee5ffffffff,1.0,0.0,0.0,0.0
840cee9ffffffff,2.0,0.0,0.0,0.0
840ceedffffffff,2.0,0.0,0.0,0.0
840d0d9ffffffff,3.0,3.0,0.0,0.0
840d44dffffffff,1.0,0.0,0.0,0.0
840d595ffffffff,13.0,0.0,2.0,0.0
840d5b9ffffffff,3.0,0.0,0.0,0.0
840d62dffffffff,1.0,0.0,0.0,0.0
840d753ffffffff,1.0,0.0,0.0,0.0
840d75bffffffff,1.0,0.0,0.0,0.0
