cell_id,Daphoenositta chrysoptera,Daphoenositta chrysoptera leucoptera,Daphoenositta chrysoptera striata,Daphoenositta chrysoptera leucocephala,Daphoenositta chrysoptera chrysoptera,Daphoenositta chrysoptera pileata
83945efffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839c60fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
83b885fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
83be09fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83be0efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83be40fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
83be43fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83be44fffffffff,2.0,0.0,0.0,0.0,2.0,0.0
83be46fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83be4bfffffffff,2.0,0.0,0.0,0.0,2.0,0.0
83be60fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83be63fffffffff,7.0,0.0,0.0,0.0,0.0,5.0
83be71fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83be72fffffffff,9.0,0.0,0.0,0.0,7.0,0.0
83be8dfffffffff,3.0,0.0,0.0,3.0,0.0,0.0
83bea9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83bef4fffffffff,2.0,0.0,0.0,0.0,2.0,0.0
