cell_id,Dendrexetastes rufigula,Dendrexetastes rufigula devillei,Dendrexetastes rufigula rufigula,Dendrexetastes rufigula paraensis/moniliger
845f01bffffffff,1.0,0.0,1.0,0.0
8466411ffffffff,3.0,0.0,0.0,0.0
8466415ffffffff,26.0,0.0,0.0,0.0
8466c21ffffffff,1.0,0.0,0.0,0.0
8466c5dffffffff,39.0,0.0,0.0,0.0
8466d13ffffffff,1.0,0.0,0.0,0.0
8466d1bffffffff,11.0,0.0,0.0,0.0
8466dadffffffff,4.0,0.0,0.0,0.0
8466e15ffffffff,1.0,0.0,0.0,0.0
8466e39ffffffff,1.0,0.0,0.0,0.0
8466ec7ffffffff,19.0,0.0,0.0,0.0
8466ecbffffffff,1.0,0.0,0.0,0.0
848a1a7ffffffff,1.0,1.0,0.0,0.0
848a451ffffffff,1.0,0.0,0.0,0.0
848aa93ffffffff,2.0,2.0,0.0,0.0
848af69ffffffff,2.0,2.0,0.0,0.0
848af6bffffffff,1.0,0.0,0.0,0.0
848b5cdffffffff,1.0,1.0,0.0,0.0
848b63bffffffff,2.0,2.0,0.0,0.0
848b693ffffffff,2.0,0.0,0.0,0.0
848f72bffffffff,2.0,0.0,0.0,0.0
