cell_id,Dendrocincla turdina,Dendrocincla turdina taunayi,Dendrocincla turdina turdina
8481023ffffffff,3.0,0.0,3.0
8481167ffffffff,4.0,0.0,4.0
8481307ffffffff,9.0,0.0,7.0
8481321ffffffff,8.0,0.0,5.0
8481323ffffffff,15.0,0.0,0.0
8481327ffffffff,14.0,0.0,4.0
8481329ffffffff,2.0,0.0,0.0
8481331ffffffff,3.0,0.0,3.0
8481337ffffffff,2.0,0.0,0.0
8481339ffffffff,115.0,0.0,25.0
8481343ffffffff,18.0,0.0,5.0
8481363ffffffff,163.0,0.0,29.0
8481801ffffffff,3.0,0.0,0.0
8481803ffffffff,3.0,3.0,0.0
848180bffffffff,4.0,4.0,0.0
848181dffffffff,6.0,1.0,0.0
8481851ffffffff,81.0,77.0,0.0
8481857ffffffff,146.0,137.0,0.0
8481859ffffffff,3.0,3.0,0.0
84a5969ffffffff,55.0,0.0,26.0
84a8019ffffffff,2.0,0.0,2.0
84a801bffffffff,2.0,0.0,0.0
84a8061ffffffff,19.0,0.0,11.0
84a8063ffffffff,2.0,0.0,0.0
84a8065ffffffff,11.0,0.0,5.0
84a8067ffffffff,92.0,0.0,30.0
84a8069ffffffff,3.0,0.0,3.0
84a8101ffffffff,5.0,0.0,2.0
84a8105ffffffff,94.0,0.0,23.0
84a8107ffffffff,16.0,0.0,6.0
84a8109ffffffff,61.0,0.0,45.0
84a810bffffffff,93.0,0.0,27.0
84a810dffffffff,49.0,0.0,28.0
84a8123ffffffff,3.0,0.0,0.0
84a8125ffffffff,1.0,0.0,0.0
84a8127ffffffff,1.0,0.0,1.0
84a8129ffffffff,20.0,0.0,8.0
84a812bffffffff,1.0,0.0,1.0
84a812dffffffff,284.0,0.0,65.0
84a8143ffffffff,134.0,0.0,50.0
84a8151ffffffff,10.0,0.0,5.0
84a8153ffffffff,42.0,0.0,32.0
84a8155ffffffff,268.0,0.0,91.0
84a8157ffffffff,51.0,0.0,25.0
84a8159ffffffff,5.0,0.0,5.0
84a815bffffffff,181.0,0.0,46.0
84a815dffffffff,6.0,0.0,0.0
84a8163ffffffff,49.0,0.0,9.0
84a8167ffffffff,15.0,0.0,6.0
84a81d9ffffffff,15.0,0.0,11.0
84a8261ffffffff,2.0,0.0,0.0
84a826dffffffff,2.0,0.0,0.0
84a82ddffffffff,4.0,0.0,2.0
84a8311ffffffff,56.0,0.0,10.0
84a8313ffffffff,12.0,0.0,4.0
84a8315ffffffff,10.0,0.0,8.0
84a8317ffffffff,20.0,0.0,13.0
84a8319ffffffff,11.0,0.0,6.0
84a831bffffffff,3.0,0.0,3.0
84a831dffffffff,43.0,0.0,11.0
84a8331ffffffff,4.0,0.0,2.0
84a8333ffffffff,30.0,0.0,18.0
84a8337ffffffff,13.0,0.0,1.0
84a833bffffffff,77.0,0.0,7.0
84a8351ffffffff,10.0,0.0,6.0
84a8353ffffffff,97.0,0.0,12.0
84a8357ffffffff,41.0,0.0,18.0
84a8359ffffffff,18.0,0.0,1.0
84a835bffffffff,41.0,0.0,10.0
84a835dffffffff,3.0,0.0,3.0
84a8807ffffffff,7.0,0.0,5.0
84a880dffffffff,2.0,0.0,0.0
84a8811ffffffff,5.0,0.0,0.0
84a8823ffffffff,2.0,0.0,1.0
84a8829ffffffff,2.0,0.0,0.0
84a882dffffffff,17.0,0.0,7.0
84a8849ffffffff,50.0,0.0,25.0
84a884dffffffff,4.0,0.0,4.0
84a885dffffffff,1.0,0.0,1.0
84a8863ffffffff,3.0,0.0,3.0
84a8867ffffffff,2.0,0.0,2.0
84a8917ffffffff,143.0,0.0,66.0
84a8919ffffffff,56.0,0.0,27.0
84a891bffffffff,1.0,0.0,1.0
