cell_id,Dendrocolaptes certhia,Dendrocolaptes certhia radiolatus,Dendrocolaptes certhia certhia,Dendrocolaptes certhia juruanus/polyzonus,Dendrocolaptes certhia concolor,Dendrocolaptes certhia ridgwayi,Dendrocolaptes certhia retentus,Dendrocolaptes certhia medius
835f01fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
835f4afffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836641fffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
83665afffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8366c5fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366dafffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366dcfffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8366defffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e3fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366eefffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838044fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
838065fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
838071fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
838075fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
838140fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
83814afffffffff,14.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
83814efffffffff,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
83815cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83815dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
838163fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
838181fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838185fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
838a00fffffffff,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
838a05fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
838a10fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
838a21fffffffff,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
838a2cfffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
838a31fffffffff,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
838a69fffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
838a6dfffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
838a80fffffffff,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
838a92fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
838a9cfffffffff,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
838af2fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
838b44fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
838b84fffffffff,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
838b9dfffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
838f72fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
