cell_id,Dessonornis anomalus,Dessonornis anomalus grotei,Dessonornis anomalus mbuluensis,Dessonornis anomalus [anomalus Group]
8496a03ffffffff,4.0,0.0,0.0,0.0
8496a07ffffffff,2.0,0.0,0.0,0.0
8496a15ffffffff,1.0,0.0,0.0,0.0
8496a4bffffffff,4.0,0.0,0.0,0.0
8496a5dffffffff,48.0,0.0,0.0,4.0
8496b09ffffffff,34.0,0.0,0.0,0.0
8496b0dffffffff,1.0,0.0,0.0,0.0
8496b19ffffffff,4.0,0.0,0.0,0.0
8496b21ffffffff,21.0,0.0,0.0,0.0
8496b2bffffffff,10.0,0.0,0.0,0.0
8496b55ffffffff,3.0,0.0,0.0,0.0
8496b57ffffffff,1.0,0.0,0.0,0.0
8496b5bffffffff,1.0,0.0,0.0,0.0
8496b67ffffffff,6.0,0.0,0.0,0.0
8497895ffffffff,1.0,0.0,0.0,0.0
84978b7ffffffff,2.0,0.0,0.0,0.0
8497a33ffffffff,2.0,0.0,0.0,0.0
8497a85ffffffff,2.0,0.0,0.0,0.0
8497aa1ffffffff,1.0,0.0,0.0,0.0
8497ac7ffffffff,20.0,0.0,0.0,0.0
