cell_id,Dicaeum ignipectus,Dicaeum ignipectus ignipectus/dolichorhynchum,Dicaeum ignipectus formosum
833c00fffffffff,1.0,0.0,0.0
833c02fffffffff,716.0,0.0,0.0
833c0afffffffff,485.0,0.0,0.0
833c0bfffffffff,149.0,0.0,0.0
833c19fffffffff,60.0,0.0,0.0
833c1cfffffffff,1.0,0.0,0.0
833c1dfffffffff,256.0,0.0,0.0
833c30fffffffff,2.0,0.0,0.0
833c31fffffffff,43.0,0.0,0.0
833c33fffffffff,8.0,0.0,0.0
833c34fffffffff,6.0,0.0,0.0
833c42fffffffff,1.0,0.0,0.0
833c43fffffffff,17.0,0.0,0.0
833c52fffffffff,502.0,0.0,0.0
833c53fffffffff,16.0,0.0,0.0
833c56fffffffff,5.0,0.0,0.0
833c58fffffffff,562.0,0.0,0.0
833c59fffffffff,91.0,0.0,0.0
833c5bfffffffff,40.0,0.0,0.0
833c5cfffffffff,139.0,0.0,0.0
833c5dfffffffff,3.0,0.0,0.0
833c5efffffffff,18.0,0.0,0.0
833cc0fffffffff,27.0,0.0,0.0
833cc1fffffffff,27.0,0.0,0.0
833cc3fffffffff,33.0,0.0,0.0
833cccfffffffff,3.0,0.0,0.0
833cd8fffffffff,59.0,0.0,0.0
833cddfffffffff,9.0,0.0,0.0
833ce2fffffffff,13.0,0.0,0.0
833ce3fffffffff,90.0,0.0,0.0
833ce4fffffffff,56.0,0.0,0.0
833ce5fffffffff,451.0,0.0,0.0
833ce8fffffffff,174.0,0.0,0.0
833ce9fffffffff,247.0,0.0,0.0
833ceafffffffff,34.0,0.0,0.0
833cebfffffffff,32.0,0.0,0.0
833d10fffffffff,162.0,0.0,0.0
833d11fffffffff,21.0,0.0,0.0
833d13fffffffff,40.0,0.0,0.0
833d14fffffffff,6.0,0.0,0.0
833d15fffffffff,65.0,0.0,0.0
833d1afffffffff,34.0,0.0,0.0
833d1efffffffff,701.0,0.0,0.0
833d33fffffffff,71.0,0.0,0.0
833dadfffffffff,893.0,0.0,0.0
834004fffffffff,2.0,0.0,0.0
834020fffffffff,2.0,0.0,0.0
834022fffffffff,2.0,0.0,0.0
834034fffffffff,4.0,0.0,0.0
834036fffffffff,5.0,0.0,0.0
834040fffffffff,4.0,0.0,0.0
834043fffffffff,1.0,0.0,0.0
834044fffffffff,6.0,0.0,0.0
834045fffffffff,8.0,0.0,0.0
83404cfffffffff,140.0,1.0,0.0
83404dfffffffff,53.0,0.0,0.0
83404efffffffff,13.0,0.0,0.0
834050fffffffff,1.0,0.0,0.0
834058fffffffff,5.0,0.0,0.0
834059fffffffff,23.0,0.0,0.0
83405cfffffffff,10.0,0.0,0.0
83405dfffffffff,4.0,0.0,0.0
834061fffffffff,6.0,0.0,0.0
834065fffffffff,29.0,0.0,0.0
834066fffffffff,10.0,0.0,0.0
83406bfffffffff,41.0,0.0,0.0
83406cfffffffff,1.0,0.0,0.0
834071fffffffff,13.0,0.0,0.0
8340a8fffffffff,3.0,0.0,0.0
8340aefffffffff,5.0,0.0,0.0
8340e1fffffffff,2.0,0.0,0.0
8340e3fffffffff,34.0,0.0,0.0
8340e6fffffffff,2.0,0.0,0.0
8340ecfffffffff,4.0,0.0,0.0
8340eefffffffff,9.0,0.0,0.0
834103fffffffff,1.0,0.0,0.0
83410afffffffff,1.0,0.0,0.0
834112fffffffff,2.0,0.0,0.0
834118fffffffff,16.0,0.0,0.0
834119fffffffff,17.0,0.0,0.0
83411afffffffff,10.0,0.0,0.0
83411cfffffffff,273.0,0.0,0.0
83411dfffffffff,19.0,0.0,0.0
834143fffffffff,3.0,0.0,0.0
834149fffffffff,2.0,0.0,0.0
83414cfffffffff,31.0,0.0,0.0
83414dfffffffff,4.0,0.0,0.0
834152fffffffff,3.0,0.0,0.0
834154fffffffff,2.0,0.0,0.0
834158fffffffff,6.0,0.0,0.0
834159fffffffff,11.0,0.0,0.0
83415afffffffff,10.0,0.0,0.0
83415cfffffffff,30.0,0.0,0.0
83415dfffffffff,7.0,0.0,0.0
834161fffffffff,1.0,0.0,0.0
834165fffffffff,4.0,0.0,0.0
834171fffffffff,23.0,0.0,0.0
834173fffffffff,2.0,0.0,0.0
834180fffffffff,2.0,0.0,0.0
834184fffffffff,4.0,0.0,0.0
834185fffffffff,8.0,0.0,0.0
83418dfffffffff,2.0,0.0,0.0
8341abfffffffff,5.0,0.0,0.0
8341b5fffffffff,24.0,0.0,0.0
834b84fffffffff,161.0,0.0,0.0
834b86fffffffff,3.0,0.0,0.0
834ba0fffffffff,2106.0,0.0,19.0
834ba2fffffffff,2447.0,0.0,7.0
834ba3fffffffff,431.0,0.0,2.0
834bb1fffffffff,126.0,0.0,0.0
836416fffffffff,114.0,0.0,0.0
836482fffffffff,607.0,0.0,0.0
836490fffffffff,22.0,0.0,0.0
836491fffffffff,376.0,0.0,0.0
836492fffffffff,2.0,0.0,0.0
836494fffffffff,34.0,0.0,0.0
836495fffffffff,4.0,0.0,0.0
836498fffffffff,25.0,0.0,0.0
83649cfffffffff,1.0,0.0,0.0
8364a3fffffffff,9.0,0.0,0.0
8364b0fffffffff,31.0,0.0,0.0
8364b1fffffffff,15.0,0.0,0.0
8364b5fffffffff,15.0,0.0,0.0
836500fffffffff,579.0,0.0,0.0
836503fffffffff,27.0,0.0,0.0
836505fffffffff,91.0,0.0,0.0
836595fffffffff,2.0,0.0,0.0
836596fffffffff,4.0,0.0,0.0
8365b2fffffffff,64.0,0.0,0.0
8365b3fffffffff,12.0,0.0,0.0
8365b6fffffffff,231.0,0.0,0.0
836934fffffffff,67.0,0.0,0.0
