cell_id,Dicrurus modestus,Dicrurus modestus atactus,Dicrurus modestus modestus,Dicrurus modestus coracinus
825887fffffffff,10.0,0.0,0.0,0.0
825897fffffffff,7.0,7.0,0.0,0.0
8258c7fffffffff,3.0,0.0,0.0,0.0
8258d7fffffffff,22.0,0.0,0.0,14.0
8258dffffffffff,7.0,0.0,0.0,6.0
8258f7fffffffff,1.0,0.0,0.0,0.0
826a9ffffffffff,14.0,0.0,0.0,0.0
826ac7fffffffff,152.0,0.0,0.0,0.0
826acffffffffff,83.0,0.0,0.0,8.0
826adffffffffff,37.0,0.0,0.0,0.0
827507fffffffff,4.0,4.0,0.0,0.0
82750ffffffffff,668.0,658.0,0.0,0.0
82751ffffffffff,3.0,3.0,0.0,0.0
827527fffffffff,20.0,20.0,0.0,0.0
82752ffffffffff,505.0,499.0,0.0,0.0
827577fffffffff,3.0,3.0,0.0,0.0
827587fffffffff,2.0,2.0,0.0,0.0
8275a7fffffffff,1.0,1.0,0.0,0.0
8275affffffffff,5.0,5.0,0.0,0.0
8275b7fffffffff,4.0,4.0,0.0,0.0
828287fffffffff,24.0,0.0,0.0,0.0
82828ffffffffff,65.0,0.0,0.0,0.0
8282a7fffffffff,9.0,0.0,0.0,0.0
8282affffffffff,37.0,0.0,0.0,1.0
8282c7fffffffff,25.0,0.0,13.0,0.0
8282d7fffffffff,38.0,0.0,0.0,31.0
828317fffffffff,2.0,0.0,0.0,0.0
82831ffffffffff,5.0,0.0,0.0,5.0
8283affffffffff,20.0,0.0,0.0,5.0
