cell_id,Diopsittaca nobilis,Diopsittaca nobilis nobilis,Diopsittaca nobilis cumanensis/longipennis
835f03fffffffff,2.0,0.0,0.0
835f08fffffffff,64.0,0.0,0.0
835f09fffffffff,333.0,0.0,0.0
835f0bfffffffff,15.0,0.0,0.0
835f0dfffffffff,16.0,0.0,0.0
835f1cfffffffff,115.0,0.0,0.0
835f29fffffffff,172.0,0.0,0.0
835f2bfffffffff,55.0,0.0,0.0
835f2dfffffffff,68.0,0.0,0.0
835f40fffffffff,10.0,0.0,0.0
835f42fffffffff,6.0,0.0,0.0
835f45fffffffff,1.0,0.0,0.0
835f4afffffffff,12.0,0.0,0.0
835f4cfffffffff,1.0,0.0,0.0
835f4efffffffff,1.0,0.0,0.0
835f50fffffffff,10.0,0.0,0.0
835f56fffffffff,7.0,0.0,0.0
835f5dfffffffff,20.0,0.0,0.0
835f68fffffffff,22.0,0.0,0.0
835f70fffffffff,1.0,0.0,0.0
835f71fffffffff,3.0,0.0,0.0
835f74fffffffff,4.0,0.0,0.0
835f75fffffffff,68.0,3.0,0.0
83666cfffffffff,2.0,0.0,0.0
838005fffffffff,11.0,0.0,0.0
838008fffffffff,1.0,0.0,0.0
83800cfffffffff,12.0,0.0,0.0
83800efffffffff,2.0,0.0,0.0
838020fffffffff,1.0,0.0,0.0
838021fffffffff,1.0,0.0,0.0
83802bfffffffff,6.0,0.0,0.0
83802cfffffffff,2.0,0.0,0.0
838048fffffffff,3.0,0.0,0.0
83804cfffffffff,1.0,0.0,0.0
838054fffffffff,4.0,0.0,0.0
83806afffffffff,3.0,0.0,0.0
838102fffffffff,1.0,0.0,0.0
838116fffffffff,4.0,0.0,0.0
83811afffffffff,1.0,0.0,1.0
838121fffffffff,10.0,0.0,0.0
838124fffffffff,120.0,0.0,4.0
838129fffffffff,1.0,0.0,0.0
83812afffffffff,1.0,0.0,0.0
83812cfffffffff,5.0,0.0,0.0
83812dfffffffff,50.0,0.0,1.0
838132fffffffff,2.0,0.0,0.0
838133fffffffff,1.0,0.0,0.0
838140fffffffff,25.0,0.0,0.0
838142fffffffff,7.0,0.0,0.0
838143fffffffff,6.0,0.0,0.0
838144fffffffff,21.0,0.0,0.0
838145fffffffff,40.0,0.0,0.0
838146fffffffff,16.0,0.0,0.0
83814afffffffff,2.0,0.0,0.0
83814efffffffff,14.0,0.0,0.0
838150fffffffff,1.0,0.0,0.0
838151fffffffff,3.0,0.0,0.0
83815cfffffffff,7.0,0.0,0.0
83815efffffffff,4.0,0.0,0.0
838162fffffffff,20.0,0.0,0.0
838163fffffffff,66.0,0.0,0.0
838171fffffffff,124.0,0.0,0.0
838175fffffffff,1.0,0.0,0.0
838180fffffffff,79.0,0.0,4.0
838181fffffffff,349.0,0.0,19.0
838183fffffffff,100.0,0.0,0.0
838185fffffffff,304.0,0.0,56.0
83819dfffffffff,5.0,0.0,0.0
8381a1fffffffff,52.0,0.0,0.0
8381aafffffffff,2.0,0.0,0.0
8381adfffffffff,2.0,0.0,0.0
838a05fffffffff,1.0,0.0,0.0
838a2efffffffff,1.0,0.0,0.0
838a85fffffffff,4.0,0.0,0.0
838ad1fffffffff,7.0,1.0,0.0
838adafffffffff,9.0,2.0,0.0
838adbfffffffff,58.0,9.0,0.0
838adcfffffffff,19.0,3.0,0.0
838adefffffffff,8.0,2.0,0.0
838b00fffffffff,3.0,0.0,0.0
838b01fffffffff,2.0,0.0,0.0
838b04fffffffff,13.0,0.0,0.0
