cell_id,Dryobates villosus,Dryobates villosus [villosus Group],Dryobates villosus [harrisi Group],Dryobates villosus orius/icastus,Dryobates villosus jardinii/sanctorum,Dryobates villosus extimus
830c2afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c2dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c42fffffffff,631.0,0.0,0.0,0.0,0.0,0.0
830c44fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830c46fffffffff,56.0,0.0,0.0,0.0,0.0,0.0
830c50fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830c51fffffffff,39.0,0.0,0.0,0.0,0.0,0.0
830c54fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
830c55fffffffff,115.0,0.0,0.0,0.0,0.0,0.0
830c61fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c62fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
830c63fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830c64fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
830c65fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830c66fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c70fffffffff,61.0,2.0,0.0,0.0,0.0,0.0
830c71fffffffff,51.0,0.0,0.0,0.0,0.0,0.0
830c73fffffffff,2169.0,15.0,0.0,0.0,0.0,0.0
830c74fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
830c76fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d48fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830d49fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d4afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d4dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830d4efffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830d58fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
830d59fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830d5afffffffff,360.0,0.0,0.0,0.0,0.0,0.0
830d5bfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830d5efffffffff,11.0,0.0,0.0,0.0,0.0,0.0
830d68fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830e45fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830e48fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830e49fffffffff,252.0,0.0,0.0,0.0,0.0,0.0
830e4afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830e4bfffffffff,41.0,0.0,0.0,0.0,0.0,0.0
830e4cfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
