cell_id,Ducula pinon,Ducula pinon pinon/jobiensis,Ducula pinon salvadorii
82728ffffffffff,15.0,0.0,0.0
827297fffffffff,2.0,0.0,0.0
82729ffffffffff,1.0,0.0,0.0
8272a7fffffffff,17.0,4.0,0.0
8272affffffffff,1.0,0.0,0.0
8272b7fffffffff,6.0,0.0,0.0
8272d7fffffffff,44.0,2.0,0.0
8272dffffffffff,82.0,11.0,0.0
8272f7fffffffff,244.0,22.0,0.0
82739ffffffffff,718.0,77.0,0.0
829c8ffffffffff,7.0,1.0,0.0
829c9ffffffffff,96.0,1.0,0.0
829ca7fffffffff,12.0,0.0,0.0
829caffffffffff,28.0,2.0,0.0
829cb7fffffffff,37.0,1.0,0.0
829cc7fffffffff,14.0,0.0,0.0
829cd7fffffffff,234.0,23.0,0.0
829cdffffffffff,1.0,0.0,0.0
829d97fffffffff,2.0,0.0,2.0
829d9ffffffffff,3.0,0.0,0.0
