cell_id,Elanus caeruleus,Elanus caeruleus caeruleus,Elanus caeruleus [vociferus Group]
83099bfffffffff,6.0,0.0,0.0
831849fffffffff,8.0,0.0,0.0
83184bfffffffff,28.0,0.0,0.0
831859fffffffff,2.0,0.0,0.0
83185bfffffffff,26.0,0.0,0.0
83186cfffffffff,11.0,0.0,0.0
83186dfffffffff,2.0,0.0,0.0
83186efffffffff,2.0,0.0,0.0
831941fffffffff,1.0,0.0,0.0
83194dfffffffff,2.0,0.0,0.0
83194efffffffff,1.0,0.0,0.0
831968fffffffff,2.0,0.0,0.0
83196bfffffffff,3.0,0.0,0.0
83196dfffffffff,2.0,0.0,0.0
831e02fffffffff,2.0,0.0,0.0
831e06fffffffff,2.0,1.0,0.0
831e19fffffffff,2.0,0.0,0.0
831e29fffffffff,2.0,0.0,0.0
831e36fffffffff,2.0,0.0,0.0
831eb1fffffffff,2.0,0.0,0.0
831ec1fffffffff,1.0,0.0,0.0
831ec9fffffffff,5.0,0.0,0.0
831ecafffffffff,4.0,0.0,0.0
831ee9fffffffff,9.0,0.0,1.0
831f05fffffffff,2.0,0.0,0.0
831f0efffffffff,1.0,0.0,0.0
831f15fffffffff,2.0,0.0,0.0
831f18fffffffff,5.0,0.0,0.0
831f1dfffffffff,6.0,0.0,0.0
831f24fffffffff,1.0,0.0,0.0
831f81fffffffff,2.0,0.0,0.0
831f82fffffffff,2.0,0.0,0.0
831f83fffffffff,2.0,0.0,0.0
831f8efffffffff,9.0,0.0,0.0
831f91fffffffff,1.0,0.0,0.0
831f95fffffffff,2.0,0.0,0.0
831f9afffffffff,1.0,0.0,0.0
831fa0fffffffff,2.0,0.0,0.0
831fa4fffffffff,5.0,0.0,0.0
831faafffffffff,2.0,0.0,0.0
831fabfffffffff,2.0,0.0,0.0
831fb1fffffffff,2.0,0.0,0.0
832c04fffffffff,3.0,0.0,0.0
832c15fffffffff,2.0,0.0,0.0
832c32fffffffff,2.0,0.0,0.0
832c36fffffffff,1.0,0.0,0.0
832c83fffffffff,21.0,0.0,0.0
832c90fffffffff,2.0,0.0,0.0
832c93fffffffff,13.0,0.0,0.0
832c9dfffffffff,8.0,0.0,0.0
832ce5fffffffff,6.0,0.0,0.0
832cf0fffffffff,19.0,0.0,0.0
832cf3fffffffff,5.0,0.0,0.0
832d02fffffffff,1.0,0.0,0.0
832d12fffffffff,8.0,0.0,0.0
832d95fffffffff,2.0,0.0,0.0
832da1fffffffff,33.0,0.0,0.0
832da5fffffffff,6.0,0.0,0.0
832da8fffffffff,14.0,0.0,0.0
832da9fffffffff,4.0,0.0,0.0
832dabfffffffff,6.0,0.0,0.0
832dadfffffffff,1.0,0.0,0.0
832daefffffffff,11.0,0.0,0.0
832db0fffffffff,6.0,0.0,6.0
832db1fffffffff,15.0,0.0,7.0
832db2fffffffff,6.0,0.0,2.0
832db3fffffffff,8.0,0.0,1.0
832db6fffffffff,9.0,0.0,2.0
833016fffffffff,1.0,0.0,0.0
833098fffffffff,5.0,0.0,0.0
833099fffffffff,3.0,0.0,0.0
83309bfffffffff,2.0,0.0,2.0
8330e0fffffffff,9.0,0.0,0.0
8330e5fffffffff,12.0,0.0,0.0
833181fffffffff,2.0,0.0,0.0
833185fffffffff,23.0,0.0,0.0
833188fffffffff,21.0,0.0,0.0
83318cfffffffff,1.0,0.0,0.0
83318dfffffffff,11.0,0.0,0.0
83319dfffffffff,2.0,0.0,0.0
8331aafffffffff,72.0,0.0,2.0
833820fffffffff,3.0,0.0,0.0
833824fffffffff,2.0,0.0,0.0
833862fffffffff,11.0,0.0,0.0
833875fffffffff,5.0,0.0,0.0
833900fffffffff,8.0,0.0,0.0
833901fffffffff,50.0,15.0,0.0
833902fffffffff,15.0,0.0,0.0
833903fffffffff,10.0,2.0,0.0
833904fffffffff,13.0,0.0,0.0
833905fffffffff,16.0,0.0,0.0
833906fffffffff,11.0,0.0,0.0
833908fffffffff,3.0,0.0,0.0
833909fffffffff,2.0,0.0,0.0
83390afffffffff,27.0,0.0,0.0
833910fffffffff,2.0,0.0,0.0
833911fffffffff,4.0,0.0,0.0
833915fffffffff,3.0,0.0,0.0
833918fffffffff,13.0,0.0,0.0
833919fffffffff,109.0,2.0,0.0
83391cfffffffff,4.0,0.0,0.0
83391dfffffffff,2.0,0.0,0.0
83391efffffffff,6.0,0.0,0.0
833920fffffffff,21.0,0.0,0.0
833922fffffffff,12.0,0.0,0.0
833923fffffffff,24.0,0.0,0.0
833925fffffffff,27.0,0.0,0.0
833928fffffffff,4.0,0.0,0.0
833929fffffffff,7.0,0.0,0.0
83392afffffffff,45.0,0.0,0.0
83392bfffffffff,4.0,0.0,0.0
83392cfffffffff,7.0,0.0,0.0
83392dfffffffff,20.0,0.0,0.0
833931fffffffff,21.0,0.0,0.0
833933fffffffff,37.0,0.0,0.0
833945fffffffff,5.0,0.0,0.0
833954fffffffff,9.0,0.0,0.0
833960fffffffff,2.0,0.0,0.0
833970fffffffff,5.0,0.0,0.0
833971fffffffff,77.0,0.0,0.0
833972fffffffff,6.0,0.0,0.0
833973fffffffff,5.0,0.0,0.0
833974fffffffff,31.0,0.0,0.0
833975fffffffff,11.0,0.0,0.0
833976fffffffff,13.0,0.0,0.0
8339a8fffffffff,2.0,2.0,0.0
833c02fffffffff,4.0,0.0,0.0
833c06fffffffff,1.0,0.0,0.0
833c11fffffffff,1.0,0.0,0.0
833c15fffffffff,3.0,0.0,3.0
833c18fffffffff,3.0,0.0,0.0
833c19fffffffff,7.0,0.0,1.0
833c1bfffffffff,7.0,0.0,3.0
833c1cfffffffff,8.0,0.0,6.0
833c1dfffffffff,2.0,0.0,0.0
833c36fffffffff,2.0,0.0,0.0
833c58fffffffff,1.0,0.0,1.0
833c5afffffffff,3.0,0.0,3.0
833c84fffffffff,2.0,0.0,0.0
833c88fffffffff,1.0,0.0,0.0
833c8cfffffffff,2.0,0.0,0.0
833c8dfffffffff,17.0,0.0,2.0
833ca8fffffffff,3.0,0.0,0.0
833ca9fffffffff,1.0,0.0,0.0
833cabfffffffff,8.0,0.0,3.0
833ce4fffffffff,6.0,0.0,0.0
833ceafffffffff,6.0,0.0,0.0
833cf2fffffffff,16.0,0.0,8.0
833cf6fffffffff,9.0,0.0,0.0
833d10fffffffff,1.0,0.0,0.0
833d13fffffffff,5.0,0.0,5.0
833d33fffffffff,2.0,0.0,0.0
833d34fffffffff,1.0,0.0,0.0
833d36fffffffff,3.0,0.0,0.0
833d98fffffffff,6.0,0.0,0.0
833da3fffffffff,4.0,0.0,2.0
833dadfffffffff,6.0,0.0,2.0
833daefffffffff,3.0,0.0,0.0
833e6cfffffffff,20.0,0.0,2.0
833e75fffffffff,2.0,0.0,0.0
833f4dfffffffff,2.0,0.0,0.0
834103fffffffff,11.0,0.0,0.0
83411cfffffffff,22.0,0.0,1.0
834142fffffffff,2.0,0.0,0.0
83415efffffffff,3.0,0.0,3.0
834172fffffffff,1.0,0.0,1.0
834206fffffffff,1.0,0.0,0.0
8342c1fffffffff,3.0,0.0,0.0
8342c3fffffffff,2.0,0.0,0.0
8342c4fffffffff,1.0,0.0,1.0
8342cefffffffff,2.0,0.0,2.0
8342eafffffffff,2.0,0.0,0.0
8342ebfffffffff,1.0,0.0,1.0
834306fffffffff,2.0,0.0,0.0
83431efffffffff,4.0,0.0,0.0
834331fffffffff,2.0,0.0,0.0
83438cfffffffff,17.0,0.0,0.0
8343a0fffffffff,5.0,0.0,0.0
8343a1fffffffff,29.0,0.0,2.0
8343a9fffffffff,4.0,0.0,0.0
8343acfffffffff,25.0,0.0,4.0
8343aefffffffff,2.0,0.0,0.0
834b86fffffffff,2.0,0.0,0.0
834ba0fffffffff,2.0,0.0,0.0
834ba2fffffffff,22.0,0.0,0.0
834ba3fffffffff,6.0,0.0,0.0
834ba5fffffffff,2.0,0.0,0.0
834ba8fffffffff,14.0,0.0,1.0
834bb1fffffffff,22.0,0.0,0.0
834bb5fffffffff,39.0,0.0,0.0
83521cfffffffff,2.0,0.0,0.0
835336fffffffff,2.0,0.0,0.0
835355fffffffff,6.0,0.0,0.0
835363fffffffff,3.0,0.0,0.0
83536afffffffff,4.0,0.0,0.0
8354c5fffffffff,1.0,1.0,0.0
8354eafffffffff,2.0,2.0,0.0
836004fffffffff,2.0,0.0,0.0
836006fffffffff,4.0,0.0,0.0
83600efffffffff,2.0,0.0,0.0
836015fffffffff,3.0,0.0,0.0
83601efffffffff,3.0,0.0,0.0
836022fffffffff,16.0,0.0,0.0
836031fffffffff,12.0,0.0,0.0
836033fffffffff,1.0,0.0,0.0
836035fffffffff,6.0,0.0,0.0
836084fffffffff,2.0,0.0,0.0
836088fffffffff,3.0,0.0,0.0
83608efffffffff,2.0,0.0,0.0
836092fffffffff,3.0,0.0,0.0
8360a2fffffffff,2.0,0.0,0.0
8360a9fffffffff,17.0,0.0,1.0
