cell_id,Emberiza capensis,Emberiza capensis [capensis Group],Emberiza capensis vincenti
829707fffffffff,20.0,0.0,0.0
82970ffffffffff,1.0,0.0,0.0
82971ffffffffff,1.0,0.0,0.0
82972ffffffffff,1.0,0.0,0.0
829777fffffffff,2.0,0.0,0.0
82978ffffffffff,9.0,0.0,9.0
8297affffffffff,8.0,0.0,8.0
82ac87fffffffff,24.0,0.0,0.0
82aca7fffffffff,435.0,5.0,0.0
82acaffffffffff,20.0,0.0,0.0
82acb7fffffffff,1.0,0.0,0.0
82ad17fffffffff,35.0,0.0,0.0
82ad37fffffffff,1072.0,11.0,0.0
82ad87fffffffff,2.0,0.0,0.0
82ad8ffffffffff,9.0,0.0,0.0
82ada7fffffffff,117.0,3.0,0.0
82adaffffffffff,32.0,0.0,0.0
82adb7fffffffff,6.0,0.0,0.0
82bc0ffffffffff,4.0,0.0,0.0
82bc47fffffffff,314.0,1.0,0.0
82bc4ffffffffff,741.0,4.0,0.0
82bc57fffffffff,40.0,0.0,0.0
82bc5ffffffffff,5.0,0.0,0.0
82bc6ffffffffff,909.0,11.0,0.0
82bc77fffffffff,4.0,0.0,0.0
82bc8ffffffffff,1.0,0.0,0.0
82bcc7fffffffff,167.0,7.0,0.0
82bcd7fffffffff,55.0,0.0,0.0
82bcdffffffffff,23.0,0.0,0.0
82bce7fffffffff,423.0,1.0,0.0
82bceffffffffff,16.0,0.0,0.0
82bcf7fffffffff,177.0,1.0,0.0
