cell_id,Emberiza godlewskii,Emberiza godlewskii [godlewskii Group],Emberiza godlewskii yunnanensis/khamensis
82204ffffffffff,9.0,0.0,0.0
82206ffffffffff,5.0,0.0,0.0
822407fffffffff,17.0,0.0,0.0
82240ffffffffff,24.0,0.0,0.0
82241ffffffffff,7.0,0.0,0.0
822427fffffffff,6.0,0.0,0.0
82242ffffffffff,2.0,0.0,0.0
822457fffffffff,56.0,0.0,0.0
822477fffffffff,1.0,0.0,0.0
822487fffffffff,13.0,0.0,0.0
82248ffffffffff,105.0,1.0,0.0
8224affffffffff,2.0,0.0,0.0
8224c7fffffffff,37.0,0.0,0.0
8224d7fffffffff,32.0,1.0,0.0
822517fffffffff,73.0,0.0,0.0
822557fffffffff,2.0,0.0,0.0
82255ffffffffff,9.0,0.0,0.0
8225affffffffff,4.0,0.0,0.0
8225b7fffffffff,28.0,0.0,0.0
823037fffffffff,27.0,4.0,0.0
823117fffffffff,4.0,0.0,0.0
823127fffffffff,6.0,0.0,0.0
823137fffffffff,2.0,0.0,0.0
823187fffffffff,620.0,0.0,0.0
823197fffffffff,28.0,0.0,0.0
8231a7fffffffff,1.0,1.0,0.0
8231affffffffff,208.0,0.0,0.0
8231b7fffffffff,1.0,0.0,0.0
823c0ffffffffff,14.0,0.0,0.0
823c47fffffffff,68.0,0.0,0.0
823c4ffffffffff,1.0,0.0,0.0
823c57fffffffff,11.0,0.0,0.0
823c5ffffffffff,203.0,0.0,0.0
823c6ffffffffff,127.0,0.0,0.0
823c77fffffffff,34.0,0.0,0.0
82400ffffffffff,2.0,0.0,0.0
824047fffffffff,52.0,0.0,2.0
824057fffffffff,1.0,0.0,0.0
82405ffffffffff,49.0,0.0,0.0
824077fffffffff,31.0,0.0,2.0
82408ffffffffff,3.0,0.0,0.0
8240c7fffffffff,107.0,1.0,0.0
8240cffffffffff,11.0,0.0,0.0
8240d7fffffffff,4.0,0.0,0.0
8240dffffffffff,20.0,0.0,0.0
8240e7fffffffff,3.0,0.0,0.0
8240effffffffff,23.0,0.0,0.0
