cell_id,Emberizoides herbicola,Emberizoides herbicola [sphenurus Group],Emberizoides herbicola herbicola
826607fffffffff,1.0,0.0,0.0
82660ffffffffff,5.0,0.0,0.0
8266a7fffffffff,12.0,0.0,0.0
8266b7fffffffff,94.0,0.0,0.0
8266e7fffffffff,5.0,0.0,0.0
8266effffffffff,1.0,0.0,0.0
8266f7fffffffff,13.0,0.0,0.0
826747fffffffff,2.0,0.0,0.0
82674ffffffffff,1.0,0.0,0.0
82675ffffffffff,6.0,0.0,0.0
828a07fffffffff,27.0,0.0,0.0
828b1ffffffffff,2.0,0.0,0.0
828b27fffffffff,4.0,0.0,0.0
828b67fffffffff,6.0,0.0,0.0
828b6ffffffffff,7.0,0.0,0.0
828b77fffffffff,15.0,0.0,0.0
828f4ffffffffff,20.0,0.0,0.0
828f77fffffffff,5.0,0.0,0.0
82a827fffffffff,2.0,0.0,0.0
82a92ffffffffff,1.0,0.0,0.0
82a947fffffffff,4.0,0.0,0.0
82a96ffffffffff,13.0,0.0,0.0
82b367fffffffff,1.0,0.0,0.0
82c2dffffffffff,35.0,0.0,0.0
