cell_id,Embernagra platensis,Embernagra platensis olivascens,Embernagra platensis platensis
838b20fffffffff,2.0,2.0,0.0
838b25fffffffff,5.0,5.0,0.0
83a831fffffffff,4.0,0.0,4.0
83a8a1fffffffff,1.0,0.0,1.0
83a8a9fffffffff,1.0,0.0,1.0
83a92cfffffffff,1.0,0.0,0.0
83a952fffffffff,1.0,0.0,0.0
83a961fffffffff,64.0,0.0,0.0
83a965fffffffff,26.0,0.0,0.0
83a96cfffffffff,28.0,0.0,0.0
83a96efffffffff,1.0,0.0,0.0
83b241fffffffff,11.0,11.0,0.0
83b245fffffffff,7.0,7.0,0.0
83b246fffffffff,2.0,2.0,0.0
83b248fffffffff,35.0,0.0,0.0
83b249fffffffff,79.0,0.0,0.0
83b24afffffffff,3.0,0.0,3.0
83b24bfffffffff,10.0,0.0,2.0
83b24dfffffffff,339.0,0.0,0.0
83b258fffffffff,11.0,11.0,0.0
83b259fffffffff,22.0,19.0,2.0
83b25afffffffff,2.0,2.0,0.0
83b25bfffffffff,15.0,15.0,0.0
83b25cfffffffff,8.0,8.0,0.0
83b261fffffffff,7.0,0.0,0.0
83b268fffffffff,45.0,0.0,0.0
83b269fffffffff,85.0,0.0,0.0
83b26afffffffff,25.0,25.0,0.0
83b26bfffffffff,41.0,0.0,0.0
83b26cfffffffff,4.0,0.0,0.0
83b26dfffffffff,56.0,0.0,0.0
83b270fffffffff,4.0,4.0,0.0
83b2ecfffffffff,2.0,2.0,0.0
83b348fffffffff,2.0,0.0,0.0
83b34cfffffffff,3.0,3.0,0.0
83b358fffffffff,2.0,0.0,0.0
83b35afffffffff,2.0,0.0,0.0
83b35dfffffffff,2.0,0.0,0.0
83c21bfffffffff,5.0,0.0,3.0
83c2c5fffffffff,3.0,0.0,3.0
83c2c9fffffffff,184.0,0.0,0.0
83c2cbfffffffff,2.0,0.0,0.0
83c2cdfffffffff,44.0,0.0,0.0
83c2cefffffffff,2.0,0.0,2.0
83c2e9fffffffff,63.0,0.0,0.0
83c2ebfffffffff,10.0,0.0,0.0
83c2f1fffffffff,2.0,0.0,0.0
83c2f3fffffffff,3.0,0.0,0.0
83c348fffffffff,6.0,0.0,6.0
83c349fffffffff,25.0,0.0,25.0
83c34bfffffffff,96.0,0.0,38.0
83c36bfffffffff,1.0,1.0,0.0
83ce82fffffffff,2.0,0.0,0.0
83ce9cfffffffff,2.0,0.0,0.0
