cell_id,Empidonax difficilis,Empidonax difficilis [difficilis Group],Empidonax difficilis occidentalis/hellmayri,Empidonax difficilis difficilis x hellmayri
821217fffffffff,2.0,2.0,0.0,0.0
82121ffffffffff,15.0,15.0,0.0,0.0
821287fffffffff,245.0,243.0,0.0,0.0
82128ffffffffff,156.0,155.0,0.0,0.0
821297fffffffff,168.0,167.0,0.0,0.0
82129ffffffffff,314.0,310.0,0.0,0.0
8212a7fffffffff,18.0,18.0,0.0,0.0
8212affffffffff,78.0,77.0,0.0,0.0
8212b7fffffffff,533.0,531.0,0.0,0.0
8212c7fffffffff,404.0,400.0,0.0,0.0
8212cffffffffff,422.0,174.0,224.0,0.0
8212d7fffffffff,957.0,954.0,0.0,0.0
8212dffffffffff,2286.0,1698.0,414.0,0.0
8212e7fffffffff,5.0,5.0,0.0,0.0
8212f7fffffffff,141.0,141.0,0.0,0.0
821397fffffffff,221.0,218.0,0.0,0.0
82139ffffffffff,446.0,441.0,0.0,0.0
821d27fffffffff,95.0,95.0,0.0,0.0
822617fffffffff,265.0,0.0,262.0,0.0
822687fffffffff,8049.0,0.0,7979.0,0.0
82268ffffffffff,6295.0,0.0,6147.0,0.0
822697fffffffff,2196.0,0.0,2191.0,0.0
82269ffffffffff,2309.0,0.0,2281.0,0.0
8226a7fffffffff,374.0,0.0,369.0,0.0
8226affffffffff,186.0,0.0,122.0,0.0
8226b7fffffffff,198.0,0.0,196.0,0.0
8226dffffffffff,4.0,0.0,4.0,0.0
8226f7fffffffff,4.0,0.0,4.0,0.0
822787fffffffff,5.0,0.0,5.0,0.0
82278ffffffffff,348.0,0.0,342.0,0.0
822797fffffffff,501.0,0.0,498.0,0.0
82279ffffffffff,99.0,0.0,99.0,0.0
8227b7fffffffff,11.0,0.0,0.0,0.0
822807fffffffff,4572.0,4477.0,0.0,0.0
822817fffffffff,1125.0,863.0,170.0,0.0
82281ffffffffff,3006.0,2931.0,0.0,0.0
822837fffffffff,44609.0,42499.0,0.0,0.0
822887fffffffff,430.0,1.0,112.0,0.0
82288ffffffffff,1733.0,791.0,254.0,0.0
822897fffffffff,425.0,0.0,413.0,0.0
82289ffffffffff,688.0,0.0,609.0,0.0
8228a7fffffffff,127.0,36.0,23.0,0.0
8228affffffffff,1184.0,909.0,0.0,0.0
8228b7fffffffff,725.0,0.0,718.0,0.0
8228c7fffffffff,1953.0,1943.0,0.0,0.0
8228cffffffffff,43.0,43.0,0.0,0.0
8228d7fffffffff,24225.0,24111.0,0.0,0.0
8228dffffffffff,9668.0,9622.0,0.0,0.0
8228f7fffffffff,12352.0,12261.0,0.0,0.0
822917fffffffff,3611.0,3567.0,0.0,0.0
82291ffffffffff,4232.0,4224.0,0.0,0.0
822987fffffffff,1209.0,502.0,168.0,0.0
82298ffffffffff,1244.0,866.0,12.0,0.0
822997fffffffff,375.0,0.0,331.0,0.0
82299ffffffffff,13.0,0.0,6.0,0.0
8229a7fffffffff,31497.0,30515.0,0.0,0.0
8229affffffffff,8289.0,7775.0,0.0,0.0
8229b7fffffffff,2113.0,796.0,762.0,0.0
824807fffffffff,198.0,144.0,18.0,0.0
82480ffffffffff,1403.0,770.0,29.0,0.0
824817fffffffff,380.0,6.0,356.0,0.0
82481ffffffffff,65.0,6.0,58.0,0.0
824827fffffffff,119.0,112.0,0.0,0.0
82482ffffffffff,641.0,602.0,0.0,0.0
824837fffffffff,5321.0,4287.0,410.0,0.0
824847fffffffff,158.0,122.0,0.0,0.0
82484ffffffffff,177.0,150.0,0.0,0.0
824857fffffffff,42.0,23.0,2.0,0.0
82485ffffffffff,1440.0,1286.0,0.0,0.0
824877fffffffff,247.0,192.0,0.0,0.0
82488ffffffffff,19.0,0.0,18.0,0.0
8248a7fffffffff,324.0,0.0,318.0,0.0
8248affffffffff,531.0,0.0,524.0,0.0
8248c7fffffffff,6045.0,87.0,5532.0,0.0
8248cffffffffff,2385.0,40.0,2080.0,0.0
8248d7fffffffff,497.0,0.0,413.0,0.0
8248dffffffffff,4909.0,0.0,4630.0,0.0
8248e7fffffffff,328.0,69.0,136.0,0.0
8248effffffffff,17379.0,5074.0,8488.0,0.0
8248f7fffffffff,15.0,0.0,14.0,0.0
824987fffffffff,738.0,7.0,706.0,0.0
82498ffffffffff,78.0,3.0,75.0,0.0
824997fffffffff,4361.0,0.0,4320.0,0.0
82499ffffffffff,88.0,0.0,88.0,0.0
8249a7fffffffff,104.0,95.0,0.0,0.0
8249affffffffff,3215.0,1548.0,1056.0,0.0
8249b7fffffffff,510.0,47.0,415.0,0.0
826d17fffffffff,142.0,0.0,0.0,0.0
826d37fffffffff,110.0,0.0,14.0,0.0
