cell_id,Entomyzon cyanotis,Entomyzon cyanotis albipennis,Entomyzon cyanotis [cyanotis Group]
8272f7fffffffff,2.0,0.0,0.0
82941ffffffffff,39.0,30.0,0.0
829457fffffffff,1472.0,472.0,0.0
82945ffffffffff,895.0,226.0,0.0
8294c7fffffffff,12.0,2.0,0.0
8294e7fffffffff,265.0,32.0,0.0
8294effffffffff,877.0,285.0,0.0
8294f7fffffffff,58.0,4.0,0.0
829c07fffffffff,694.0,0.0,32.0
829c0ffffffffff,409.0,0.0,12.0
829c1ffffffffff,24.0,0.0,0.0
829c27fffffffff,2250.0,0.0,66.0
829c2ffffffffff,462.0,0.0,0.0
829c47fffffffff,45.0,8.0,0.0
829c4ffffffffff,115.0,27.0,0.0
829c5ffffffffff,19.0,2.0,0.0
829c67fffffffff,2.0,0.0,0.0
829c77fffffffff,52.0,0.0,0.0
829cc7fffffffff,16.0,0.0,0.0
829ce7fffffffff,42.0,0.0,0.0
829ceffffffffff,37.0,3.0,0.0
829d07fffffffff,276.0,0.0,1.0
829d0ffffffffff,944.0,0.0,10.0
829d27fffffffff,865.0,0.0,20.0
829d2ffffffffff,275.0,0.0,3.0
829d47fffffffff,4.0,0.0,0.0
829d57fffffffff,66.0,0.0,0.0
829d77fffffffff,38.0,0.0,0.0
82be0ffffffffff,215.0,0.0,0.0
82be1ffffffffff,566.0,0.0,18.0
82be47fffffffff,1268.0,0.0,147.0
82be4ffffffffff,267.0,0.0,11.0
82be57fffffffff,766.0,0.0,2.0
82be5ffffffffff,126.0,0.0,11.0
82be67fffffffff,1.0,0.0,0.0
82be6ffffffffff,40.0,0.0,8.0
82be77fffffffff,244.0,0.0,14.0
82be8ffffffffff,12100.0,0.0,828.0
82beaffffffffff,1997.0,0.0,239.0
82bec7fffffffff,133.0,0.0,1.0
82becffffffffff,164.0,0.0,0.0
82bed7fffffffff,230.0,0.0,0.0
82bedffffffffff,149.0,0.0,0.0
82bee7fffffffff,552.0,0.0,0.0
82beeffffffffff,114.0,0.0,2.0
82bef7fffffffff,1884.0,0.0,56.0
