cell_id,Epinecrophylla amazonica,Epinecrophylla amazonica amazonica,Epinecrophylla amazonica dentei
838a00fffffffff,16.0,10.0,0.0
838a01fffffffff,13.0,9.0,0.0
838a05fffffffff,10.0,1.0,0.0
838a15fffffffff,5.0,0.0,5.0
838a1afffffffff,18.0,5.0,0.0
838a21fffffffff,4.0,0.0,0.0
838a2afffffffff,3.0,3.0,0.0
838a2cfffffffff,4.0,0.0,0.0
838a31fffffffff,16.0,0.0,0.0
838a33fffffffff,7.0,1.0,1.0
838a56fffffffff,7.0,0.0,0.0
838a70fffffffff,5.0,1.0,0.0
838aa9fffffffff,11.0,9.0,0.0
838aacfffffffff,1.0,0.0,0.0
838aadfffffffff,4.0,0.0,0.0
838ae5fffffffff,4.0,0.0,0.0
838af4fffffffff,8.0,4.0,0.0
838b40fffffffff,19.0,1.0,0.0
838b42fffffffff,2.0,0.0,0.0
838b44fffffffff,68.0,1.0,0.0
838b46fffffffff,27.0,0.0,0.0
838b4afffffffff,4.0,0.0,0.0
838b4efffffffff,12.0,0.0,0.0
838b52fffffffff,5.0,0.0,0.0
838b55fffffffff,1.0,0.0,0.0
838b5cfffffffff,1.0,0.0,0.0
838b61fffffffff,4.0,0.0,0.0
838b62fffffffff,1.0,0.0,0.0
838b63fffffffff,32.0,2.0,0.0
838b6efffffffff,5.0,0.0,0.0
838b71fffffffff,117.0,2.0,0.0
838b74fffffffff,2.0,0.0,0.0
