cell_id,Epinecrophylla ornata,Epinecrophylla ornata [ornata Group],Epinecrophylla ornata hoffmannsi
8466c29ffffffff,16.0,0.0,0.0
8466c2dffffffff,6.0,0.0,0.0
8466c53ffffffff,3.0,0.0,0.0
8466c57ffffffff,4.0,0.0,0.0
8466c67ffffffff,2.0,0.0,0.0
8466cb9ffffffff,1.0,0.0,0.0
8466cc5ffffffff,2.0,0.0,0.0
8466ce9ffffffff,2.0,0.0,0.0
8466d1bffffffff,2.0,0.0,0.0
8466d81ffffffff,7.0,0.0,0.0
8466da9ffffffff,3.0,0.0,0.0
8466dadffffffff,8.0,0.0,0.0
8466db1ffffffff,2.0,0.0,0.0
8466dc3ffffffff,52.0,5.0,0.0
8466dd3ffffffff,1.0,0.0,0.0
8466dd5ffffffff,7.0,0.0,0.0
8466ddbffffffff,2.0,0.0,0.0
8466de1ffffffff,254.0,10.0,0.0
8466de3ffffffff,5.0,2.0,0.0
8466de7ffffffff,9.0,0.0,0.0
8466debffffffff,5.0,0.0,0.0
8466e8dffffffff,2.0,0.0,0.0
8466eadffffffff,8.0,0.0,0.0
8466ec5ffffffff,1.0,0.0,0.0
8466ec7ffffffff,2.0,0.0,0.0
8466ee5ffffffff,74.0,0.0,0.0
8466ee7ffffffff,2.0,0.0,0.0
8466eedffffffff,1.0,0.0,0.0
8480619ffffffff,11.0,0.0,0.0
8480643ffffffff,4.0,0.0,0.0
848064bffffffff,2.0,0.0,0.0
8480655ffffffff,19.0,0.0,0.0
848066bffffffff,6.0,0.0,0.0
8481403ffffffff,1.0,0.0,0.0
8481485ffffffff,1.0,0.0,0.0
84814a1ffffffff,7.0,0.0,0.0
84814a9ffffffff,31.0,0.0,0.0
84814adffffffff,52.0,0.0,0.0
84814d5ffffffff,52.0,0.0,0.0
84814d9ffffffff,3.0,0.0,0.0
84814e3ffffffff,27.0,0.0,0.0
84814e5ffffffff,4.0,0.0,0.0
84814e7ffffffff,75.0,0.0,0.0
84815d3ffffffff,2.0,0.0,0.0
84815d7ffffffff,2.0,0.0,0.0
84815d9ffffffff,42.0,0.0,0.0
84815dbffffffff,3.0,0.0,0.0
8481637ffffffff,2.0,0.0,0.0
848a109ffffffff,1.0,0.0,0.0
848a155ffffffff,12.0,0.0,0.0
848a157ffffffff,4.0,0.0,0.0
848a317ffffffff,1.0,0.0,0.0
848a337ffffffff,7.0,0.0,0.0
848a459ffffffff,2.0,0.0,0.0
848a6d7ffffffff,2.0,0.0,0.0
848a6dbffffffff,2.0,0.0,0.0
848a70bffffffff,2.0,0.0,0.0
848a809ffffffff,20.0,0.0,0.0
848a925ffffffff,13.0,0.0,0.0
848a927ffffffff,10.0,0.0,0.0
848a929ffffffff,2.0,0.0,0.0
848a92dffffffff,1.0,0.0,0.0
848a9cdffffffff,3.0,0.0,0.0
848aac9ffffffff,1.0,0.0,0.0
848ab21ffffffff,1.0,0.0,0.0
848b401ffffffff,12.0,3.0,0.0
848b405ffffffff,1.0,0.0,0.0
848b409ffffffff,2.0,0.0,0.0
848b40bffffffff,4.0,0.0,0.0
848b40dffffffff,17.0,0.0,0.0
848b44bffffffff,67.0,4.0,0.0
848b44dffffffff,26.0,0.0,0.0
848b459ffffffff,1.0,0.0,0.0
848b469ffffffff,8.0,0.0,0.0
848b4e5ffffffff,15.0,0.0,0.0
848b513ffffffff,4.0,0.0,0.0
848b529ffffffff,1.0,0.0,0.0
848b5c3ffffffff,2.0,0.0,0.0
848b5cdffffffff,38.0,0.0,0.0
848b5d3ffffffff,1.0,0.0,0.0
848b617ffffffff,319.0,16.0,0.0
848b623ffffffff,1.0,0.0,0.0
848b627ffffffff,22.0,0.0,0.0
848b633ffffffff,1.0,0.0,0.0
848b635ffffffff,2.0,0.0,0.0
848b637ffffffff,23.0,0.0,0.0
848b639ffffffff,12.0,0.0,0.0
848b63bffffffff,46.0,5.0,0.0
848b689ffffffff,1.0,0.0,0.0
848b6c3ffffffff,1.0,0.0,0.0
848b6e5ffffffff,1.0,0.0,0.0
848b6e7ffffffff,5.0,0.0,0.0
848b6edffffffff,14.0,0.0,0.0
848b713ffffffff,21.0,3.0,0.0
848b71bffffffff,10.0,0.0,0.0
848b999ffffffff,3.0,0.0,0.0
848b99dffffffff,4.0,0.0,0.0
848b9d1ffffffff,2.0,0.0,0.0
848b9d5ffffffff,43.0,0.0,0.0
848b9d7ffffffff,2.0,0.0,0.0
848e649ffffffff,1.0,0.0,0.0
848f401ffffffff,3.0,0.0,0.0
848f429ffffffff,5.0,0.0,0.0
848f431ffffffff,1.0,0.0,0.0
848f439ffffffff,11.0,1.0,0.0
848f461ffffffff,2.0,0.0,0.0
848f463ffffffff,30.0,3.0,0.0
848f5d3ffffffff,3.0,0.0,0.0
848f613ffffffff,10.0,0.0,0.0
848f6b5ffffffff,2.0,0.0,0.0
848f705ffffffff,1.0,0.0,0.0
848f729ffffffff,2.0,0.0,0.0
848f72bffffffff,39.0,0.0,0.0
848f74bffffffff,3.0,0.0,0.0
