cell_id,Eremomela icteropygialis,Eremomela icteropygialis [icteropygialis Group],Eremomela icteropygialis salvadorii
825287fffffffff,3.0,0.0,0.0
82529ffffffffff,2.0,0.0,0.0
8252d7fffffffff,2.0,0.0,0.0
825407fffffffff,12.0,0.0,0.0
825417fffffffff,148.0,0.0,0.0
82541ffffffffff,31.0,0.0,0.0
825447fffffffff,1.0,0.0,0.0
8254affffffffff,8.0,0.0,0.0
8254e7fffffffff,1.0,0.0,0.0
825857fffffffff,3.0,0.0,0.0
82585ffffffffff,2.0,0.0,0.0
826a4ffffffffff,1.0,0.0,0.0
826a5ffffffffff,19.0,0.0,0.0
826acffffffffff,1.0,0.0,0.0
826aeffffffffff,7.0,0.0,0.0
827a47fffffffff,114.0,0.0,0.0
827a4ffffffffff,81.0,0.0,0.0
827a5ffffffffff,16.0,0.0,0.0
827a67fffffffff,97.0,0.0,0.0
827a6ffffffffff,231.0,0.0,0.0
827ac7fffffffff,2.0,0.0,0.0
827acffffffffff,78.0,0.0,0.0
827adffffffffff,149.0,0.0,0.0
827aeffffffffff,143.0,0.0,0.0
827b4ffffffffff,5.0,0.0,0.0
827b6ffffffffff,2.0,0.0,0.0
8282a7fffffffff,11.0,0.0,11.0
828307fffffffff,11.0,0.0,0.0
828327fffffffff,14.0,0.0,5.0
828337fffffffff,7.0,0.0,7.0
82838ffffffffff,1.0,0.0,1.0
829607fffffffff,17.0,0.0,0.0
82960ffffffffff,20.0,0.0,0.0
829617fffffffff,1.0,0.0,0.0
829627fffffffff,14.0,0.0,0.0
82962ffffffffff,7.0,0.0,0.0
829637fffffffff,6.0,0.0,0.0
829667fffffffff,1.0,0.0,0.0
829677fffffffff,1.0,0.0,0.0
829687fffffffff,5.0,0.0,0.0
829697fffffffff,225.0,0.0,0.0
82969ffffffffff,2.0,0.0,0.0
8296a7fffffffff,10.0,0.0,0.0
8296b7fffffffff,21.0,0.0,0.0
829707fffffffff,22.0,0.0,0.0
82970ffffffffff,2.0,0.0,0.0
829717fffffffff,3.0,0.0,0.0
82971ffffffffff,6.0,0.0,0.0
829727fffffffff,2.0,0.0,0.0
82972ffffffffff,30.0,0.0,0.0
829747fffffffff,24.0,0.0,0.0
82974ffffffffff,47.0,0.0,0.0
829757fffffffff,29.0,0.0,0.0
82975ffffffffff,6.0,0.0,0.0
829767fffffffff,1.0,0.0,0.0
82976ffffffffff,3.0,0.0,0.0
829777fffffffff,9.0,0.0,0.0
82978ffffffffff,15.0,0.0,0.0
82979ffffffffff,3.0,0.0,0.0
8297affffffffff,12.0,0.0,0.0
82ac17fffffffff,5.0,0.0,0.0
82ac87fffffffff,241.0,0.0,0.0
82ac8ffffffffff,20.0,0.0,0.0
82ac97fffffffff,3.0,0.0,0.0
82aca7fffffffff,538.0,0.0,0.0
82acaffffffffff,24.0,0.0,0.0
82acb7fffffffff,18.0,0.0,0.0
82ad37fffffffff,4.0,0.0,0.0
82ad87fffffffff,42.0,0.0,0.0
82ad8ffffffffff,40.0,0.0,0.0
82ad97fffffffff,9.0,0.0,0.0
82ada7fffffffff,86.0,0.0,0.0
82adaffffffffff,19.0,0.0,0.0
82adb7fffffffff,23.0,0.0,0.0
82bc47fffffffff,62.0,0.0,0.0
82bc4ffffffffff,91.0,0.0,0.0
82bc57fffffffff,19.0,0.0,0.0
82bc5ffffffffff,4.0,0.0,0.0
82bc6ffffffffff,6.0,0.0,0.0
82bc77fffffffff,4.0,0.0,0.0
82bc8ffffffffff,1.0,0.0,0.0
82bcc7fffffffff,3.0,0.0,0.0
82bccffffffffff,3.0,0.0,0.0
82bcd7fffffffff,130.0,0.0,0.0
82bcdffffffffff,45.0,0.0,0.0
82bceffffffffff,19.0,0.0,0.0
82bcf7fffffffff,39.0,0.0,0.0
