cell_id,Eudynamys orientalis,Eudynamys orientalis [orientalis Group],Eudynamys orientalis cyanocephalus/subcyanocephalus
837290fffffffff,14.0,5.0,0.0
8372a2fffffffff,13.0,0.0,13.0
83739bfffffffff,4.0,0.0,4.0
837683fffffffff,2.0,0.0,0.0
83769dfffffffff,2.0,0.0,0.0
839421fffffffff,5.0,3.0,0.0
839451fffffffff,5.0,0.0,0.0
83945afffffffff,2.0,0.0,0.0
83945cfffffffff,2.0,0.0,2.0
839480fffffffff,28.0,0.0,2.0
8394edfffffffff,1.0,0.0,1.0
839544fffffffff,3.0,1.0,0.0
839553fffffffff,1.0,1.0,0.0
83956cfffffffff,1.0,0.0,0.0
8395a9fffffffff,3.0,0.0,0.0
839c23fffffffff,2.0,0.0,1.0
839c8bfffffffff,2.0,2.0,0.0
839c90fffffffff,1.0,0.0,0.0
839cd3fffffffff,9.0,1.0,1.0
83b916fffffffff,10.0,0.0,2.0
83be08fffffffff,9.0,0.0,0.0
83be0bfffffffff,2.0,0.0,0.0
83be0cfffffffff,2.0,0.0,0.0
83be0efffffffff,2.0,0.0,0.0
83be44fffffffff,5.0,0.0,2.0
83be45fffffffff,4.0,0.0,2.0
83be54fffffffff,6.0,0.0,0.0
83be55fffffffff,2.0,0.0,0.0
83be60fffffffff,2.0,0.0,2.0
83be63fffffffff,11.0,0.0,3.0
83be71fffffffff,1.0,0.0,1.0
83be72fffffffff,15.0,0.0,7.0
83be8dfffffffff,8.0,0.0,2.0
83bea9fffffffff,5.0,0.0,2.0
83bedefffffffff,2.0,0.0,0.0
83bf48fffffffff,4.0,0.0,0.0
