cell_id,Euplectes macroura,Euplectes macroura macrocercus,Euplectes macroura macroura/conradsi
843915dffffffff,1.0,0.0,0.0
8454c51ffffffff,4.0,0.0,0.0
8454c55ffffffff,2.0,0.0,0.0
8454c5bffffffff,2.0,0.0,0.0
8454e13ffffffff,7.0,0.0,0.0
8454e31ffffffff,5.0,0.0,0.0
8454e35ffffffff,4.0,0.0,0.0
8454ea9ffffffff,4.0,0.0,0.0
8454eadffffffff,2.0,0.0,0.0
8454ec5ffffffff,2.0,0.0,0.0
8454ee3ffffffff,5.0,0.0,0.0
8454f57ffffffff,2.0,0.0,0.0
846accbffffffff,4.0,4.0,0.0
846ace5ffffffff,2.0,2.0,0.0
846aea1ffffffff,5.0,4.0,1.0
846aeabffffffff,2.0,0.0,2.0
847a4d9ffffffff,1.0,1.0,0.0
847a4ddffffffff,6.0,6.0,0.0
847a683ffffffff,6.0,0.0,4.0
847a68bffffffff,1.0,0.0,1.0
847a6e7ffffffff,2.0,0.0,0.0
