cell_id,Eupsittula pertinax,Eupsittula pertinax ocularis,Eupsittula pertinax [pertinax Group]
834ce8fffffffff,13.0,2.0,0.0
834ceefffffffff,2.0,0.0,0.0
835f58fffffffff,20.0,0.0,0.0
836602fffffffff,16.0,0.0,0.0
836606fffffffff,1.0,0.0,0.0
83660dfffffffff,16.0,0.0,0.0
83660efffffffff,2.0,0.0,0.0
836618fffffffff,2.0,0.0,2.0
836619fffffffff,2.0,0.0,2.0
83661bfffffffff,8.0,0.0,0.0
83661cfffffffff,40.0,0.0,0.0
836622fffffffff,4.0,0.0,4.0
836623fffffffff,1.0,0.0,0.0
83662bfffffffff,4.0,0.0,0.0
836631fffffffff,4.0,0.0,0.0
8366a0fffffffff,9.0,0.0,0.0
8366a2fffffffff,8.0,0.0,0.0
8366a3fffffffff,3.0,0.0,0.0
8366a5fffffffff,89.0,0.0,0.0
8366b0fffffffff,2.0,2.0,0.0
8366b5fffffffff,64.0,15.0,0.0
8366e6fffffffff,15.0,0.0,0.0
8366f1fffffffff,5.0,0.0,0.0
8366f5fffffffff,1.0,0.0,0.0
836741fffffffff,97.0,0.0,3.0
836743fffffffff,3.0,0.0,0.0
836744fffffffff,51.0,0.0,1.0
836746fffffffff,2.0,0.0,0.0
83674cfffffffff,2.0,0.0,0.0
83674efffffffff,2.0,0.0,0.0
836759fffffffff,1.0,0.0,1.0
83675afffffffff,1.0,0.0,0.0
83675cfffffffff,11.0,0.0,0.0
83675efffffffff,2.0,0.0,0.0
83679bfffffffff,10.0,5.0,0.0
838a31fffffffff,2.0,0.0,0.0
838aa8fffffffff,1.0,0.0,0.0
838af1fffffffff,5.0,0.0,0.0
