cell_id,Falco tinnunculus,Falco tinnunculus [tinnunculus Group],Falco tinnunculus canariensis/dacotiae,Falco tinnunculus neglectus/alexandri,Falco tinnunculus rufescens
820127fffffffff,37.0,2.0,0.0,0.0,0.0
820137fffffffff,58.0,1.0,0.0,0.0,0.0
820807fffffffff,7.0,0.0,0.0,0.0,0.0
820817fffffffff,98.0,2.0,0.0,0.0,0.0
82081ffffffffff,18.0,0.0,0.0,0.0,0.0
820837fffffffff,12.0,2.0,0.0,0.0,0.0
820887fffffffff,204.0,0.0,0.0,0.0,0.0
82088ffffffffff,86.0,15.0,0.0,0.0,0.0
820897fffffffff,32.0,0.0,0.0,0.0,0.0
82089ffffffffff,277.0,27.0,0.0,0.0,0.0
8208a7fffffffff,42.0,0.0,0.0,0.0,0.0
8208affffffffff,3.0,0.0,0.0,0.0,0.0
8208b7fffffffff,64.0,0.0,0.0,0.0,0.0
8208c7fffffffff,24.0,2.0,0.0,0.0,0.0
8208cffffffffff,51.0,1.0,0.0,0.0,0.0
8208d7fffffffff,123.0,14.0,0.0,0.0,0.0
8208dffffffffff,35.0,0.0,0.0,0.0,0.0
8208e7fffffffff,4.0,0.0,0.0,0.0,0.0
8208effffffffff,31.0,2.0,0.0,0.0,0.0
8208f7fffffffff,19.0,2.0,0.0,0.0,0.0
82094ffffffffff,2.0,0.0,0.0,0.0,0.0
82095ffffffffff,13.0,0.0,0.0,0.0,0.0
820987fffffffff,24.0,0.0,0.0,0.0,0.0
82098ffffffffff,46.0,3.0,0.0,0.0,0.0
820997fffffffff,153.0,9.0,0.0,0.0,0.0
82099ffffffffff,101.0,15.0,0.0,0.0,0.0
8209a7fffffffff,85.0,8.0,0.0,0.0,0.0
8209affffffffff,10.0,0.0,0.0,0.0,0.0
820a97fffffffff,1.0,0.0,0.0,0.0,0.0
820b97fffffffff,12.0,0.0,0.0,0.0,0.0
820b9ffffffffff,3.0,0.0,0.0,0.0,0.0
820bb7fffffffff,12.0,0.0,0.0,0.0,0.0
821017fffffffff,4.0,0.0,0.0,0.0,0.0
821097fffffffff,6.0,0.0,0.0,0.0,0.0
82109ffffffffff,3.0,0.0,0.0,0.0,0.0
8210a7fffffffff,4.0,0.0,0.0,0.0,0.0
8210affffffffff,1.0,0.0,0.0,0.0,0.0
8210c7fffffffff,7.0,0.0,0.0,0.0,0.0
8210d7fffffffff,1.0,0.0,0.0,0.0,0.0
8210dffffffffff,9.0,0.0,0.0,0.0,0.0
8210effffffffff,2.0,0.0,0.0,0.0,0.0
8210f7fffffffff,8.0,1.0,0.0,0.0,0.0
821107fffffffff,105.0,0.0,0.0,0.0,0.0
821127fffffffff,82.0,6.0,0.0,0.0,0.0
82112ffffffffff,35.0,4.0,0.0,0.0,0.0
821137fffffffff,7.0,0.0,0.0,0.0,0.0
821187fffffffff,61.0,6.0,0.0,0.0,0.0
82118ffffffffff,134.0,7.0,0.0,0.0,0.0
821197fffffffff,4.0,0.0,0.0,0.0,0.0
82119ffffffffff,1.0,0.0,0.0,0.0,0.0
8211a7fffffffff,1.0,0.0,0.0,0.0,0.0
8211affffffffff,457.0,44.0,0.0,0.0,0.0
8211b7fffffffff,10.0,0.0,0.0,0.0,0.0
821497fffffffff,4.0,0.0,0.0,0.0,0.0
