cell_id,Ficedula superciliaris,Ficedula superciliaris superciliaris,Ficedula superciliaris aestigma
83209afffffffff,9.0,0.0,0.0
83209bfffffffff,3.0,0.0,0.0
833c02fffffffff,88.0,0.0,0.0
833c06fffffffff,17.0,0.0,0.0
833c0afffffffff,93.0,0.0,0.0
833c0bfffffffff,193.0,0.0,0.0
833c15fffffffff,1.0,0.0,0.0
833c19fffffffff,33.0,0.0,0.0
833c1dfffffffff,34.0,0.0,0.0
833c31fffffffff,18.0,0.0,0.0
833c34fffffffff,3.0,0.0,0.0
833c52fffffffff,165.0,0.0,0.0
833c80fffffffff,4.0,0.0,0.0
833c83fffffffff,1.0,0.0,0.0
833c8cfffffffff,5.0,0.0,0.0
833c90fffffffff,36.0,0.0,0.0
833c92fffffffff,16.0,0.0,0.0
833c94fffffffff,60.0,0.0,0.0
833c95fffffffff,3.0,0.0,0.0
833c96fffffffff,5.0,0.0,0.0
833ca0fffffffff,1.0,0.0,0.0
833ca2fffffffff,1.0,0.0,0.0
833ca3fffffffff,1.0,0.0,0.0
833ca4fffffffff,7.0,0.0,0.0
833caefffffffff,10.0,0.0,0.0
833cb0fffffffff,6.0,0.0,0.0
833cb1fffffffff,24.0,0.0,0.0
833cb3fffffffff,5.0,0.0,0.0
833cb4fffffffff,66.0,0.0,0.0
833cb5fffffffff,146.0,0.0,0.0
833cb6fffffffff,9.0,0.0,0.0
833cd8fffffffff,3.0,0.0,0.0
833cddfffffffff,1.0,0.0,0.0
833ce4fffffffff,22.0,0.0,0.0
833ce5fffffffff,80.0,0.0,0.0
833d10fffffffff,421.0,0.0,0.0
833d11fffffffff,79.0,0.0,0.0
833d13fffffffff,209.0,0.0,0.0
833d14fffffffff,7.0,0.0,0.0
833d15fffffffff,222.0,0.0,0.0
833d1afffffffff,102.0,0.0,0.0
833d1bfffffffff,1.0,0.0,0.0
833d1efffffffff,793.0,0.0,0.0
833d30fffffffff,25.0,0.0,0.0
833d31fffffffff,28.0,0.0,0.0
833d33fffffffff,77.0,0.0,0.0
833d34fffffffff,53.0,0.0,0.0
833d35fffffffff,76.0,0.0,0.0
833d36fffffffff,6.0,0.0,0.0
833d84fffffffff,2.0,0.0,0.0
833d91fffffffff,5.0,0.0,0.0
833d92fffffffff,10.0,0.0,0.0
833d93fffffffff,7.0,0.0,0.0
833d96fffffffff,6.0,0.0,0.0
833d98fffffffff,23.0,0.0,0.0
833d99fffffffff,12.0,0.0,0.0
833d9afffffffff,47.0,0.0,0.0
833d9bfffffffff,142.0,0.0,0.0
833d9dfffffffff,21.0,0.0,0.0
833d9efffffffff,104.0,0.0,0.0
833da2fffffffff,2.0,0.0,0.0
833da3fffffffff,15.0,0.0,0.0
833da9fffffffff,1.0,0.0,0.0
833dadfffffffff,1508.0,0.0,0.0
833db2fffffffff,2.0,0.0,0.0
833db3fffffffff,10.0,0.0,0.0
834043fffffffff,2.0,0.0,0.0
834044fffffffff,9.0,0.0,0.0
83404cfffffffff,1.0,0.0,0.0
83404efffffffff,1.0,0.0,0.0
83405cfffffffff,2.0,0.0,0.0
8340e1fffffffff,9.0,0.0,0.0
834269fffffffff,5.0,0.0,0.0
8342c2fffffffff,11.0,0.0,0.0
8342cafffffffff,6.0,0.0,0.0
8342ccfffffffff,18.0,0.0,0.0
8342cdfffffffff,8.0,0.0,0.0
8342cefffffffff,5.0,0.0,0.0
8342d9fffffffff,3.0,0.0,0.0
8342dbfffffffff,13.0,0.0,0.0
8342dcfffffffff,1.0,0.0,0.0
8342e9fffffffff,15.0,0.0,0.0
8342ebfffffffff,3.0,0.0,0.0
836014fffffffff,29.0,0.0,0.0
836016fffffffff,152.0,0.0,0.0
836088fffffffff,109.0,0.0,0.0
83608afffffffff,27.0,0.0,0.0
83608bfffffffff,114.0,0.0,0.0
836090fffffffff,11.0,0.0,0.0
836091fffffffff,13.0,0.0,0.0
836092fffffffff,179.0,0.0,0.0
836093fffffffff,36.0,0.0,0.0
836094fffffffff,12.0,0.0,0.0
836096fffffffff,134.0,0.0,0.0
83609afffffffff,2.0,0.0,0.0
83609bfffffffff,14.0,0.0,0.0
83609cfffffffff,7.0,0.0,0.0
83609dfffffffff,6.0,0.0,0.0
83609efffffffff,16.0,0.0,0.0
8360a2fffffffff,39.0,0.0,0.0
8360a6fffffffff,7.0,0.0,0.0
8360b1fffffffff,27.0,0.0,0.0
8360b2fffffffff,2.0,0.0,0.0
8360b6fffffffff,3.0,0.0,0.0
836189fffffffff,2.0,0.0,0.0
836480fffffffff,25.0,0.0,0.0
836482fffffffff,15.0,0.0,0.0
836490fffffffff,2.0,0.0,0.0
836491fffffffff,354.0,0.0,0.0
836498fffffffff,2.0,0.0,0.0
