cell_id,Formicarius analis,Formicarius analis [hoffmanni Group],Formicarius analis [analis Group]
835f48fffffffff,1.0,0.0,0.0
835f58fffffffff,8.0,0.0,4.0
83660dfffffffff,2.0,0.0,0.0
836613fffffffff,3.0,1.0,0.0
836616fffffffff,12.0,3.0,0.0
836619fffffffff,5.0,5.0,0.0
83661cfffffffff,40.0,0.0,0.0
83661dfffffffff,1.0,0.0,0.0
8366a5fffffffff,2.0,0.0,0.0
8366b0fffffffff,5.0,5.0,0.0
8366b4fffffffff,2.0,0.0,0.0
8366b5fffffffff,4.0,2.0,0.0
8366c2fffffffff,1.0,0.0,0.0
8366d0fffffffff,2.0,0.0,0.0
8366d1fffffffff,1.0,0.0,0.0
836743fffffffff,2.0,0.0,0.0
836758fffffffff,3.0,0.0,0.0
83675cfffffffff,1.0,0.0,0.0
83675efffffffff,10.0,0.0,0.0
83679afffffffff,8.0,8.0,0.0
836d68fffffffff,5.0,0.0,0.0
836d69fffffffff,46.0,37.0,0.0
838adcfffffffff,1.0,0.0,0.0
838b5cfffffffff,6.0,0.0,6.0
838b61fffffffff,8.0,0.0,8.0
838b63fffffffff,5.0,0.0,5.0
838b69fffffffff,1.0,0.0,0.0
