cell_id,Forpus modestus,Forpus modestus modestus,Forpus modestus sclateri
835f03fffffffff,9.0,0.0,0.0
835f40fffffffff,1.0,0.0,0.0
835f42fffffffff,6.0,0.0,0.0
835f44fffffffff,1.0,0.0,0.0
835f46fffffffff,1.0,0.0,0.0
835f68fffffffff,8.0,0.0,0.0
835f71fffffffff,9.0,1.0,0.0
836641fffffffff,19.0,8.0,0.0
836648fffffffff,9.0,0.0,0.0
83665afffffffff,66.0,0.0,2.0
83665bfffffffff,83.0,0.0,0.0
83665efffffffff,4.0,0.0,0.0
83666bfffffffff,2.0,0.0,0.0
8366c0fffffffff,4.0,0.0,0.0
8366c2fffffffff,2.0,0.0,0.0
8366c3fffffffff,6.0,0.0,1.0
8366c5fffffffff,16.0,0.0,0.0
8366c8fffffffff,1.0,0.0,0.0
8366cefffffffff,28.0,0.0,0.0
8366d8fffffffff,5.0,0.0,0.0
8366dafffffffff,8.0,0.0,0.0
8366dbfffffffff,4.0,0.0,0.0
8366dcfffffffff,80.0,0.0,8.0
8366ddfffffffff,11.0,0.0,1.0
8366defffffffff,30.0,0.0,0.0
8366e8fffffffff,7.0,0.0,0.0
8366e9fffffffff,3.0,0.0,0.0
8366eafffffffff,4.0,0.0,0.0
8366ecfffffffff,2.0,0.0,0.0
8366eefffffffff,34.0,0.0,0.0
83814afffffffff,4.0,0.0,2.0
83814cfffffffff,2.0,0.0,0.0
83814dfffffffff,16.0,0.0,15.0
83814efffffffff,6.0,0.0,3.0
838a00fffffffff,2.0,0.0,0.0
838a45fffffffff,40.0,0.0,0.0
838a4bfffffffff,2.0,0.0,0.0
838a63fffffffff,9.0,0.0,0.0
838a69fffffffff,9.0,0.0,0.0
838a6dfffffffff,70.0,0.0,0.0
838a6efffffffff,1.0,0.0,0.0
838a80fffffffff,2.0,0.0,0.0
838a9cfffffffff,7.0,0.0,0.0
838ab2fffffffff,2.0,0.0,0.0
838b22fffffffff,1.0,0.0,0.0
838b2afffffffff,1.0,0.0,0.0
838b40fffffffff,17.0,0.0,0.0
838b42fffffffff,4.0,0.0,0.0
838b44fffffffff,85.0,0.0,0.0
838b45fffffffff,3.0,0.0,0.0
838b46fffffffff,2.0,0.0,0.0
838b48fffffffff,4.0,0.0,0.0
838b4efffffffff,4.0,0.0,0.0
838b51fffffffff,7.0,0.0,3.0
838b52fffffffff,2.0,0.0,0.0
838b53fffffffff,3.0,0.0,0.0
838b56fffffffff,2.0,0.0,0.0
838b5cfffffffff,14.0,0.0,10.0
838b61fffffffff,15.0,0.0,0.0
838b62fffffffff,12.0,0.0,0.0
838b63fffffffff,69.0,0.0,0.0
838b69fffffffff,1.0,0.0,0.0
838b6cfffffffff,1.0,0.0,0.0
838b6efffffffff,12.0,0.0,0.0
838b71fffffffff,70.0,0.0,0.0
838b74fffffffff,3.0,0.0,0.0
838b82fffffffff,8.0,0.0,4.0
838b99fffffffff,63.0,0.0,28.0
838b9dfffffffff,372.0,0.0,16.0
838e64fffffffff,1.0,0.0,0.0
838e65fffffffff,2.0,0.0,0.0
838f41fffffffff,1.0,0.0,0.0
838f48fffffffff,1.0,0.0,0.0
838f61fffffffff,9.0,0.0,0.0
838f63fffffffff,2.0,0.0,0.0
838f65fffffffff,3.0,0.0,0.0
838f6cfffffffff,6.0,0.0,0.0
838f6efffffffff,3.0,0.0,0.0
838f70fffffffff,3.0,0.0,0.0
838f71fffffffff,3.0,0.0,0.0
838f72fffffffff,12.0,0.0,0.0
838f74fffffffff,1.0,0.0,0.0
838f76fffffffff,3.0,0.0,0.0
83a8c9fffffffff,5.0,0.0,5.0
