cell_id,Fraseria ocreata,Fraseria ocreata prosphora/kelsalli,Fraseria ocreata ocreata
8254cffffffffff,1.0,0.0,0.0
825887fffffffff,1.0,0.0,0.0
826a9ffffffffff,2.0,0.0,0.0
826ac7fffffffff,12.0,0.0,0.0
826adffffffffff,2.0,0.0,0.0
826aeffffffffff,161.0,0.0,20.0
827507fffffffff,1.0,1.0,0.0
82750ffffffffff,280.0,61.0,0.0
82751ffffffffff,5.0,0.0,0.0
82752ffffffffff,198.0,55.0,0.0
8275affffffffff,5.0,0.0,0.0
8275b7fffffffff,3.0,0.0,0.0
82821ffffffffff,3.0,0.0,0.0
828287fffffffff,19.0,0.0,2.0
82828ffffffffff,26.0,0.0,0.0
828297fffffffff,5.0,0.0,0.0
8282a7fffffffff,14.0,0.0,0.0
8282affffffffff,22.0,0.0,0.0
8282b7fffffffff,1.0,0.0,0.0
82838ffffffffff,2.0,0.0,2.0
828397fffffffff,2.0,0.0,0.0
