cell_id,Galbula albirostris,Galbula albirostris albirostris,Galbula albirostris chalcocephala
825f07fffffffff,51.0,0.0,0.0
825f0ffffffffff,1.0,0.0,0.0
825f17fffffffff,25.0,0.0,0.0
825f2ffffffffff,91.0,0.0,0.0
825f47fffffffff,4.0,0.0,0.0
825f57fffffffff,8.0,0.0,0.0
825f6ffffffffff,6.0,0.0,0.0
825f77fffffffff,21.0,0.0,0.0
826647fffffffff,3.0,0.0,0.0
82664ffffffffff,2.0,0.0,0.0
82665ffffffffff,244.0,1.0,1.0
82666ffffffffff,1.0,0.0,0.0
8266c7fffffffff,26.0,0.0,0.0
8266cffffffffff,3.0,0.0,0.0
8266dffffffffff,211.0,0.0,12.0
8266e7fffffffff,2.0,0.0,0.0
8266effffffffff,36.0,0.0,0.0
82804ffffffffff,1.0,0.0,0.0
82806ffffffffff,2.0,0.0,0.0
828a47fffffffff,51.0,0.0,0.0
828a6ffffffffff,76.0,0.0,0.0
828a87fffffffff,1.0,0.0,0.0
828a8ffffffffff,4.0,2.0,0.0
828a9ffffffffff,1.0,0.0,0.0
828adffffffffff,5.0,0.0,0.0
828af7fffffffff,564.0,27.0,0.0
828b5ffffffffff,1.0,0.0,0.0
828f47fffffffff,34.0,0.0,0.0
828f4ffffffffff,1.0,0.0,0.0
828f67fffffffff,54.0,0.0,0.0
828f77fffffffff,23.0,0.0,0.0
