cell_id,Galbula ruficauda,Galbula ruficauda melanogenia,Galbula ruficauda [ruficauda Group],Galbula ruficauda rufoviridis/heterogyna
834505fffffffff,19.0,0.0,0.0,0.0
83450efffffffff,2.0,0.0,0.0,0.0
834520fffffffff,177.0,0.0,0.0,0.0
834521fffffffff,51.0,2.0,0.0,0.0
834522fffffffff,375.0,0.0,0.0,0.0
834523fffffffff,557.0,2.0,0.0,0.0
834525fffffffff,107.0,0.0,0.0,0.0
834526fffffffff,36.0,0.0,0.0,0.0
834528fffffffff,652.0,4.0,0.0,0.0
83452afffffffff,969.0,58.0,0.0,0.0
83452bfffffffff,3.0,0.0,0.0,0.0
83452cfffffffff,975.0,20.0,0.0,0.0
83452dfffffffff,482.0,31.0,0.0,0.0
83452efffffffff,4328.0,115.0,0.0,0.0
834530fffffffff,27.0,0.0,0.0,0.0
834531fffffffff,34.0,0.0,0.0,0.0
834532fffffffff,110.0,0.0,0.0,0.0
834534fffffffff,10.0,0.0,0.0,0.0
834535fffffffff,3.0,0.0,0.0,0.0
834536fffffffff,55.0,0.0,0.0,0.0
835f0dfffffffff,2.0,0.0,0.0,0.0
835f28fffffffff,1.0,0.0,0.0,0.0
835f29fffffffff,101.0,0.0,0.0,0.0
835f2bfffffffff,3.0,0.0,0.0,0.0
835f2dfffffffff,9.0,0.0,0.0,0.0
835f42fffffffff,1.0,0.0,0.0,0.0
835f43fffffffff,3.0,0.0,0.0,0.0
835f48fffffffff,18.0,0.0,0.0,0.0
835f49fffffffff,2.0,0.0,0.0,0.0
835f4afffffffff,47.0,0.0,0.0,0.0
835f4bfffffffff,11.0,0.0,0.0,0.0
835f4efffffffff,15.0,0.0,0.0,0.0
835f58fffffffff,684.0,0.0,0.0,0.0
835f59fffffffff,25.0,0.0,0.0,0.0
835f5bfffffffff,1003.0,0.0,54.0,0.0
835f5dfffffffff,17.0,0.0,0.0,0.0
835f68fffffffff,7.0,0.0,0.0,0.0
836600fffffffff,23.0,0.0,0.0,0.0
836601fffffffff,1.0,0.0,0.0,0.0
836602fffffffff,588.0,0.0,0.0,0.0
836603fffffffff,19.0,0.0,0.0,0.0
836604fffffffff,155.0,0.0,0.0,0.0
836605fffffffff,8.0,0.0,0.0,0.0
836606fffffffff,163.0,0.0,0.0,0.0
836608fffffffff,106.0,0.0,3.0,0.0
836609fffffffff,10.0,0.0,0.0,0.0
83660afffffffff,175.0,0.0,3.0,0.0
83660cfffffffff,87.0,0.0,0.0,0.0
83660dfffffffff,31.0,0.0,0.0,0.0
83660efffffffff,57.0,0.0,0.0,0.0
836610fffffffff,802.0,57.0,0.0,0.0
836611fffffffff,308.0,0.0,0.0,0.0
836613fffffffff,332.0,16.0,0.0,0.0
836615fffffffff,12.0,0.0,0.0,0.0
836616fffffffff,4.0,0.0,0.0,0.0
836618fffffffff,4.0,0.0,0.0,0.0
836619fffffffff,611.0,0.0,19.0,0.0
83661afffffffff,108.0,1.0,0.0,0.0
83661bfffffffff,50.0,0.0,0.0,0.0
83661cfffffffff,90.0,0.0,0.0,0.0
83661dfffffffff,35.0,0.0,0.0,0.0
83661efffffffff,20.0,0.0,0.0,0.0
836620fffffffff,1876.0,0.0,197.0,0.0
836621fffffffff,100.0,0.0,11.0,0.0
836622fffffffff,944.0,0.0,127.0,0.0
836623fffffffff,5.0,0.0,0.0,0.0
836625fffffffff,584.0,0.0,60.0,0.0
836628fffffffff,6.0,0.0,0.0,0.0
836629fffffffff,55.0,0.0,0.0,0.0
83662bfffffffff,79.0,0.0,0.0,0.0
83662cfffffffff,16.0,0.0,0.0,0.0
83662dfffffffff,16.0,0.0,0.0,0.0
83662efffffffff,47.0,0.0,0.0,0.0
836631fffffffff,477.0,0.0,1.0,0.0
836640fffffffff,3.0,0.0,0.0,0.0
836644fffffffff,7.0,0.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0,0.0
836652fffffffff,18.0,0.0,0.0,0.0
836654fffffffff,196.0,0.0,0.0,0.0
836656fffffffff,153.0,0.0,0.0,0.0
836660fffffffff,9.0,0.0,0.0,0.0
836662fffffffff,4.0,0.0,0.0,0.0
836663fffffffff,19.0,0.0,0.0,0.0
836664fffffffff,30.0,0.0,0.0,0.0
836666fffffffff,2.0,0.0,0.0,0.0
836670fffffffff,45.0,0.0,0.0,0.0
836671fffffffff,4.0,0.0,0.0,0.0
836672fffffffff,226.0,0.0,0.0,0.0
836673fffffffff,38.0,0.0,0.0,0.0
836674fffffffff,4.0,0.0,0.0,0.0
836675fffffffff,107.0,0.0,2.0,0.0
836676fffffffff,26.0,0.0,0.0,0.0
8366a6fffffffff,2.0,0.0,0.0,0.0
8366b0fffffffff,587.0,0.0,0.0,0.0
8366b1fffffffff,14.0,0.0,0.0,0.0
8366b4fffffffff,897.0,0.0,0.0,0.0
8366b5fffffffff,791.0,6.0,0.0,0.0
8366b6fffffffff,3.0,0.0,0.0,0.0
8366c4fffffffff,330.0,0.0,6.0,0.0
8366c6fffffffff,6.0,0.0,0.0,0.0
8366d0fffffffff,73.0,6.0,0.0,0.0
8366d2fffffffff,31.0,0.0,0.0,0.0
8366d3fffffffff,604.0,55.0,0.0,0.0
8366d5fffffffff,27.0,0.0,0.0,0.0
8366e0fffffffff,457.0,0.0,3.0,0.0
8366e1fffffffff,19.0,0.0,0.0,0.0
8366e2fffffffff,193.0,0.0,0.0,0.0
8366e3fffffffff,3.0,0.0,0.0,0.0
8366e4fffffffff,642.0,0.0,7.0,0.0
8366e5fffffffff,27.0,0.0,0.0,0.0
8366e6fffffffff,875.0,0.0,10.0,0.0
8366f0fffffffff,1277.0,22.0,0.0,0.0
8366f1fffffffff,19.0,0.0,0.0,0.0
8366f5fffffffff,2.0,0.0,0.0,0.0
836741fffffffff,564.0,0.0,12.0,0.0
836742fffffffff,348.0,0.0,4.0,0.0
836743fffffffff,854.0,0.0,15.0,0.0
836748fffffffff,1.0,0.0,0.0,0.0
83674afffffffff,68.0,0.0,9.0,0.0
83674cfffffffff,1701.0,0.0,25.0,0.0
83674dfffffffff,11.0,0.0,0.0,0.0
83674efffffffff,408.0,0.0,11.0,0.0
836750fffffffff,3.0,0.0,0.0,0.0
836751fffffffff,153.0,0.0,2.0,0.0
836752fffffffff,12.0,0.0,0.0,0.0
836753fffffffff,374.0,0.0,1.0,0.0
836755fffffffff,41.0,0.0,2.0,0.0
836758fffffffff,14.0,0.0,0.0,0.0
836759fffffffff,57.0,0.0,4.0,0.0
83675afffffffff,142.0,0.0,0.0,0.0
83675bfffffffff,9.0,0.0,0.0,0.0
83675cfffffffff,642.0,0.0,0.0,0.0
83675dfffffffff,27.0,0.0,0.0,0.0
83675efffffffff,22.0,0.0,0.0,0.0
83676bfffffffff,1.0,0.0,0.0,0.0
836790fffffffff,11.0,0.0,0.0,0.0
836792fffffffff,1.0,0.0,0.0,0.0
836794fffffffff,6.0,0.0,0.0,0.0
836796fffffffff,23.0,0.0,0.0,0.0
83679afffffffff,2701.0,0.0,0.0,0.0
83679bfffffffff,23.0,0.0,0.0,0.0
836d20fffffffff,55.0,0.0,0.0,0.0
836d21fffffffff,53.0,9.0,0.0,0.0
836d2cfffffffff,510.0,115.0,0.0,0.0
836d2dfffffffff,117.0,0.0,0.0,0.0
836d30fffffffff,34.0,9.0,0.0,0.0
836d65fffffffff,127.0,0.0,0.0,0.0
836d68fffffffff,590.0,0.0,0.0,0.0
836d69fffffffff,8332.0,0.0,0.0,0.0
836d6dfffffffff,77.0,0.0,0.0,0.0
838002fffffffff,5.0,0.0,0.0,0.0
838005fffffffff,13.0,0.0,0.0,2.0
838006fffffffff,4.0,0.0,0.0,0.0
83800cfffffffff,10.0,0.0,0.0,0.0
838010fffffffff,187.0,0.0,0.0,5.0
838011fffffffff,3.0,0.0,0.0,0.0
838014fffffffff,2.0,0.0,0.0,0.0
838016fffffffff,5.0,0.0,0.0,0.0
83801cfffffffff,2.0,0.0,0.0,0.0
83802cfffffffff,2.0,0.0,0.0,0.0
838030fffffffff,89.0,0.0,0.0,3.0
838032fffffffff,2.0,0.0,0.0,0.0
838036fffffffff,92.0,0.0,0.0,3.0
838044fffffffff,1.0,0.0,0.0,0.0
838046fffffffff,2.0,0.0,0.0,0.0
838061fffffffff,7.0,0.0,0.0,0.0
838065fffffffff,19.0,0.0,0.0,0.0
838066fffffffff,4.0,0.0,0.0,0.0
838072fffffffff,1.0,0.0,0.0,0.0
838073fffffffff,3.0,0.0,0.0,0.0
838074fffffffff,11.0,0.0,0.0,0.0
838100fffffffff,10.0,0.0,0.0,0.0
838102fffffffff,147.0,0.0,0.0,6.0
838104fffffffff,2.0,0.0,0.0,0.0
838106fffffffff,18.0,0.0,0.0,2.0
838109fffffffff,7.0,0.0,0.0,0.0
838110fffffffff,4.0,0.0,0.0,0.0
838112fffffffff,7.0,0.0,0.0,2.0
838114fffffffff,11.0,0.0,0.0,0.0
838116fffffffff,43.0,0.0,0.0,1.0
