cell_id,Garrulus glandarius,Garrulus glandarius [glandarius Group],Garrulus glandarius [atricapillus Group],Garrulus glandarius [cervicalis Group],Garrulus glandarius hyrcanus,Garrulus glandarius [brandtii Group],Garrulus glandarius [bispecularis Group],Garrulus glandarius leucotis/oatesi,Garrulus glandarius [japonicus Group]
840882dffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408843ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408847ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408867ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84089bbffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a0bffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a53ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8411811ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8411813ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8411815ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841181dffffffff,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84118e9ffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8411aa7ffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8411ab1ffffffff,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8411ab9ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8411ae3ffffffff,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8411ae7ffffffff,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8414813ffffffff,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
8414ae5ffffffff,37.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0
8418459ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8418495ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8418497ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84184a3ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84184b1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84184b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84184b5ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84184bbffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8418597ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84185b3ffffffff,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84185b7ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84185bbffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8419423ffffffff,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8419427ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8419485ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841948dffffffff,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84194adffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84194e7ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841951bffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8419541ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8419555ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8419557ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8419591ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84195dbffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84196b9ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e037ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e051ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e05bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e085ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e0a9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e0b3ffffffff,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e0b7ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e24bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e34bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841e465ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
