cell_id,Geokichla citrina,Geokichla citrina [citrina Group],Geokichla citrina cyanota,Geokichla citrina albogularis/andamanensis,Geokichla citrina [aurimacula Group]
823097fffffffff,1.0,0.0,0.0,0.0,1.0
82309ffffffffff,1.0,0.0,0.0,0.0,0.0
823c07fffffffff,102.0,0.0,0.0,0.0,0.0
823c0ffffffffff,22.0,0.0,0.0,0.0,0.0
823c17fffffffff,37.0,0.0,0.0,0.0,0.0
823c1ffffffffff,94.0,0.0,0.0,0.0,0.0
823c37fffffffff,15.0,0.0,0.0,0.0,0.0
823c5ffffffffff,80.0,0.0,0.0,0.0,0.0
823c87fffffffff,132.0,0.0,3.0,0.0,0.0
823c8ffffffffff,321.0,2.0,39.0,0.0,0.0
823c97fffffffff,324.0,0.0,3.0,0.0,0.0
823c9ffffffffff,7.0,0.0,0.0,0.0,0.0
823ca7fffffffff,31.0,0.0,2.0,0.0,0.0
823caffffffffff,14.0,0.0,0.0,0.0,0.0
823cb7fffffffff,695.0,0.0,14.0,0.0,0.0
823cc7fffffffff,125.0,0.0,0.0,0.0,0.0
823ccffffffffff,1.0,0.0,0.0,0.0,0.0
823cd7fffffffff,1.0,0.0,0.0,0.0,0.0
823cdffffffffff,2.0,0.0,0.0,0.0,0.0
823ce7fffffffff,125.0,0.0,0.0,0.0,0.0
823ceffffffffff,37.0,0.0,0.0,0.0,0.0
823cf7fffffffff,850.0,58.0,0.0,0.0,0.0
823d17fffffffff,743.0,0.0,0.0,0.0,0.0
823d37fffffffff,3.0,0.0,0.0,0.0,0.0
823d87fffffffff,190.0,0.0,0.0,0.0,0.0
823d8ffffffffff,112.0,0.0,0.0,0.0,0.0
823d9ffffffffff,812.0,0.0,35.0,0.0,0.0
823da7fffffffff,247.0,0.0,0.0,0.0,0.0
823daffffffffff,447.0,0.0,0.0,0.0,0.0
823db7fffffffff,3.0,0.0,0.0,0.0,0.0
82404ffffffffff,72.0,0.0,0.0,0.0,0.0
824067fffffffff,1.0,0.0,0.0,0.0,0.0
82406ffffffffff,4.0,0.0,0.0,0.0,0.0
8240b7fffffffff,6.0,0.0,0.0,0.0,0.0
8240e7fffffffff,1.0,0.0,0.0,0.0,0.0
824107fffffffff,3.0,0.0,0.0,0.0,0.0
82411ffffffffff,97.0,0.0,0.0,0.0,5.0
824157fffffffff,6.0,0.0,0.0,0.0,0.0
82415ffffffffff,10.0,0.0,0.0,0.0,0.0
824177fffffffff,44.0,0.0,0.0,0.0,1.0
824197fffffffff,1.0,0.0,0.0,0.0,0.0
82426ffffffffff,35.0,0.0,0.0,0.0,0.0
8242cffffffffff,8.0,0.0,0.0,0.0,0.0
8242dffffffffff,49.0,0.0,0.0,0.0,0.0
826007fffffffff,2386.0,0.0,202.0,0.0,0.0
826017fffffffff,2590.0,0.0,118.0,0.0,0.0
82601ffffffffff,1521.0,0.0,0.0,0.0,0.0
826027fffffffff,533.0,0.0,102.0,0.0,0.0
826037fffffffff,6280.0,0.0,584.0,0.0,0.0
82608ffffffffff,1395.0,0.0,0.0,0.0,0.0
826097fffffffff,684.0,0.0,5.0,0.0,0.0
82609ffffffffff,46.0,0.0,0.0,0.0,0.0
8260a7fffffffff,607.0,0.0,0.0,0.0,0.0
8260affffffffff,2313.0,0.0,0.0,0.0,0.0
8260b7fffffffff,101.0,0.0,0.0,0.0,0.0
8260f7fffffffff,15.0,0.0,0.0,0.0,0.0
826107fffffffff,23.0,0.0,0.0,0.0,0.0
826117fffffffff,42.0,0.0,0.0,0.0,0.0
82611ffffffffff,25.0,1.0,0.0,0.0,0.0
82618ffffffffff,544.0,0.0,0.0,0.0,0.0
82619ffffffffff,19.0,0.0,0.0,0.0,0.0
8261affffffffff,35.0,0.0,0.0,0.0,0.0
82640ffffffffff,645.0,0.0,0.0,0.0,0.0
826417fffffffff,128.0,29.0,0.0,0.0,0.0
826427fffffffff,6.0,0.0,0.0,0.0,0.0
82642ffffffffff,10.0,0.0,0.0,0.0,0.0
826437fffffffff,74.0,19.0,0.0,0.0,0.0
826487fffffffff,8.0,0.0,0.0,0.0,0.0
82648ffffffffff,4.0,2.0,0.0,0.0,0.0
826497fffffffff,7.0,4.0,0.0,0.0,0.0
82649ffffffffff,10.0,0.0,0.0,0.0,0.0
8264a7fffffffff,68.0,7.0,0.0,0.0,0.0
8264b7fffffffff,2.0,2.0,0.0,0.0,0.0
8264e7fffffffff,234.0,0.0,0.0,0.0,0.0
826507fffffffff,37.0,0.0,0.0,0.0,0.0
82651ffffffffff,24.0,3.0,0.0,0.0,0.0
826587fffffffff,69.0,0.0,0.0,0.0,0.0
82658ffffffffff,21.0,0.0,0.0,0.0,0.0
82659ffffffffff,179.0,32.0,0.0,0.0,0.0
8265b7fffffffff,10.0,0.0,0.0,0.0,0.0
826817fffffffff,132.0,0.0,0.0,0.0,0.0
