cell_id,Glaucidium gnoma,Glaucidium gnoma gnoma,Glaucidium gnoma [californicum Group],Glaucidium gnoma pinicola,Glaucidium gnoma cobanense,Glaucidium gnoma hoskinsii
82120ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
821287fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8212b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,54.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8212e7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
821387fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
82138ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8213b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,39.0,0.0,0.0,8.0,0.0,0.0
82268ffffffffff,19.0,0.0,0.0,1.0,0.0,0.0
822697fffffffff,57.0,0.0,0.0,36.0,0.0,0.0
82269ffffffffff,8.0,0.0,0.0,1.0,0.0,0.0
822807fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
822817fffffffff,70.0,0.0,2.0,0.0,0.0,0.0
82281ffffffffff,48.0,0.0,9.0,0.0,0.0,0.0
822837fffffffff,163.0,0.0,14.0,0.0,0.0,0.0
822887fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82288ffffffffff,5.0,0.0,2.0,0.0,0.0,0.0
822897fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8228affffffffff,27.0,0.0,0.0,0.0,0.0,0.0
8228d7fffffffff,12.0,0.0,1.0,0.0,0.0,0.0
8228dffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8228f7fffffffff,32.0,0.0,8.0,0.0,0.0,0.0
82291ffffffffff,6.0,0.0,2.0,0.0,0.0,0.0
82298ffffffffff,50.0,0.0,0.0,0.0,0.0,0.0
822997fffffffff,8.0,0.0,0.0,2.0,0.0,0.0
82299ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8229a7fffffffff,495.0,0.0,71.0,0.0,0.0,0.0
8229affffffffff,35.0,0.0,9.0,0.0,0.0,0.0
8229b7fffffffff,14.0,0.0,0.0,5.0,0.0,0.0
824527fffffffff,57.0,0.0,0.0,0.0,30.0,0.0
824537fffffffff,7.0,0.0,0.0,0.0,7.0,0.0
824817fffffffff,6.0,4.0,0.0,0.0,0.0,0.0
82481ffffffffff,2.0,2.0,0.0,0.0,0.0,0.0
824827fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
82482ffffffffff,22.0,0.0,0.0,0.0,0.0,19.0
824837fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8248a7fffffffff,8.0,8.0,0.0,0.0,0.0,0.0
8248affffffffff,7.0,2.0,0.0,0.0,0.0,0.0
8248c7fffffffff,15.0,14.0,0.0,0.0,0.0,0.0
8248cffffffffff,35.0,0.0,0.0,20.0,0.0,0.0
8248d7fffffffff,9.0,0.0,0.0,2.0,0.0,0.0
8248dffffffffff,7.0,0.0,0.0,1.0,0.0,0.0
8248e7fffffffff,4.0,4.0,0.0,0.0,0.0,0.0
8248effffffffff,171.0,45.0,0.0,11.0,0.0,0.0
8248f7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
824987fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
824997fffffffff,18.0,5.0,0.0,0.0,0.0,0.0
82499ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8249affffffffff,4.0,4.0,0.0,0.0,0.0,0.0
8249b7fffffffff,8.0,5.0,0.0,0.0,0.0,0.0
826d27fffffffff,2.0,0.0,0.0,0.0,2.0,0.0
826d2ffffffffff,27.0,0.0,0.0,0.0,22.0,0.0
826d37fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
826d67fffffffff,30.0,0.0,0.0,0.0,28.0,0.0
