cell_id,Gracula religiosa,Gracula religiosa [religiosa Group],Gracula religiosa miotera,Gracula religiosa robusta,Gracula religiosa enganensis
843c02dffffffff,2.0,0.0,0.0,0.0,0.0
843c065ffffffff,2.0,0.0,0.0,0.0,0.0
843c0a5ffffffff,106.0,0.0,0.0,0.0,0.0
843c0adffffffff,9.0,0.0,0.0,0.0,0.0
843c159ffffffff,45.0,2.0,0.0,0.0,0.0
843c15bffffffff,1.0,0.0,0.0,0.0,0.0
843c189ffffffff,6.0,0.0,0.0,0.0,0.0
843c191ffffffff,10.0,0.0,0.0,0.0,0.0
843c193ffffffff,2.0,0.0,0.0,0.0,0.0
843c199ffffffff,682.0,0.0,0.0,0.0,0.0
843c19bffffffff,74.0,0.0,0.0,0.0,0.0
843c1c3ffffffff,23.0,0.0,0.0,0.0,0.0
843c1d3ffffffff,81.0,0.0,0.0,0.0,0.0
843c1d7ffffffff,45.0,0.0,0.0,0.0,0.0
843c333ffffffff,3.0,0.0,0.0,0.0,0.0
843c337ffffffff,1.0,0.0,0.0,0.0,0.0
843c525ffffffff,16.0,0.0,0.0,0.0,0.0
843c527ffffffff,12.0,0.0,0.0,0.0,0.0
843c537ffffffff,5.0,0.0,0.0,0.0,0.0
843c581ffffffff,18.0,0.0,0.0,0.0,0.0
843c585ffffffff,8.0,0.0,0.0,0.0,0.0
843c587ffffffff,15.0,0.0,0.0,0.0,0.0
843c58dffffffff,2.0,0.0,0.0,0.0,0.0
843c5a1ffffffff,394.0,0.0,0.0,0.0,0.0
843c5a3ffffffff,1.0,0.0,0.0,0.0,0.0
843c5a9ffffffff,76.0,0.0,0.0,0.0,0.0
843c5abffffffff,15.0,0.0,0.0,0.0,0.0
843c5adffffffff,41.0,0.0,0.0,0.0,0.0
843c5bdffffffff,156.0,0.0,0.0,0.0,0.0
843c5e3ffffffff,3.0,0.0,0.0,0.0,0.0
843c5e7ffffffff,2.0,0.0,0.0,0.0,0.0
843c829ffffffff,1.0,0.0,0.0,0.0,0.0
843c831ffffffff,1.0,0.0,0.0,0.0,0.0
843c837ffffffff,1.0,0.0,0.0,0.0,0.0
843c839ffffffff,36.0,0.0,0.0,0.0,0.0
843c83bffffffff,4.0,0.0,0.0,0.0,0.0
843c903ffffffff,14.0,0.0,0.0,0.0,0.0
843c905ffffffff,2.0,0.0,0.0,0.0,0.0
843c907ffffffff,2.0,0.0,0.0,0.0,0.0
843c909ffffffff,58.0,0.0,0.0,0.0,0.0
843c90bffffffff,8.0,0.0,0.0,0.0,0.0
843c91dffffffff,4.0,0.0,0.0,0.0,0.0
843c929ffffffff,3.0,0.0,0.0,0.0,0.0
843c943ffffffff,5.0,0.0,0.0,0.0,0.0
843c947ffffffff,45.0,0.0,0.0,0.0,0.0
843c967ffffffff,3.0,0.0,0.0,0.0,0.0
843cc01ffffffff,22.0,0.0,0.0,0.0,0.0
843cc05ffffffff,1.0,0.0,0.0,0.0,0.0
843cc07ffffffff,16.0,0.0,0.0,0.0,0.0
843cc09ffffffff,1.0,0.0,0.0,0.0,0.0
843cc0bffffffff,33.0,0.0,0.0,0.0,0.0
843cc0dffffffff,34.0,0.0,0.0,0.0,0.0
843cc23ffffffff,4.0,0.0,0.0,0.0,0.0
843cc27ffffffff,7.0,0.0,0.0,0.0,0.0
843cc29ffffffff,5.0,0.0,0.0,0.0,0.0
843cc2bffffffff,3.0,0.0,0.0,0.0,0.0
843cc41ffffffff,96.0,0.0,0.0,0.0,0.0
843cc43ffffffff,33.0,0.0,0.0,0.0,0.0
843cc45ffffffff,27.0,0.0,0.0,0.0,0.0
843cc47ffffffff,103.0,0.0,0.0,0.0,0.0
843cc51ffffffff,2.0,0.0,0.0,0.0,0.0
843cc55ffffffff,163.0,0.0,0.0,0.0,0.0
843cc5bffffffff,12.0,0.0,0.0,0.0,0.0
843cc5dffffffff,67.0,0.0,0.0,0.0,0.0
843cc63ffffffff,3.0,0.0,0.0,0.0,0.0
843cc6bffffffff,74.0,0.0,0.0,0.0,0.0
843cc83ffffffff,5.0,0.0,0.0,0.0,0.0
843ccc3ffffffff,2.0,0.0,0.0,0.0,0.0
843ccc9ffffffff,9.0,0.0,0.0,0.0,0.0
843cccdffffffff,3.0,0.0,0.0,0.0,0.0
843cd13ffffffff,3.0,0.0,0.0,0.0,0.0
843cd8bffffffff,34.0,0.0,0.0,0.0,0.0
843cd9bffffffff,2.0,0.0,0.0,0.0,0.0
843cd9dffffffff,6.0,0.0,0.0,0.0,0.0
843cdb7ffffffff,2.0,0.0,0.0,0.0,0.0
843cdc5ffffffff,2.0,0.0,0.0,0.0,0.0
843cdcdffffffff,2.0,0.0,0.0,0.0,0.0
843cddbffffffff,1.0,0.0,0.0,0.0,0.0
843ce01ffffffff,1.0,0.0,0.0,0.0,0.0
843ce09ffffffff,1.0,0.0,0.0,0.0,0.0
843ce11ffffffff,20.0,0.0,0.0,0.0,0.0
843ce13ffffffff,2.0,0.0,0.0,0.0,0.0
843ce15ffffffff,456.0,0.0,0.0,0.0,0.0
843ce17ffffffff,3.0,0.0,0.0,0.0,0.0
843ce19ffffffff,22.0,0.0,0.0,0.0,0.0
