cell_id,Grallaria guatimalensis,Grallaria guatimalensis [guatimalensis Group],Grallaria guatimalensis princeps/chocoensis,Grallaria guatimalensis aripoensis,Grallaria guatimalensis roraimae,Grallaria guatimalensis regulus/carmelitae,Grallaria guatimalensis sororia
844995dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8449a85ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8449b19ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
845f4abffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
845f583ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8466207ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466b4dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8466b51ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c01ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c41ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c45ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d27ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d31ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d53ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e03ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e6dffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f1dffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
846d05bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
846d23bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
846d281ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
846d283ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
846d291ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
846d295ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
846d2abffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
846d2b9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
846d2c7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
846d2d1ffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
846d2d3ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
846d2d7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
846d305ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
846d32bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
846d691ffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0
846d69bffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
846d69dffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
846d74bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848b693ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848b6cdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0
848b6edffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848f0d1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
848f4b3ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
848f515ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
