cell_id,Grallaricula ferrugineipectus,Grallaricula ferrugineipectus rara,Grallaricula ferrugineipectus ferrugineipectus
836620fffffffff,1197.0,0.0,195.0
836622fffffffff,29.0,0.0,8.0
836623fffffffff,16.0,0.0,2.0
836629fffffffff,22.0,0.0,0.0
83662dfffffffff,35.0,0.0,0.0
8366e0fffffffff,1.0,0.0,0.0
8366e4fffffffff,262.0,0.0,0.0
836741fffffffff,221.0,0.0,3.0
836742fffffffff,3.0,0.0,0.0
836743fffffffff,15.0,0.0,1.0
83674cfffffffff,217.0,0.0,4.0
83674efffffffff,95.0,0.0,0.0
836751fffffffff,19.0,0.0,0.0
83675afffffffff,18.0,0.0,1.0
83675cfffffffff,21.0,0.0,0.0
83675dfffffffff,2.0,0.0,0.0
83675efffffffff,38.0,0.0,3.0
