cell_id,Gygis alba,Gygis alba alba,Gygis alba candida/leucopes,Gygis alba microrhyncha
834643fffffffff,14.0,0.0,0.0,0.0
834649fffffffff,2.0,0.0,0.0,0.0
83464bfffffffff,34.0,0.0,28.0,0.0
83464efffffffff,10.0,0.0,0.0,0.0
83465dfffffffff,3.0,0.0,0.0,0.0
834a48fffffffff,1.0,0.0,1.0,0.0
834a4afffffffff,1.0,0.0,0.0,0.0
834e64fffffffff,3.0,0.0,0.0,0.0
835d10fffffffff,6.0,0.0,4.0,0.0
835d12fffffffff,61.0,0.0,61.0,0.0
836006fffffffff,2.0,0.0,2.0,0.0
83668efffffffff,2.0,0.0,0.0,0.0
8366b0fffffffff,1.0,0.0,0.0,0.0
8366b6fffffffff,13.0,0.0,0.0,0.0
836c61fffffffff,17.0,0.0,0.0,0.0
836c65fffffffff,10.0,0.0,0.0,0.0
836d6bfffffffff,16.0,0.0,2.0,0.0
8372cbfffffffff,2.0,0.0,0.0,0.0
8373a8fffffffff,2.0,0.0,0.0,0.0
83768afffffffff,2.0,0.0,0.0,0.0
837d80fffffffff,1.0,0.0,0.0,0.0
83845afffffffff,23.0,0.0,0.0,0.0
83845cfffffffff,15.0,0.0,0.0,0.0
83845efffffffff,3.0,0.0,0.0,0.0
83846dfffffffff,3.0,0.0,0.0,0.0
8385a0fffffffff,4.0,0.0,3.0,0.0
8385a2fffffffff,3.0,0.0,3.0,0.0
8385a3fffffffff,1.0,0.0,0.0,0.0
838904fffffffff,3.0,0.0,0.0,0.0
838931fffffffff,1.0,0.0,0.0,0.0
838934fffffffff,2.0,0.0,0.0,0.0
8390e5fffffffff,1.0,0.0,0.0,0.0
83980afffffffff,1.0,1.0,0.0,0.0
8399a4fffffffff,6.0,1.0,0.0,0.0
839a02fffffffff,2.0,0.0,0.0,0.0
839a14fffffffff,4.0,0.0,0.0,0.0
839a15fffffffff,14.0,0.0,4.0,0.0
839a16fffffffff,42.0,0.0,0.0,0.0
839b0afffffffff,1.0,0.0,0.0,0.0
839b44fffffffff,1.0,0.0,0.0,0.0
839c00fffffffff,2.0,0.0,0.0,0.0
839d24fffffffff,4.0,0.0,0.0,0.0
839ee3fffffffff,1.0,0.0,1.0,0.0
83a049fffffffff,2.0,0.0,2.0,0.0
83a0d9fffffffff,1.0,0.0,0.0,0.0
83b14afffffffff,4.0,0.0,2.0,0.0
83b4c5fffffffff,12.0,0.0,0.0,0.0
83b4cefffffffff,1.0,0.0,0.0,0.0
83ba1afffffffff,30.0,0.0,0.0,0.0
83ba1efffffffff,3.0,0.0,0.0,0.0
83ba60fffffffff,2.0,0.0,0.0,0.0
83ba69fffffffff,1.0,0.0,1.0,0.0
83baf2fffffffff,7.0,0.0,0.0,0.0
83baf4fffffffff,46.0,0.0,0.0,0.0
83baf6fffffffff,16.0,0.0,0.0,0.0
83bb58fffffffff,7.0,0.0,0.0,0.0
83be08fffffffff,2.0,0.0,0.0,0.0
83be0efffffffff,1.0,0.0,0.0,0.0
83be1afffffffff,5.0,0.0,0.0,0.0
83be88fffffffff,16.0,0.0,0.0,0.0
83be8cfffffffff,14.0,0.0,0.0,0.0
83beaafffffffff,19.0,0.0,5.0,0.0
83beabfffffffff,32.0,0.0,4.0,0.0
83beaefffffffff,8.0,0.0,0.0,0.0
