cell_id,Gymnorhina tibicen,Gymnorhina tibicen papuana,Gymnorhina tibicen [tibicen Group],Gymnorhina tibicen dorsalis,Gymnorhina tibicen telonocua/tyrannica,Gymnorhina tibicen hypoleuca,Gymnorhina tibicen [tibicen Group] x dorsalis,Gymnorhina tibicen [tibicen Group] x telonocua/tyrannica
82941ffffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8294cffffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8294f7fffffffff,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
829c07fffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
829c47fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
82a607fffffffff,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
82a637fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
82b85ffffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
82b887fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
82b8affffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82b9b7fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
82bb0ffffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82bb2ffffffffff,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82bb57fffffffff,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
82be0ffffffffff,91.0,0.0,22.0,0.0,9.0,0.0,0.0,3.0
82be47fffffffff,25.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
82be4ffffffffff,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
82be57fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82be67fffffffff,25.0,0.0,2.0,0.0,2.0,0.0,0.0,12.0
82be6ffffffffff,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
82be77fffffffff,68.0,0.0,5.0,0.0,6.0,0.0,0.0,5.0
82be8ffffffffff,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82beaffffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
82bef7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82bf4ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c987fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
82c9b7fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82da87fffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82da97fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82daaffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82dab7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
