cell_id,Gymnorhina tibicen,Gymnorhina tibicen papuana,Gymnorhina tibicen [tibicen Group],Gymnorhina tibicen dorsalis,Gymnorhina tibicen telonocua/tyrannica,Gymnorhina tibicen hypoleuca,Gymnorhina tibicen [tibicen Group] x dorsalis,Gymnorhina tibicen [tibicen Group] x telonocua/tyrannica
8494187ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84941bdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494539ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494597ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945a3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945a5ffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945a7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945adffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945bbffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945e3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84945e5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494801ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494803ffffffff,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494807ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849480bffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494811ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849481bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849481dffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849485bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494899ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84948d1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494a81ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494aa7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494c13ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494c49ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494c4dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494c61ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494c6dffffffff,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8494c91ffffffff,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8494c97ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494c99ffffffff,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8494d45ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494d5dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494e21ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494e23ffffffff,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8494e25ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494e27ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494e29ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494e2bffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494e2dffffffff,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8494e35ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494e93ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494e9bffffffff,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
8494ed3ffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494ed7ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494f0dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494f21ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494f29ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494f43ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494f47ffffffff,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8494f4bffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8494f51ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494f53ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494f55ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8494f5dffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
