cell_id,Haematopus ostralegus,Haematopus ostralegus ostralegus/longipes,Haematopus ostralegus osculans
8401243ffffffff,1.0,1.0,0.0
8401351ffffffff,9.0,9.0,0.0
8407411ffffffff,4.0,4.0,0.0
8407433ffffffff,2.0,0.0,0.0
84075c3ffffffff,6.0,0.0,0.0
84075cbffffffff,2.0,0.0,0.0
84075ddffffffff,13.0,0.0,0.0
8409993ffffffff,1.0,1.0,0.0
8411811ffffffff,1.0,1.0,0.0
8411ae3ffffffff,4.0,4.0,0.0
8418455ffffffff,2.0,0.0,0.0
8418495ffffffff,17.0,0.0,0.0
84184b9ffffffff,3.0,0.0,0.0
84184bdffffffff,7.0,3.0,0.0
84184d5ffffffff,2.0,0.0,0.0
84184ddffffffff,2.0,0.0,0.0
84185b5ffffffff,21.0,0.0,0.0
84185bbffffffff,15.0,0.0,0.0
8418627ffffffff,2.0,0.0,0.0
841871bffffffff,2.0,0.0,0.0
8419099ffffffff,4.0,4.0,0.0
84190c9ffffffff,2.0,2.0,0.0
84190e3ffffffff,6.0,0.0,0.0
84192a7ffffffff,4.0,4.0,0.0
84192b1ffffffff,2.0,0.0,0.0
84192b7ffffffff,2.0,0.0,0.0
8419401ffffffff,2.0,0.0,0.0
8419415ffffffff,7.0,4.0,0.0
8419421ffffffff,2.0,0.0,0.0
8419431ffffffff,1.0,0.0,0.0
841943bffffffff,2.0,2.0,0.0
841948dffffffff,1.0,0.0,0.0
84194a1ffffffff,2.0,2.0,0.0
84194abffffffff,2.0,0.0,0.0
84194b9ffffffff,2.0,0.0,0.0
84194ddffffffff,1.0,0.0,0.0
84194e3ffffffff,3.0,2.0,0.0
8419501ffffffff,2.0,0.0,0.0
841950dffffffff,2.0,2.0,0.0
8419541ffffffff,6.0,6.0,0.0
8419547ffffffff,2.0,2.0,0.0
8419557ffffffff,2.0,2.0,0.0
8419563ffffffff,6.0,6.0,0.0
8419581ffffffff,8.0,2.0,0.0
84195d1ffffffff,1.0,1.0,0.0
8419729ffffffff,1.0,1.0,0.0
841aa45ffffffff,3.0,0.0,0.0
841b98bffffffff,7.0,0.0,0.0
841e021ffffffff,3.0,0.0,0.0
841e025ffffffff,2.0,0.0,0.0
841e029ffffffff,9.0,0.0,0.0
841e035ffffffff,2.0,0.0,0.0
841e041ffffffff,2.0,0.0,0.0
841e061ffffffff,8.0,0.0,0.0
841e0a9ffffffff,6.0,0.0,0.0
841e0adffffffff,2.0,0.0,0.0
841e0c3ffffffff,2.0,0.0,0.0
841e0e7ffffffff,6.0,0.0,0.0
841e13bffffffff,3.0,0.0,0.0
841e15bffffffff,2.0,2.0,0.0
841e19dffffffff,3.0,0.0,0.0
841e1b3ffffffff,2.0,0.0,0.0
841e1cbffffffff,5.0,0.0,0.0
841e223ffffffff,2.0,0.0,0.0
841e225ffffffff,17.0,0.0,0.0
841e249ffffffff,1.0,0.0,0.0
841e319ffffffff,5.0,0.0,0.0
841e357ffffffff,2.0,0.0,0.0
841e521ffffffff,1.0,0.0,0.0
841e6e7ffffffff,2.0,0.0,0.0
